MJD	CSP_B_old	CSP_B_old_err	CSP_V9844	CSP_V9844_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	CSP_u_old	CSP_u_old_err
54106.404531250046	2.5002178751000428e-15	3.0344612757707047e-16	2.68889801159043e-15	2.992093490390707e-16	2.6754451162353745e-15	3.2320410352749577e-16	1.2134140928542094e-15	1.2632754070461472e-16	2.1555404963066982e-15	2.2964886167456504e-16	1.1592252438355235e-15	1.6847849648522817e-16
54106.45453125005	2.5258955194993395e-15	2.965691981150134e-16	2.7157341399418043e-15	2.932934231816721e-16	2.7029671517623984e-15	3.159292209633022e-16	1.225493864978052e-15	1.2409004492190778e-16	2.1770137569341698e-15	2.254232464758861e-16	1.172842695397533e-15	1.6336250759415996e-16
54106.50453125005	2.5517872635776444e-15	2.8988541297472737e-16	2.742751849640739e-15	2.875129244411374e-16	2.730710574218547e-15	3.088551592216438e-16	1.2376385495606727e-15	1.2189750984805121e-16	2.1986121924743944e-15	2.2128613646858803e-16	1.1865806845643615e-15	1.5847929309511294e-16
54106.554531250054	2.5778947291120827e-15	2.8340331844543557e-16	2.7699522082855007e-15	2.818729984825904e-16	2.7586769840010673e-15	3.0199055724873676e-16	1.2498484384323134e-15	1.1975141025125263e-16	2.2203364206271136e-15	2.1724058347047692e-16	1.2004401608662663e-15	1.5383976971857e-16
54106.60453125006	2.6042195495018004e-15	2.771314851047558e-16	2.797336289307744e-15	2.763788531149023e-16	2.7868679924019436e-15	2.953440872140553e-16	1.2621238246264862e-15	1.1765324355946128e-16	2.2421870618987097e-15	2.1328968380725345e-16	1.2144220808492651e-15	1.49454452689102e-16
54106.65453125006	2.630762191533129e-15	2.7107636034429274e-16	2.8249044378605144e-15	2.7103473236252942e-16	2.8152840376791814e-15	2.8892232739423677e-16	1.2744647973051462e-15	1.1560428904475375e-16	2.264164312186865e-15	2.0943604467057226e-16	1.2285265190016937e-15	1.453296719297045e-16
54106.70453125006	2.6575184204198512e-15	2.6523598498677847e-16	2.85265406838832e-15	2.6584089158071725e-16	2.8439208330432717e-15	2.827235332673909e-16	1.2868706265196881e-15	1.136048950931989e-16	2.2862666604972776e-15	2.0568020644464165e-16	1.2427500003608494e-15	1.4145679669905658e-16
54106.754531250066	2.684482834449721e-15	2.5960623913395973e-16	2.8805818669550017e-15	2.6079660803356475e-16	2.872772918389808e-15	2.767438293812112e-16	1.29934037843431e-15	1.116551887144086e-16	2.308492171187039e-15	2.0202221323889736e-16	1.2570881676358348e-15	1.3782286739473866e-16
54106.80453125007	2.7116500429062355e-15	2.5418296515184505e-16	2.9086845252536745e-15	2.5590119635251026e-16	2.9018348439476067e-15	2.709793118467277e-16	1.3118731203851323e-15	1.0975531374378172e-16	2.3308389113402932e-15	1.9846214092803328e-16	1.2715366700104e-15	1.3441429164769322e-16
54106.85453125007	2.7390146656755267e-15	2.4896201760000053e-16	2.9369587404744704e-15	2.5115402223779463e-16	2.9311011699268012e-15	2.6542609498987405e-16	1.324467920859903e-15	1.0790543258796055e-16	2.353304950716206e-15	1.950001020428044e-16	1.2860911628229018e-15	1.312170397894229e-16
54106.904531250075	2.7665713328539055e-15	2.4393931530136513e-16	2.9654012151721068e-15	2.465545161327662e-16	2.960566466167518e-15	2.600803599195782e-16	1.3371238494776362e-15	1.0610572783147907e-16	2.375888361697171e-15	1.9163625043985605e-16	1.3007473072465956e-15	1.2821685864049232e-16
54106.95453125008	2.794314684355794e-15	2.3911089498791134e-16	2.9940086571339565e-15	2.421021866979076e-16	2.99022531178897e-15	2.5493840449135757e-16	1.3498399769681917e-15	1.0435640366992303e-16	2.39858721923694e-15	1.883707856700556e-16	1.3155007699701925e-15	1.2539949805484674e-16
54107.00453125008	2.8222393695220225e-15	2.344729658664229e-16	3.022777779248147e-15	2.3779663388681846e-16	3.02007229483884e-15	2.4999669405771435e-16	1.3626153751521414e-15	1.0265768713172027e-16	2.421399600808939e-15	1.8520395695603188e-16	1.3303472228787082e-15	1.2275094422072112e-16
54107.05453125008	2.8503400467287805e-15	2.3002196435836113e-16	3.0517052993714685e-15	2.3363756140303663e-16	3.050102011943113e-15	2.452519123095903e-16	1.3754491169203184e-15	1.0100982904802838e-16	2.4443235863544107e-15	1.821360666815977e-16	1.3452823427344735e-15	1.202576536668525e-16
54107.10453125009	2.8786113829966895e-15	2.2575460817852355e-16	3.0807879401979876e-15	2.29624788292427e-16	3.0803090679562222e-15	2.407010114265095e-16	1.3883402762136017e-15	9.941310472732492e-17	2.467357258230771e-15	1.7916747328841214e-16	1.3603018108584567e-15	1.17906782217603e-16
54107.15453125009	2.907048053600438e-15	2.21667948831678e-16	3.1100224291272634e-15	2.257582594022365e-16	3.1106880756114004e-15	2.3634126066776196e-16	1.4012879280026414e-15	9.786781428954785e-17	2.4904987011600846e-15	1.7629859346745113e-16	1.375401312811794e-15	1.1568640370628643e-16
54107.20453125009	2.93564474167879e-15	2.1775942152131423e-16	3.1394054981330604e-15	2.2203805441701792e-16	3.1412336551715785e-15	2.3217029245468584e-16	1.4142911482676139e-15	9.637428261259124e-17	2.5137460021772015e-15	1.7352990352789274e-16	1.3905765380774257e-15	1.1358571398691982e-16
54107.254531250095	2.964396137844765e-15	2.1402689138576596e-16	3.1689338836318388e-15	2.1846439516137173e-16	3.171940434080442e-15	2.2818614491531743e-16	1.4273490139779867e-15	9.493285884357075e-17	2.537097250578532e-15	1.7086193982139775e-16	1.4058231797420078e-15	1.1159521656674153e-16
54107.3045312501	2.993296939796379e-15	2.1046869490062432e-16	3.1986043263517088e-15	2.1503765084471368e-16	3.202803046613713e-15	2.243872997896796e-16	1.4404606030722677e-15	9.354391542700446e-17	2.560550537870244e-15	1.6829529809763503e-16	1.421136934177942e-15	1.0970688689727142e-16
54107.3545312501	3.0223418519274004e-15	2.07083675219278e-16	3.22841357120121e-15	2.11758340912304e-16	3.2338161335307715e-15	2.2077271452925698e-16	1.453624994437874e-15	9.220784660348913e-17	2.5841039577169312e-15	1.658306316672466e-16	1.4365135007255165e-15	1.079143129127804e-16
54107.404531250104	3.051525584938756e-15	2.038712101658523e-16	3.2583583671384105e-15	2.0862713516261132e-16	3.2649743417266784e-15	2.1734184737199241e-16	1.4668412678908652e-15	9.092506633491895e-17	2.6077556058901128e-15	1.634686482522071e-16	1.4519485813752227e-15	1.0621280971730247e-16
54107.45453125011	3.0808428554497833e-15	2.0083123155344563e-16	3.2884354670398427e-15	2.0564485079566462e-16	3.296272323884039e-15	2.1409467413847693e-16	1.480108504155752e-15	8.969600561631718e-17	2.6315035802168654e-15	1.612101054104871e-16	1.467437880450172e-15	1.0459950634902797e-16
54107.50453125011	3.1102883856100393e-15	1.979642344816522e-16	3.3186416275699246e-15	2.0281244607102513e-16	3.327704738125442e-15	2.110316954838114e-16	1.4934257848454464e-15	8.852110914022098e-17	2.6553459805284362e-15	1.5905580443387664e-16	1.4829771042885843e-15	1.0307340228862603e-16
54107.55453125011	3.1398569027112347e-15	1.9527127527924343e-16	3.348973609050071e-15	2.0013101028019267e-16	3.359266247666046e-15	2.0815393335926336e-16	1.5067921924409366e-15	8.740083128710307e-17	2.6792809086088314e-15	1.5700658263362144e-16	1.4985619609263433e-15	1.0163539085342535e-16
