MJD	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	LT_IOO_u	LT_IOO_u_err	LT_IOO_z	LT_IOO_z_err	atlas_c	atlas_c_err	atlas_o	atlas_o_err
57736.77000000015	nan	nan	1.339443714673055e-17	8.930744230648617e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57736.82000000015	nan	nan	1.3763356121784681e-17	9.101457387644385e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57736.870000000155	nan	nan	1.4132007064438318e-17	9.269568469890656e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57736.92000000016	nan	nan	1.450038176113283e-17	9.435071140102407e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57736.97000000016	nan	nan	1.486847199674275e-17	9.597973822604992e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.020000000164	nan	nan	1.5236269554510885e-17	9.75830052098975e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.07000000017	nan	nan	1.5603766216015546e-17	9.91609140560852e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.12000000017	nan	nan	1.5970953761119766e-17	1.0071403198137834e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.17000000017	nan	nan	1.6337823967920882e-17	1.0224309375577252e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.220000000176	nan	nan	1.6704368612705404e-17	1.0374900210890357e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.27000000018	nan	nan	1.7070579469911658e-17	1.052328266321032e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.32000000018	nan	nan	1.743644831206806e-17	1.0669580127112825e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.370000000185	nan	nan	1.7801966909757527e-17	1.0813932048486905e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.42000000019	nan	nan	1.8167127031566688e-17	1.0956493410745857e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.47000000019	nan	nan	1.8531920444040428e-17	1.1097434095633703e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.52000000019	nan	nan	1.8896338911636375e-17	1.1236938119382244e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.570000000196	nan	nan	1.926037419667098e-17	1.1375202745877633e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.6200000002	nan	nan	1.9624018059287066e-17	1.1512437476935388e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.6700000002	nan	nan	1.9987262257394604e-17	1.1648862920217299e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.720000000205	nan	nan	2.035009854662769e-17	1.1784709535261509e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.77000000021	nan	nan	2.0712518680301545e-17	1.192021625862297e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.82000000021	nan	nan	2.1074514409362788e-17	1.2055629010167638e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.87000000021	nan	nan	2.143607748233726e-17	1.2191199082934497e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.92000000022	nan	nan	2.1797200500686423e-17	1.2327149237919436e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57737.97000000022	nan	nan	2.2157882385202454e-17	1.2463466674489044e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.02000000022	nan	nan	2.251812488764243e-17	1.2600034867886245e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.070000000225	nan	nan	2.2877929770619206e-17	1.2736741200975114e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.12000000023	nan	nan	2.3237298794249056e-17	1.2873478835467794e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.17000000023	nan	nan	2.3596233716156965e-17	1.301014789245728e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.220000000234	nan	nan	2.3954736291484023e-17	1.3146656459852141e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.27000000024	nan	nan	2.4312808272888845e-17	1.3282921441916079e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.32000000024	nan	nan	2.4670451410561674e-17	1.341886926364734e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.37000000024	nan	nan	2.5027667452232125e-17	1.3554436442873525e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.420000000246	nan	nan	2.5384458143162152e-17	1.36895700413045e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.47000000025	nan	nan	2.574082522617459e-17	1.3824228004661089e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.52000000025	nan	nan	2.6096770441639772e-17	1.3958379401218289e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.570000000254	nan	nan	2.6452295527494558e-17	1.409200456660413e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.62000000026	nan	nan	2.6807402219244093e-17	1.4225095162697193e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.67000000026	nan	nan	2.716209224997029e-17	1.4357654155815168e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.72000000026	nan	nan	2.751636735033568e-17	1.448969572082671e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.770000000266	nan	nan	2.787022924859578e-17	1.4621245074648726e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.82000000027	nan	nan	2.822367967060048e-17	1.475233824396614e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.87000000027	nan	nan	2.857672033980322e-17	1.4883021769868037e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.920000000275	nan	nan	2.892935297726453e-17	1.5013352352550162e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57738.97000000028	nan	nan	2.9281579301667155e-17	1.5143396438136229e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.02000000028	nan	nan	2.9633401029312567e-17	1.5273229749843283e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.07000000028	nan	nan	2.998481987412975e-17	1.5402936765020195e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.12000000029	nan	nan	3.033583754769003e-17	1.5532610139406305e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.17000000029	nan	nan	3.068645575920073e-17	1.5662350080215537e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.22000000029	nan	nan	3.103667621552805e-17	1.5792263669128925e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.270000000295	nan	nan	3.138650062118301e-17	1.592246413651071e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.3200000003	nan	nan	3.173593068012732e-17	1.6053069776406895e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.3700000003	nan	nan	3.2084968470710453e-17	1.6184137359426813e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.420000000304	nan	nan	3.2433616909504566e-17	1.6315580411506313e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.47000000031	nan	nan	3.278187902449296e-17	1.64472972524763e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.52000000031	nan	nan	3.312975784136824e-17	1.657919159239196e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.57000000031	nan	nan	3.347725638354009e-17	1.67111730908652e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.620000000315	nan	nan	3.3824377672151526e-17	1.6843157838674861e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.67000000032	nan	nan	3.4171124726091504e-17	1.6975068767679961e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.72000000032	nan	nan	3.4517500562004173e-17	1.71068359934398e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
