MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57274.0,17.31,0.06,7.568616037356648e-16,4.1825717909311396e-17,lascumbres_B,LCO(SKP),GeneralFilters
57276.93,16.22,0.04,2.065458501255092e-15,7.609430328300479e-17,lascumbres_B,LCO(SKP),GeneralFilters
57278.35,15.91,0.04,2.7479983881452417e-15,1.012400019858382e-16,lascumbres_B,LCO(SKP),GeneralFilters
57279.61,15.77,0.04,3.1261979477528344e-15,1.151733886759081e-16,lascumbres_B,LCO(SKP),GeneralFilters
57280.66,15.7,0.07,3.3343906052711694e-15,2.1497610685366967e-16,lascumbres_B,LCO(SKP),GeneralFilters
57282.31,15.53,0.06,3.899567782287008e-15,2.1549807947073397e-16,lascumbres_B,LCO(SKP),GeneralFilters
57283.42,15.52,0.05,3.935650038724815e-15,1.8124338220818398e-16,lascumbres_B,LCO(SKP),GeneralFilters
57284.93,15.58,0.04,3.724058320772141e-15,1.3719937879760596e-16,lascumbres_B,LCO(SKP),GeneralFilters
57287.58,15.78,0.06,3.0975367926917232e-15,1.711762090524608e-16,lascumbres_B,LCO(SKP),GeneralFilters
57288.63,15.86,0.06,2.8775075622247425e-15,1.590169444261516e-16,lascumbres_B,LCO(SKP),GeneralFilters
57289.67,15.95,0.03,2.6486006033662734e-15,7.318353919927458e-17,lascumbres_B,LCO(SKP),GeneralFilters
57289.92,15.98,0.03,2.5764188838185344e-15,7.118908458226699e-17,lascumbres_B,LCO(SKP),GeneralFilters
57291.24,16.13,0.06,2.2439670402812307e-15,1.2400620134691677e-16,lascumbres_B,LCO(SKP),GeneralFilters
57292.28,16.27,0.04,1.9724975554335576e-15,7.266949547373612e-17,lascumbres_B,LCO(SKP),GeneralFilters
57293.29,16.4,0.05,1.7499130650330634e-15,8.058647475161306e-17,lascumbres_B,LCO(SKP),GeneralFilters
57296.3,16.78,0.04,1.2331516082238529e-15,4.543098416796605e-17,lascumbres_B,LCO(SKP),GeneralFilters
57297.31,16.9,0.05,1.104120500584457e-15,5.0846628110297894e-17,lascumbres_B,LCO(SKP),GeneralFilters
57299.35,17.1,0.05,9.183674313178947e-16,4.2292383144876357e-17,lascumbres_B,LCO(SKP),GeneralFilters
57300.53,17.18,0.04,8.531324744077576e-16,3.1430561886726834e-17,lascumbres_B,LCO(SKP),GeneralFilters
57301.52,17.27,0.05,7.852654207173447e-16,3.616280903574904e-17,lascumbres_B,LCO(SKP),GeneralFilters
57316.22,17.83,0.04,4.688311655023568e-16,1.7272378445068025e-17,lascumbres_B,LCO(SKP),GeneralFilters
57330.25,18.03,0.05,3.899567782287e-16,1.79581732892278e-17,lascumbres_B,LCO(SKP),GeneralFilters
57335.85,18.08,0.08,3.7240583207721496e-16,2.7439875759521248e-17,lascumbres_B,LCO(SKP),GeneralFilters
57355.21,18.39,0.04,2.799087492551338e-16,1.031221941493565e-17,lascumbres_B,LCO(SKP),GeneralFilters
57361.09,18.51,0.06,2.5062043165210236e-16,1.3849796878124739e-17,lascumbres_B,LCO(SKP),GeneralFilters
57367.05,18.48,0.06,2.5764188838185344e-16,1.42378169164534e-17,lascumbres_B,LCO(SKP),GeneralFilters
57373.14,18.56,0.05,2.393406541332505e-16,1.1022044447093328e-17,lascumbres_B,LCO(SKP),GeneralFilters
57385.49,18.68,0.05,2.1429718867450425e-16,9.868750242248899e-18,lascumbres_B,LCO(SKP),GeneralFilters
57397.46,18.78,0.04,1.9544135891464595e-16,7.200325753461805e-18,lascumbres_B,LCO(SKP),GeneralFilters
57415.05,18.97,0.05,1.640652005198219e-16,7.555481699920403e-18,lascumbres_B,LCO(SKP),GeneralFilters
57422.04,19.1,0.04,1.455514290073731e-16,5.362312811141737e-18,lascumbres_B,LCO(SKP),GeneralFilters
57274.0,17.15,0.04,5.358530084228722e-16,1.97415543876883e-17,lascumbres_V,LCO(SKP),GeneralFilters
57276.93,16.05,0.04,1.4758617365683813e-15,5.437275574308245e-17,lascumbres_V,LCO(SKP),GeneralFilters
