MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57949.03,17.92,0.04,1.7186923357649052e-16,6.3318965628406215e-18,LT_IOO_r,LT,GeneralFilters
57977.98,18.18,0.04,1.352689566645006e-16,4.983492530568587e-18,LT_IOO_r,LT,GeneralFilters
57999.92,18.28,0.07,1.2336675470638936e-16,7.95374861002357e-18,LT_IOO_r,LT,GeneralFilters
57811.21,16.11,0.02,4.804256473348948e-16,8.849767470762747e-18,LT_IOO_i,LT,GeneralFilters
57812.25,16.05,0.02,5.077222359788229e-16,9.352589215571525e-18,LT_IOO_i,LT,GeneralFilters
57813.26,15.99,0.02,5.36569748799529e-16,9.883980039498825e-18,LT_IOO_i,LT,GeneralFilters
57816.19,15.82,0.03,6.275179944607339e-16,1.7338962955569672e-17,LT_IOO_i,LT,GeneralFilters
57820.23,15.8,0.02,6.391844250066944e-16,1.1774212229555083e-17,LT_IOO_i,LT,GeneralFilters
57823.2,15.72,0.02,6.880597986136946e-16,1.267452988301103e-17,LT_IOO_i,LT,GeneralFilters
57823.22,15.76,0.02,6.631720038927431e-16,1.2216079762035358e-17,LT_IOO_i,LT,GeneralFilters
57827.09,15.87,0.02,5.992750323050419e-16,1.103905404791292e-17,LT_IOO_i,LT,GeneralFilters
57834.18,16.1,0.02,4.848709711180013e-16,8.931653360974834e-18,LT_IOO_i,LT,GeneralFilters
57839.16,16.31,0.02,3.996006481617147e-16,7.360915964863367e-18,LT_IOO_i,LT,GeneralFilters
57843.13,16.45,0.02,3.5125796747436235e-16,6.470410877614833e-18,LT_IOO_i,LT,GeneralFilters
57855.13,16.71,0.02,2.7645610439755474e-16,5.0925096388241115e-18,LT_IOO_i,LT,GeneralFilters
57861.0,16.82,0.03,2.498194132461682e-16,6.902765482573741e-18,LT_IOO_i,LT,GeneralFilters
57867.05,16.99,0.02,2.1361226449918154e-16,3.934883327332134e-18,LT_IOO_i,LT,GeneralFilters
57874.05,17.11,0.02,1.912608951218275e-16,3.523155887841733e-18,LT_IOO_i,LT,GeneralFilters
57879.94,17.12,0.03,1.8950740469549138e-16,5.236283100765939e-18,LT_IOO_i,LT,GeneralFilters
57883.18,17.06,0.05,2.002747434078344e-16,9.222992773481743e-18,LT_IOO_i,LT,GeneralFilters
57889.03,17.33,0.03,1.561802752867489e-16,4.315420484339693e-18,LT_IOO_i,LT,GeneralFilters
57899.11,17.42,0.03,1.4375606750397996e-16,3.972126936745321e-18,LT_IOO_i,LT,GeneralFilters
57909.08,17.24,0.05,1.6967825297509133e-16,7.813972318114343e-18,LT_IOO_i,LT,GeneralFilters
57918.92,17.8,0.3,1.0130390439202817e-16,2.799130321382132e-17,LT_IOO_i,LT,GeneralFilters
57928.9,17.72,0.05,1.0905012908290119e-16,5.0219440323072856e-18,LT_IOO_i,LT,GeneralFilters
57929.9,17.69,0.03,1.1210531001001784e-16,3.097584188094519e-18,LT_IOO_i,LT,GeneralFilters
57940.97,17.56,0.06,1.2636482026705948e-16,6.983178034219259e-18,LT_IOO_i,LT,GeneralFilters
57949.03,17.81,0.05,1.0037514461398435e-16,4.622446233905639e-18,LT_IOO_i,LT,GeneralFilters
57977.98,18.08,0.04,7.827556011811156e-17,2.883778205979567e-18,LT_IOO_i,LT,GeneralFilters
57999.92,18.22,0.07,6.88059798613696e-17,4.436085459053861e-18,LT_IOO_i,LT,GeneralFilters
57811.21,16.06,0.02,3.2639350910642814e-16,6.012390628147822e-18,LT_IOO_z,LT,GeneralFilters
57812.25,16.02,0.02,3.3864254043647447e-16,6.238026123701264e-18,LT_IOO_z,LT,GeneralFilters
57813.26,15.96,0.02,3.578833660978599e-16,6.5924552304597036e-18,LT_IOO_z,LT,GeneralFilters
57816.19,15.8,0.02,4.1470714077877513e-16,7.639187842523127e-18,LT_IOO_z,LT,GeneralFilters
57820.23,15.72,0.02,4.464178108922423e-16,8.223319972860098e-18,LT_IOO_z,LT,GeneralFilters
57823.2,15.69,0.03,4.589247853711675e-16,1.2680560435213709e-17,LT_IOO_z,LT,GeneralFilters
57823.22,15.68,0.02,4.631711641279732e-16,8.531928144206159e-18,LT_IOO_z,LT,GeneralFilters
57827.09,15.77,0.02,4.263256996700112e-16,7.853209606563395e-18,LT_IOO_z,LT,GeneralFilters
57834.18,15.95,0.02,3.611948201131041e-16,6.653454467672796e-18,LT_IOO_z,LT,GeneralFilters
57839.16,16.05,0.02,3.2941359106235884e-16,6.068022593678581e-18,LT_IOO_z,LT,GeneralFilters
57843.13,16.13,0.02,3.06014153445403e-16,5.636989023748621e-18,LT_IOO_z,LT,GeneralFilters
57855.13,16.28,0.03,2.665271856621788e-16,7.364418295000672e-18,LT_IOO_z,LT,GeneralFilters
57861.0,16.38,0.02,2.430756823069326e-16,4.4776195403943966e-18,LT_IOO_z,LT,GeneralFilters
57867.05,16.52,0.02,2.1366899804182434e-16,3.935928397808622e-18,LT_IOO_z,LT,GeneralFilters
57874.05,16.61,0.02,1.9667153774452617e-16,3.6228236082140945e-18,LT_IOO_z,LT,GeneralFilters
57879.94,16.62,0.02,1.9486844224846002e-16,3.589609361730202e-18,LT_IOO_z,LT,GeneralFilters
57883.18,16.65,0.03,1.895577361989319e-16,5.237673811600291e-18,LT_IOO_z,LT,GeneralFilters
57889.03,16.81,0.02,1.635842599029487e-16,3.0133334264079406e-18,LT_IOO_z,LT,GeneralFilters
57806.62,16.88,0.03,6.89144426530015e-16,1.9041764201375317e-17,atlas_c,ATLAS,GeneralFilters
57817.62,16.08,0.02,1.4398267839487874e-15,2.6522589513712297e-17,atlas_c,ATLAS,GeneralFilters
57834.57,16.89,0.03,6.828263124507451e-16,1.8867188257838167e-17,atlas_c,ATLAS,GeneralFilters
57838.57,17.08,0.04,5.73205367044994e-16,2.11176661341117e-17,atlas_c,ATLAS,GeneralFilters
57870.59,17.89,0.06,2.718380512292442e-16,1.5022325867256225e-17,atlas_c,ATLAS,GeneralFilters
57894.47,18.15,0.07,2.1394899369889756e-16,1.379380137946044e-17,atlas_c,ATLAS,GeneralFilters
57898.47,18.29,0.08,1.880659829146399e-16,1.385721372027273e-17,atlas_c,ATLAS,GeneralFilters
57984.3,19.1,0.3,8.918878509735793e-17,2.4643772043291108e-17,atlas_c,ATLAS,GeneralFilters
57988.29,19.3,0.2,7.418400023264411e-17,1.3665197845948256e-17,atlas_c,ATLAS,GeneralFilters
57818.61,15.77,0.02,1.1754935305389025e-15,2.1653391042638544e-17,atlas_o,ATLAS,GeneralFilters
57822.64,15.83,0.03,1.112295661540985e-15,3.0733864911194615e-17,atlas_o,ATLAS,GeneralFilters
57830.56,16.07,0.02,8.917030318586943e-16,1.6425776868283363e-17,atlas_o,ATLAS,GeneralFilters
