MJD	LT_IOO_z	LT_IOO_z_err	ZTF_g	ZTF_g_err	ZTF_i	ZTF_i_err	ZTF_r	ZTF_r_err
58637.624765625	nan	nan	nan	nan	nan	nan	nan	nan
58637.674765625	nan	nan	nan	nan	nan	nan	nan	nan
58637.724765625004	nan	nan	nan	nan	nan	nan	nan	nan
58637.77476562501	1.3605239536499119e-17	2.2513800981671626e-18	nan	nan	nan	nan	nan	nan
58637.82476562501	1.3655366838393029e-17	2.2046074819848055e-18	1.0445410959870812e-16	2.504516068749655e-17	nan	nan	nan	nan
58637.87476562501	1.3705678270387258e-17	2.1595465548032918e-18	1.0765314436018525e-16	2.4281396711112977e-17	nan	nan	nan	nan
58637.924765625015	1.3756174506542996e-17	2.1163272990977612e-18	1.108796408709634e-16	2.352424781278944e-17	nan	nan	1.2135978244597878e-16	2.62209854489914e-17
58637.97476562502	1.380685622337962e-17	2.0750857975341476e-18	1.141337852116183e-16	2.2774146670859454e-17	nan	nan	1.221848643378979e-16	2.5904472904276526e-17
58638.02476562502	1.3857724099883562e-17	2.035963598282145e-18	1.1741576459882123e-16	2.2031562424859778e-17	nan	nan	1.2301361865487002e-16	2.5588231553012522e-17
58638.074765625024	1.3908778817517337e-17	1.9991068225568397e-18	1.2072576739187844e-16	2.129700511807271e-17	nan	nan	1.2384605950345458e-16	2.5272274871863372e-17
58638.12476562503	1.3960021060228415e-17	1.9646649837175066e-18	1.2406398309930817e-16	2.0571030758531564e-17	nan	nan	1.2468220104043083e-16	2.4956616602259633e-17
58638.17476562503	1.401145151445839e-17	1.9327894950188814e-18	1.2743060238544536e-16	1.9854247079077263e-17	nan	nan	1.2552205747298693e-16	2.4641270759238436e-17
58638.22476562503	1.406307086915192e-17	1.903631855463829e-18	1.3082581707710512e-16	1.9147320081342242e-17	nan	nan	1.2636564305888277e-16	2.4326251640762104e-17
58638.274765625036	1.4114879815765877e-17	1.8773415205470908e-18	1.3424982017024855e-16	1.8450981448902444e-17	nan	nan	1.2721297210662818e-16	2.401157383755982e-17
58638.32476562504	1.4166879048278442e-17	1.854063486811882e-18	1.3770280583672232e-16	1.7766036909042515e-17	nan	nan	1.2806405897564354e-16	2.369725224353605e-17
58638.37476562504	1.421906926319825e-17	1.8339356450849125e-18	1.411849694310019e-16	1.709337560642303e-17	nan	nan	1.2891891807645158e-16	2.3383302066784724e-17
58638.424765625045	1.4271451159573617e-17	1.8170859850533458e-18	1.4469650749700773e-16	1.6433980519928816e-17	nan	nan	1.297775638708283e-16	2.3069738841250045e-17
58638.47476562505	1.432402543900171e-17	1.8036297605838528e-18	1.4823761777491746e-16	1.5788939898185818e-17	nan	nan	1.306400108719951e-16	2.2756578439096197e-17
58638.52476562505	1.4376792805637835e-17	1.7936667471743534e-18	1.5180849920806285e-16	1.5159459598695815e-17	nan	nan	1.3150627364479132e-16	2.244383708383667e-17
58638.57476562505	1.4429753966204707e-17	1.787278736264374e-18	1.554093519498151e-16	1.454687607573445e-17	nan	nan	1.3237636680583537e-16	2.2131531364270277e-17
58638.624765625056	1.448290963000181e-17	1.7845274123366252e-18	1.5904037737055182e-16	1.395266955503897e-17	nan	nan	1.3325030502371766e-16	2.1819678249325855e-17
58638.67476562506	1.453626025567765e-17	1.785442320814249e-18	1.627017780646357e-16	1.3378476637322229e-17	nan	nan	1.341281030191743e-16	2.150829510384621e-17
58638.72476562506	1.4589805291519127e-17	1.789988865551048e-18	1.6639375785744813e-16	1.2826101166136265e-17	nan	nan	1.3500977556524735e-16	2.1197399705421574e-17
58638.774765625065	1.4643543935135312e-17	1.79810029980057e-18	1.7011652181243483e-16	1.2297521662189006e-17	nan	nan	1.3589533748748605e-16	2.0887010262349408e-17
58638.82476562507	1.4697475386658098e-17	1.809689751557469e-18	1.7387027623823404e-16	1.1794892966232144e-17	nan	nan	1.3678480366411163e-16	2.0577145432822636e-17
58638.87476562507	1.4751598848706025e-17	1.8246523469847628e-18	1.776552286958077e-16	1.132053898265554e-17	nan	nan	1.3767818902619643e-16	2.0267824345441626e-17
58638.92476562507	1.4805913526348026e-17	1.84286772496367e-18	1.8147158800561458e-16	1.087693267513705e-17	nan	nan	1.3857550855784958e-16	1.995906662118737e-17
