MJD	LT_IOO_z	LT_IOO_z_err	ZTF_g	ZTF_g_err	ZTF_i	ZTF_i_err	ZTF_r	ZTF_r_err
58638.97476562508	1.486041862706724e-17	1.8642027966819448e-18	1.8531956425484884e-16	1.0466658929009124e-17	nan	nan	1.3947677729638858e-16	1.965089239696289e-17
58639.02476562508	1.491511336072482e-17	1.8885146043321312e-18	1.8919936880469595e-16	1.0092355876203026e-17	nan	nan	1.4038201033252697e-16	1.9343322350874902e-17
58639.07476562508	1.4969996939523858e-17	1.9156531455693595e-18	1.93111214297632e-16	9.756631201290545e-18	nan	nan	1.4129122281055206e-16	1.903637772937823e-17
58639.124765625085	1.502506857797322e-17	1.945464051982237e-18	1.9705531466476448e-16	9.461952258872072e-18	nan	nan	1.4220442992851292e-16	1.8730080376501193e-17
58639.17476562509	1.5080327492851505e-17	1.9777910365323104e-18	2.010318851332246e-16	9.210512809834399e-18	nan	nan	1.4312164693838854e-16	1.842445276531212e-17
58639.22476562509	1.5135772903170937e-17	2.0124780529777967e-18	2.0504113612694928e-16	9.004072123627848e-18	nan	nan	1.4404288914628257e-16	1.8119518031864095e-17
58639.274765625094	1.5191404030141403e-17	2.049371136683211e-18	2.090827528871307e-16	8.84274439045616e-18	nan	nan	1.4496817191260786e-16	1.7815300011852454e-17
58639.3247656251	1.524722009713444e-17	2.0883199188887903e-18	2.1315549744206218e-16	8.724116415478671e-18	nan	nan	1.4589751065226456e-16	1.7511823280258705e-17
58639.3747656251	1.530322032964717e-17	2.129178824378423e-18	2.1725803935203013e-16	8.645007616643428e-18	nan	nan	1.4683092083482462e-16	1.7209113194276676e-17
58639.4247656251	1.5359403955266425e-17	2.1718079753134795e-18	2.2138904935856503e-16	8.601777877934064e-18	nan	nan	1.477684179847247e-16	1.6907195939853538e-17
58639.474765625106	1.5415770203632795e-17	2.2160738321290964e-18	2.255471993254836e-16	8.590469402903539e-18	nan	nan	1.4871001768144292e-16	1.6606098582224422e-17
58639.52476562511	1.5472318306404673e-17	2.2618496065450814e-18	2.2973116217994846e-16	8.606957519331162e-18	nan	nan	1.4965573555969603e-16	1.6305849120867836e-17
58639.57476562511	1.5529047497222364e-17	2.309015482773564e-18	2.3393961185356377e-16	8.647094626922949e-18	nan	nan	1.5060558730960946e-16	1.6006476549318402e-17
58639.624765625114	1.5585957011672218e-17	2.357458681789154e-18	2.3817122322351084e-16	8.706835285789107e-18	nan	nan	1.5155958867692376e-16	1.5708010920414035e-17
58639.67476562512	1.5643046087250794e-17	2.4070734008299097e-18	2.4242467205370426e-16	8.782335516393519e-18	nan	nan	1.5251775546318246e-16	1.541048341752019e-17
58639.72476562512	1.5700313963328962e-17	2.4577606567563818e-18	2.4669863493597664e-16	8.870024257273931e-18	nan	nan	1.5348010352589641e-16	1.5113926432429596e-17
58639.77476562512	1.5757759881116038e-17	2.5094280580021518e-18	2.5099178923128856e-16	8.966648660653409e-18	nan	nan	1.5444664877876474e-16	1.481837365066552e-17
58639.824765625126	1.5815383083624116e-17	2.561989525938065e-18	2.553028130109741e-16	9.069297173759914e-18	nan	nan	1.5541740719185128e-16	1.452386014506085e-17
58639.87476562513	1.5873182815632086e-17	2.615364982782963e-18	2.5963038499798226e-16	9.175405292598396e-18	nan	nan	1.5639239479176947e-16	1.423042247853123e-17
58639.92476562513	1.5931158323649963e-17	2.6694800198471515e-18	2.6397318450816356e-16	9.282748849512358e-18	nan	nan	1.5737162766188465e-16	1.3938098817160306e-17
58639.974765625135	1.5989308855883068e-17	2.72426555696551e-18	2.683298913915675e-16	9.389429104211265e-18	nan	nan	1.583551219425019e-16	1.3646929054804232e-17
58640.02476562514	1.604763366219624e-17	2.779657501470059e-18	2.7269918597374e-16	9.49385307371345e-18	nan	nan	1.5934289383105387e-16	1.3356954950591296e-17
58640.07476562514	1.610613199407814e-17	2.835596412960442e-18	2.770797489970617e-16	9.594711676678544e-18	nan	nan	1.6033495958231038e-16	1.3068220280917862e-17
58640.12476562514	1.6164803104605445e-17	2.8920271784145948e-18	2.8147026156207566e-16	9.690957500511934e-18	nan	nan	1.6133133550855452e-16	1.278077100771573e-17
58640.17476562515	1.6223646248407165e-17	2.948898700798123e-18	2.858694050688417e-16	9.781783374247781e-18	nan	nan	1.6233203797978123e-16	1.249465546503092e-17
58640.22476562515	1.6282660681628822e-17	3.0061636032381134e-18	2.902758611582766e-16	9.866602450996622e-18	nan	nan	1.6333708342390045e-16	1.2209924566249759e-17
58640.27476562515	1.634184566189685e-17	3.0637779499713286e-18	2.946883116535316e-16	9.945030154602484e-18	nan	nan	1.6434648832693416e-16	1.1926632034590682e-17
58640.324765625155	1.640120044828278e-17	3.1217009846267083e-18	2.9910543850135703e-16	1.0016868100294213e-17	nan	nan	1.6536026923319487e-16	1.1644834659924744e-17
58640.37476562516	1.6460724301267534e-17	3.1798948859102636e-18	3.03525923713454e-16	1.008208993335362e-17	nan	nan	1.6637844274550884e-16	1.1364592585343219e-17
58640.42476562516	1.6520416482705783e-17	3.238324540403898e-18	3.079484493078611e-16	1.0140828920374778e-17	nan	nan	1.674010255253893e-16	1.1085969627430218e-17
58640.474765625164	1.6580276255790186e-17	3.2969573319336886e-18	3.1237169725031687e-16	1.0193367057206674e-17	nan	nan	1.6842803429325504e-16	1.0809033634762158e-17
58640.52476562517	1.6640302885015655e-17	3.3557629467911508e-18	3.1679434939562016e-16	1.0240125412116679e-17	nan	nan	1.6945948582861973e-16	1.053385688977006e-17
58640.57476562517	1.6700495636143747e-17	3.414713193980065e-18	3.2121508742899263e-16	1.0281655393205714e-17	nan	nan	1.704953969702902e-16	1.0260516559863179e-17
58640.62476562517	1.6760853776166887e-17	3.473781839598644e-18	3.256325928074331e-16	1.031863060909048e-17	nan	nan	1.7153578461657166e-16	9.989095204562952e-18
58640.674765625175	1.682137657327269e-17	3.5329444544417294e-18	3.300455467010574e-16	1.0351838978220205e-17	nan	nan	1.725806657254723e-16	9.719681346323068e-18
58640.72476562518	1.688206329680823e-17	3.5921782739050996e-18	3.344526299344315e-16	1.0382174733441267e-17	nan	nan	1.7363005731489314e-16	9.452370113766574e-18
58640.77476562518	1.694291321724438e-17	3.651462069294685e-18	3.3885252292789636e-16	1.0410629965432439e-17	nan	nan	1.7468397646284193e-16	9.187263967331764e-18
58640.824765625184	1.700392560614005e-17	3.71077602967436e-18	3.4324390563886277e-16	1.043828535322218e-17	nan	nan	1.7574244030763399e-16	8.924473518574892e-18
58640.87476562519	1.706509973610652e-17	3.770101653426609e-18	3.476254575031123e-16	1.0466299745776329e-17	nan	nan	1.7680546604809003e-16	8.664118455817033e-18
58640.92476562519	1.71264348807717e-17	3.829421648746262e-18	3.5199585737605704e-16	1.0495898289452924e-17	nan	nan	1.7787307094374964e-16	8.406328590419063e-18
58640.97476562519	1.7187930314744372e-17	3.888719842336694e-18	3.563537834739989e-16	1.05283588464075e-17	nan	nan	1.7894527231507344e-16	8.151245039462055e-18
58641.024765625196	1.724958531357851e-17	3.9479810956266165e-18	3.60697913315345e-16	1.0564996522498689e-17	nan	nan	1.8002208754363992e-16	7.899021562215295e-18
58641.0747656252	1.7311399153737506e-17	4.007191227876352e-18	3.6502692366182837e-16	1.0607146222171074e-17	nan	nan	1.8110353407236557e-16	7.649826069185886e-18
58641.1247656252	1.7373371112558465e-17	4.0663369455887506e-18	3.6933949045966175e-16	1.0656143271813596e-17	nan	nan	1.8218962940570747e-16	7.403842323557228e-18
58641.174765625205	1.743550046821632e-17	4.125405777687919e-18	3.7363428878071463e-16	1.071330229855362e-17	nan	nan	1.8328039110986926e-16	7.161271855310497e-18
58641.22476562521	1.7497786499688268e-17	4.184386015970969e-18	3.779099994959547e-16	1.0779876441074219e-17	nan	nan	1.843758368130051e-16	6.922336107656952e-18
58641.27476562521	1.756022848671779e-17	4.243266660380029e-18	3.821655985765758e-16	1.0856250481007556e-17	8.51182266159008e-17	4.4779642956996726e-18	1.8547598420544588e-16	6.687278833137343e-18
58641.32476562521	1.7622825709779e-17	4.302037368680054e-18	3.864004667472487e-16	1.0941638592718753e-17	8.586841287836676e-17	4.43686204317783e-18	1.8658085103988972e-16	6.456368751893961e-18
58641.374765625216	1.7685577450040732e-17	4.360688410163152e-18	3.906140130238411e-16	1.1035122492515445e-17	8.662320753322829e-17	4.40678474398617e-18	1.8769045513162027e-16	6.2299024760330265e-18
58641.42476562522	1.774848298933077e-17	4.41921062303372e-18	3.9480564532853093e-16	1.1135750233675236e-17	8.738240390484835e-17	4.387200477546243e-18	1.8880481435872252e-16	6.00820769004373e-18
58641.47476562522	1.7811541610100042e-17	4.477595375158471e-18	3.989747704624391e-16	1.1242553582065814e-17	8.814579545247394e-17	4.377506359924413e-18	1.8992394666229506e-16	5.791646555690104e-18
58641.524765625225	1.787475259538671e-17	4.535834527893437e-18	4.0312079407823204e-16	1.1354563399136209e-17	8.891317576219942e-17	4.377041336106975e-18	1.9104787004664607e-16	5.580619278013248e-18
58641.57476562523	1.7938115228780302e-17	4.593920402725888e-18	4.072431206526657e-16	1.1470822941874773e-17	8.968433853893803e-17	4.385100275503988e-18	1.9217660257953399e-16	5.375567723622339e-18
58641.62476562523	1.8001628794385887e-17	4.651845750492059e-18	4.11341153459121e-16	1.1590399093146947e-17	9.045907759839478e-17	4.400948486426698e-18	1.9331016239235887e-16	5.176978919628728e-18
58641.674765625234	1.8065292576788106e-17	4.709603722952658e-18	4.154142945400584e-16	1.171239161638094e-17	9.123718685903943e-17	4.423835837227985e-18	1.9444856768038672e-16	4.985388177675917e-18
58641.72476562524	1.812910586101524e-17	4.76718784652835e-18	4.1946194467946926e-16	1.1835940585209884e-17	9.201846033408712e-17	4.453009817166279e-18	1.9559183670296795e-16	4.801381479777583e-18
58641.77476562524	1.819306793250337e-17	4.824591998014172e-18	4.234835033752568e-16	1.1960232173960037e-17	9.280269212347623e-17	4.487727056277339e-18	1.9673998778374476e-16	4.6255966313534385e-18
58641.82476562524	1.8257178077060235e-17	4.8818103821083076e-18	4.274783688115981e-16	1.2084503011766088e-17	9.358967640585398e-17	4.527263018690666e-18	1.9789303931088125e-16	4.458722537133521e-18
58641.874765625245	1.83214355808294e-17	4.938837510605456e-18	4.314459378312265e-16	1.220804330570173e-17	9.437920743055786e-17	4.570919762302772e-18	1.9905100973726222e-16	4.301495802905574e-18
58641.92476562525	1.838583973025413e-17	4.995668183117802e-18	4.3538560590771445e-16	1.2330198930428358e-17	9.517107950960316e-17	4.618031803244775e-18	2.0021391758072595e-16	4.154693738869483e-18
58641.97476562525	1.8450389812041403e-17	5.052297469199155e-18	4.39296767117665e-16	1.2450372667100857e-17	9.596508700966999e-17	4.6679702291527424e-18	2.0138178142429404e-16	4.019122785706898e-18
58642.024765625254	1.8515085113125915e-17	5.108720691758504e-18	4.4317881411289544e-16	1.2568024754989703e-17	9.676102434409225e-17	4.720145271390765e-18	2.0255461991635322e-16	3.895601468159065e-18
58642.07476562526	1.85799249206338e-17	5.164933411658913e-18	4.470311380925396e-16	1.2682672898522547e-17	9.755868596484811e-17	4.77400757832376e-18	2.0373245177091706e-16	3.784937279436386e-18
58642.12476562526	1.8644908521846728e-17	5.220931413407704e-18	4.508531287751251e-16	1.2793891850931354e-17	9.835786635454958e-17	4.829048437227824e-18	2.0491529576782402e-16	3.687897481531738e-18
58642.17476562526	1.8710035204165577e-17	5.276710691850748e-18	4.546441743705883e-16	1.2901312675189022e-17	9.915836001843372e-17	4.884799179437836e-18	2.06103170752967e-16	3.605174694149863e-18
58642.224765625266	1.8775304255074418e-17	5.332267439792233e-18	4.584036615522435e-16	1.3004621763865676e-17	9.99599614763537e-17	4.940829979039019e-18	2.072960956385114e-16	3.537349271896773e-18
58642.27476562527	1.8840714962104147e-17	5.387598036467398e-18	4.621309754286947e-16	1.3103559682128946e-17	1.0076246525477241e-16	4.99674822562673e-18	2.0849408694465843e-16	3.484846464587756e-18
58642.32476562527	1.8906266612796424e-17	5.4426990368024e-18	4.658254995157092e-16	1.3197919882800694e-17	1.0156566587875034e-16	5.052196620474265e-18	2.096970329951934e-16	3.44763900975164e-18
58642.374765625274	1.897195849466728e-17	5.4975671614003155e-18	4.694866157080174e-16	1.3287547328928697e-17	1.0236935786393937e-16	5.1068511156931765e-18	2.1090463371170745e-16	3.425108338822971e-18
58642.42476562528	1.9037789895170836e-17	5.552199287198415e-18	4.731137042510684e-16	1.3372337047644088e-17	1.0317333570857256e-16	5.160418789174245e-18	2.1211657401480247e-16	3.416424958664641e-18
58642.47476562528	1.9103760101663007e-17	5.606592438745528e-18	4.767061437127374e-16	1.3452232628997434e-17	1.039773938854521e-16	5.212635725044904e-18	2.1333253888014225e-16	3.4206090536118703e-18
58642.52476562528	1.916986840136516e-17	5.660743780053084e-18	4.802633109549588e-16	1.3527224674893004e-17	1.0478132683393988e-16	5.263264950206775e-18	2.1455221333345598e-16	3.4365668577517574e-18
58642.574765625286	1.923611408132758e-17	5.714650606977116e-18	4.837845811053264e-16	1.3597349195736155e-17	1.0558492895194395e-16	5.312094462053385e-18	2.1577528244551766e-16	3.4631304362014434e-18
58642.62476562529	1.9302496428393173e-17	5.768310340091799e-18	4.872693275286064e-16	1.3662685946082087e-17	1.0638799458790321e-16	5.358935370291762e-18	2.1700143132712744e-16	3.499096920820567e-18
58642.67476562529	1.936901472916094e-17	5.82172051801896e-18	4.907169217982162e-16	1.372335668515358e-17	1.0719031803277239e-16	5.403620166458852e-18	2.1823034512411293e-16	3.543264000741604e-18
58642.724765625295	1.9435668269949415e-17	5.874878791179852e-18	4.94126733667631e-16	1.3779523343293599e-17	1.0799169351200414e-16	5.446001127751502e-18	2.1946170901231534e-16	3.594459573081738e-18
58642.7747656253	1.9502456336760202e-17	5.927782915939266e-18	4.974981310417248e-16	1.3831386071581434e-17	1.0879191517752875e-16	5.4859488566886726e-18	2.2069520819256864e-16	3.65156460301896e-18
58642.8247656253	1.95693782152413e-17	5.980430749113459e-18	5.008304799480688e-16	1.3879181148360865e-17	1.0959077709973016e-16	5.523350954560714e-18	2.2193052788570195e-16	3.7135291971371745e-18
58642.8747656253	1.9636433190650473e-17	6.032820242816567e-18	5.041231445081458e-16	1.3923178713894188e-17	1.1038807325942343e-16	5.558110824187659e-18	2.2316735332752546e-16	3.779382554024007e-18
58642.92476562531	1.970362054781865e-17	6.084949439621362e-18	5.073754869085041e-16	1.3963680302228658e-17	1.111835975398222e-16	5.5901465959898996e-18	2.244053697638159e-16	3.848237814744345e-18
58642.97476562531	1.9770939571113094e-17	6.136816468012566e-18	5.105868673718716e-16	1.4001016138113363e-17	1.119771437185123e-16	5.619390170484929e-18	2.256442624453148e-16	3.9192929502116155e-18
58643.02476562531	1.9838389544400718e-17	6.188419538112455e-18	5.137566441281589e-16	1.403554216630704e-17	1.1276850545941361e-16	5.645786369946853e-18	2.268837166227071e-16	3.991828770410307e-18
58643.074765625315	1.9905969751011248e-17	6.239756937660086e-18	5.16884173385438e-16	1.40676367809664e-17	1.135574763047432e-16	5.669292191893988e-18	2.281234175416242e-16	4.065204995483719e-18
58643.12476562532	1.9973679473700358e-17	6.290827028226989e-18	5.19968809300837e-16	1.4097697224217712e-17	1.143438496669732e-16	5.689876157272038e-18	2.2936305043762393e-16	4.1388551476100494e-18
58643.17476562532	2.0041517994612807e-17	6.341628241653032e-18	5.2300990395135015e-16	1.4126135625490838e-17	1.1512741882078378e-16	5.707517746526738e-18	2.3060230053118553e-16	4.212280841679777e-18
58643.224765625324	2.01094845952454e-17	6.3921590766882714e-18	5.260068160561352e-16	1.4153366705039034e-17	1.1590797689501403e-16	5.722206917185869e-18	2.3184085302269646e-16	4.285045892157213e-18
58643.27476562533	2.0177578556410123e-17	6.442418095826481e-18	5.289592520277169e-16	1.4179493528705305e-17	1.166853168646072e-16	5.733943697065448e-18	2.3307839308744537e-16	4.356770521619591e-18
58643.32476562533	2.0245799158196957e-17	6.492403922318443e-18	5.31867376212324e-16	1.420420660951844e-17	1.1745923154255008e-16	5.7427378476968154e-18	2.34314605870603e-16	4.427125853818028e-18
58643.37476562533	2.0314145679936846e-17	6.542115237352444e-18	5.34731382131999e-16	1.4227177239624778e-17	1.1822951357180888e-16	5.748608593057833e-18	2.355491764822178e-16	4.495828797918302e-18
58643.424765625336	2.038261740016459e-17	6.591550777392027e-18	5.375514611691549e-16	1.424809008514013e-17	1.1899595541725945e-16	5.7515844091533654e-18	2.3678178999220792e-16	4.562637376394944e-18
58643.47476562534	2.0451213596581553e-17	6.640709331660166e-18	5.403278025734664e-16	1.4266646905115022e-17	1.1975834935761294e-16	5.7517028703998716e-18	2.380121314253315e-16	4.62734651193021e-18
58643.52476562534	2.0519933546018456e-17	6.6895897397609084e-18	5.430605934687183e-16	1.428256987836314e-17	1.2051648747733455e-16	5.749010549138003e-18	2.392398857561926e-16	4.689784264561164e-18
58643.574765625344	2.0588776524398074e-17	6.738190889429842e-18	5.457500188595296e-16	1.4295604567372864e-17	1.2127016165855687e-16	5.743562964892866e-18	2.404647379042207e-16	4.74980849544359e-18
58643.62476562535	2.0657741806697815e-17	6.786511714405029e-18	5.48396261638066e-16	1.4305522548965586e-17	1.2201916357298579e-16	5.735424580235238e-18	2.4168637272864453e-16	4.807303925372212e-18
58643.67476562535	2.072682866691235e-17	6.834551192411209e-18	5.509995025906398e-16	1.4312123740918283e-17	1.2276328467380503e-16	5.724668840252794e-18	2.4290447502349794e-16	4.862179552467424e-18
58643.72476562535	2.0796036378016134e-17	6.882308343250023e-18	5.5355992040425185e-16	1.4315238452417016e-17	1.2350231618756618e-16	5.7113782526956584e-18	2.4411872951258695e-16	4.914366392452542e-18
58643.774765625356	2.086536421192584e-17	6.929782226990041e-18	5.560776916730718e-16	1.4314729184180634e-17	1.2423604910608037e-16	5.6956445058406635e-18	2.4532882084448304e-16	4.963815505985374e-18
58643.82476562536	2.093481143946276e-17	6.976971942250315e-18	5.58552990904836e-16	1.431049220145459e-17	1.2496427417829537e-16	5.677568620967923e-18	2.465344335874965e-16	5.0104962794741626e-18
58643.87476562536	2.1004377330315172e-17	7.023876624572042e-18	5.60985990527179e-16	1.4302458899836697e-17	1.2568678190217053e-16	5.657261136086955e-18	2.4773525222466597e-16	5.054394928368239e-18
58643.924765625365	2.1074061153000636e-17	7.070495444872683e-18	5.633768608939e-16	1.4290596980323424e-17	1.2640336251654323e-16	5.634842317148961e-18	2.489309611487305e-16	5.0955131946425685e-18
58643.97476562537	2.1143862174828115e-17	7.116827607978229e-18	5.657257702911617e-16	1.427491144589458e-17	1.2711380599298575e-16	5.6104423924339036e-18	2.5012124465711286e-16	5.133867212923049e-18
58644.02476562537	2.1213779661860287e-17	7.16287235122854e-18	5.680328849435983e-16	1.4255445427607006e-17	1.2781790202765569e-16	5.584201805095373e-18	2.513057869469019e-16	5.169486522323342e-18
58644.07476562537	2.1283812878875473e-17	7.208628943151673e-18	5.702983690203862e-16	1.4232280843518647e-17	1.2851544003313723e-16	5.556271477932655e-18	2.5248427210981996e-16	5.202413203356948e-18
58644.124765625376	2.135396108932979e-17	7.254096682203183e-18	5.725223846412228e-16	1.4205538888765566e-17	1.2920620913027765e-16	5.526813083379852e-18	2.5365638412720175e-16	5.232701121427408e-18
58644.17476562538	2.1424223555319047e-17	7.299274895566855e-18	5.747050918822436e-16	1.41753803500232e-17	1.298899981400078e-16	5.495999310386897e-18	2.548218068649643e-16	5.260415260252259e-18
58644.22476562538	2.149459953754067e-17	7.344162938012898e-18	5.768466487818722e-16	1.4142005732065428e-17	1.3056659557516136e-16	5.464014118342798e-18	2.559802240685902e-16	5.2856311301391956e-18
58644.274765625385	2.1565088295255497e-17	7.388760190810967e-18	5.789472113466034e-16	1.4105655178672277e-17	1.3123578963228088e-16	5.431052966444402e-18	2.57131319358093e-16	5.308434237302053e-18
58644.32476562539	2.1635689086249562e-17	7.433066060694467e-18	5.8100693355671e-16	1.4066608164387936e-17	1.3189736818341413e-16	5.397323004967839e-18	2.582747762229783e-16	5.328919601629017e-18
58644.37476562539	2.1706401166795765e-17	7.477079978873424e-18	5.830259673718866e-16	1.4025182928022367e-17	1.325511187679038e-16	5.36304321274229e-18	2.5941027801722272e-16	5.3471913111239185e-18
58644.424765625394	2.1777223791615507e-17	7.520801400093366e-18	5.850044627368268e-16	1.3981735613115656e-17	1.3319682858416468e-16	5.328444462882922e-18	2.6053750795423735e-16	5.363362101977287e-18
58644.4747656254	2.1848156213840168e-17	7.564229801737526e-18	5.86942567586733e-16	1.3936659075450845e-17	1.3383428448145177e-16	5.293769496481284e-18	2.616561491018222e-16	5.3775529538691734e-18
58644.5247656254	2.191919768497271e-17	7.607364682970159e-18	5.888404278527606e-16	1.389038131278068e-17	1.3446327295161816e-16	5.2592727816895764e-18	2.627658843771457e-16	5.3898926904399e-18
58644.5747656254	2.199034745484895e-17	7.650205563918588e-18	5.90698187467373e-16	1.3843363468113789e-17	1.3508358012086184e-16	5.225220233532513e-18	2.6386639654169985e-16	5.400517575371923e-18
58644.624765625405	2.206160477159893e-17	7.692751984892047e-18	5.92515988369668e-16	1.3796097354968866e-17	1.3569499174146333e-16	5.191888768096319e-18	2.6495736819624405e-16	5.409570894678049e-18
58644.67476562541	2.213296888160817e-17	7.735003505635385e-18	5.942939705106092e-16	1.3749102451824665e-17	1.3629729318351093e-16	5.159565663659689e-18	2.6603848177578477e-16	5.417202516137108e-18
58644.72476562541	2.2204439029478813e-17	7.776959704615643e-18	5.960322718581931e-16	1.3702922313586286e-17	1.3689026942661368e-16	5.1285477011675705e-18	2.6710941954451883e-16	5.4235684170663606e-18
58644.774765625414	2.2276014457990772e-17	7.81862017833988e-18	5.977310284025573e-16	1.3658120351128549e-17	1.3747370505160493e-16	5.099140057487794e-18	2.681698635907812e-16	5.428830171862304e-18
58644.82476562542	2.234769440806264e-17	7.859984540702687e-18	5.993903741610192e-16	1.3615274935927847e-17	1.3804738423223456e-16	5.071654927496757e-18	2.69219495822009e-16	5.4331543911347865e-18
58644.87476562542	2.241947811871272e-17	7.901052422361835e-18	6.010104411830494e-16	1.3574973796119576e-17	1.3861109072684665e-16	5.046409855490233e-18	2.702579979596776e-16	5.436712104699193e-18
58644.92476562542	2.2491364827019866e-17	7.941823470140363e-18	6.025913595551708e-16	1.3537807683220263e-17	1.3916460787004796e-16	5.023725763025155e-18	2.712850515342643e-16	5.439678081224427e-18
58644.974765625426	2.2563353768084187e-17	7.9822973464543e-18	6.041332574058051e-16	1.3504363305206662e-17	1.3970771856436094e-16	5.0039246691953634e-18	2.7230033788015744e-16	5.442230078198367e-18
58645.02476562543	2.2635444174987803e-17	8.02247372876413e-18	6.056362638305445e-16	1.3475172461366737e-17	1.4024020527186607e-16	4.9873271105722576e-18	2.733035381306489e-16	5.444548016668815e-18
58645.07476562543	2.270763527875541e-17	8.062352309049364e-18	6.071005499476086e-16	1.3450099438883849e-17	1.4076185000583297e-16	4.974249281392662e-18	2.742943332128231e-16	5.446813076519201e-18
58645.124765625435	2.2779926308314815e-17	8.101932793304574e-18	6.085263189218439e-16	1.3428489658052098e-17	1.4127243432233282e-16	4.9649999295954255e-18	2.7527240384252633e-16	5.449206709349781e-18
58645.17476562544	2.2852316490457367e-17	8.141214901056289e-18	6.0991377286669045e-16	1.3409666349950067e-17	1.4177173931184537e-16	4.959877060235079e-18	2.7623743051928987e-16	5.4519095677563596e-18
58645.22476562544	2.292480504979828e-17	8.180198364899348e-18	6.1126311196982e-16	1.339295201911712e-17	1.4225954559084267e-16	4.9591645136258035e-18	2.771891287213415e-16	5.455078207220237e-18
