MJD	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	LT_IOO_u	LT_IOO_u_err	LT_IOO_z	LT_IOO_z_err	atlas_c	atlas_c_err	atlas_o	atlas_o_err
57785.67	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57785.72	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57785.770000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57785.82000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57785.87000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57785.92000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57785.970000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.02000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.07000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.120000000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.17000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.22000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.27000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.320000000036	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.37000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.42000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.470000000045	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.52000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.57000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.62000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.67000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57786.72000000006	nan	nan	nan	nan	nan	nan	nan	nan	5.419848557017666e-18	5.005174395383144e-19	nan	nan	nan	nan
57786.77000000006	nan	nan	nan	nan	nan	nan	nan	nan	5.898472242830267e-18	5.363712926147062e-19	nan	nan	nan	nan
57786.820000000065	nan	nan	nan	nan	nan	nan	nan	nan	6.378495474444757e-18	5.935427059941419e-19	nan	nan	nan	nan
57786.87000000007	nan	nan	nan	nan	nan	nan	nan	nan	6.859924751439373e-18	6.643903923108612e-19	nan	nan	nan	nan
57786.92000000007	nan	nan	nan	nan	nan	nan	nan	nan	7.342766579411296e-18	7.431588137867375e-19	nan	nan	nan	nan
57786.970000000074	nan	nan	nan	nan	nan	nan	nan	nan	7.827027469988292e-18	8.259878527667822e-19	nan	nan	nan	nan
57787.02000000008	nan	nan	nan	nan	nan	nan	nan	nan	8.312713940876124e-18	9.103873316390574e-19	nan	nan	nan	nan
57787.07000000008	nan	nan	nan	nan	nan	nan	nan	nan	8.799832515865591e-18	9.94754475934368e-19	nan	nan	nan	nan
57787.12000000008	nan	nan	nan	nan	nan	nan	nan	nan	9.288389724862145e-18	1.0780446126804907e-18	nan	nan	nan	nan
57787.170000000086	nan	nan	nan	nan	nan	nan	nan	nan	9.778392103917748e-18	1.1595656000771835e-18	nan	nan	nan	nan
57787.22000000009	nan	nan	nan	nan	nan	nan	nan	nan	1.0269846195254347e-17	1.2388522307452488e-18	nan	nan	nan	nan
57787.27000000009	nan	nan	7.49834210073341e-18	7.382644958671986e-19	nan	nan	nan	nan	1.0762758547284075e-17	1.315589066443341e-18	nan	nan	nan	nan
57787.320000000094	nan	nan	8.019194827418999e-18	7.630843365248167e-19	nan	nan	nan	nan	1.1257135714645481e-17	1.389562225857115e-18	nan	nan	nan	nan
57787.3700000001	nan	nan	8.541955986818504e-18	8.321645953427879e-19	nan	nan	nan	nan	1.1752984258216038e-17	1.46062862662055e-18	nan	nan	nan	nan
57787.4200000001	nan	nan	9.066654600192513e-18	9.323378816051388e-19	nan	nan	nan	nan	1.2250310745147708e-17	1.5286959328594278e-18	nan	nan	nan	nan
