MJD	kait4_B	kait4_B_err	kait4_I	kait4_I_err	kait4_R	kait4_R_err	kait4_V	kait4_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
57916.270000000106	nan	nan	1.2972982147710235e-16	5.2896319818993145e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.133011865330676e-16	2.769134274976478e-16
57916.32000000011	nan	nan	1.353411917991102e-16	5.4123392314828336e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.381439045338067e-16	2.770796284369215e-16
57916.37000000011	nan	nan	1.410046769908579e-16	5.5305041318102724e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.632091052623127e-16	2.7709458994113805e-16
57916.420000000115	nan	nan	1.4672182441804702e-16	5.643366704949872e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.885023522649863e-16	2.7692373109006687e-16
57916.47000000012	nan	nan	1.5249418226968659e-16	5.750291521184187e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.140292130627617e-16	2.765368658149856e-16
57916.52000000012	nan	nan	1.5832329958190377e-16	5.850748962702099e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.397952592456296e-16	2.7590790947966864e-16
57916.57000000012	nan	nan	1.6421072626135354e-16	5.944299448537765e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.6580606657073145e-16	2.75014593268658e-16
57916.620000000126	nan	nan	1.701580131088764e-16	6.030580224470263e-17	1.5315060754516295e-16	1.211451352958904e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.920672150581979e-16	2.7383819478164637e-16
57916.67000000013	nan	nan	1.7616671184325206e-16	6.109294336653525e-17	1.7479112097523112e-16	1.193057979459125e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.185842890869884e-16	2.723632904582414e-16
57916.72000000013	nan	nan	1.822383751247617e-16	6.18020144378414e-17	1.9652790033938272e-16	1.179217384394733e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.453628774921858e-16	2.70577533480828e-16
57916.770000000135	nan	nan	1.8837455657945744e-16	6.24311016633197e-17	2.1836302806469098e-16	1.1696366999204257e-16	nan	nan	nan	nan	1.0585681055521219e-15	1.066007208038119e-15	nan	nan	nan	nan	nan	nan	8.724085736616341e-16	2.6847145936532594e-16
57916.82000000014	nan	nan	1.9457681082201765e-16	6.297871715210519e-17	2.4029858751662587e-16	1.163981230919897e-16	nan	nan	nan	nan	1.0607064886353656e-15	1.025263630611442e-15	nan	nan	nan	nan	nan	nan	8.997269756317777e-16	2.660383205484869e-16
57916.87000000014	nan	nan	2.0084669347995906e-16	6.344374583263364e-17	2.6233666301832214e-16	1.1618845931177135e-16	nan	nan	1.1955963330022536e-15	1.1258604745242189e-15	1.062838726663332e-15	9.84788947441462e-16	nan	nan	nan	nan	nan	nan	9.27323686185472e-16	2.632739507601758e-16
57916.920000000144	nan	nan	2.0718576121750496e-16	6.382540118927451e-17	2.8447933987092866e-16	1.1629597920298577e-16	nan	nan	1.2216748621365618e-15	1.0800519665696525e-15	1.0649646991379675e-15	9.44596065045602e-16	nan	nan	nan	nan	nan	nan	9.552043129475887e-16	2.60176659751953e-16
57916.97000000015	nan	nan	2.135955717589182e-16	6.412318832657506e-17	3.067287043719486e-16	1.166810252189987e-16	2.291289877598769e-16	2.4705691296968983e-16	1.247931571051249e-15	1.0346616104340457e-15	1.0670842844803848e-15	9.046984888381575e-16	nan	nan	nan	nan	nan	nan	9.833744684827803e-16	2.567471590276627e-16
57917.02000000015	nan	nan	2.2007768391267502e-16	6.433687312569014e-17	3.2908684383711614e-16	1.1730399609733429e-16	2.7074248106243815e-16	2.424968801704003e-16	1.274367427108414e-15	9.89704963620501e-16	1.069197360023063e-15	8.651103804823361e-16	nan	nan	nan	nan	nan	nan	1.0118397703921169e-15	2.529885194687944e-16
57917.07000000015	nan	nan	2.266336575948556e-16	6.446645647992166e-17	3.5155584661527706e-16	1.1812621404517878e-16	3.125058941944857e-16	2.383057646126377e-16	1.300983402412174e-15	9.451985007289802e-16	1.0713038020020731e-15	8.25846625365384e-16	nan	nan	nan	nan	nan	nan	1.0406058414096766e-15	2.4890616219577075e-16
57917.120000000155	nan	nan	2.332650538532606e-16	6.45121527723745e-17	3.7413780211413007e-16	1.191106135759394e-16	3.5442115939452183e-16	2.344647886868778e-16	1.3277804738303989e-15	9.011597358771176e-16	1.0734034855484045e-15	7.869229127955724e-16	nan	nan	nan	nan	nan	nan	1.0696783095001704e-15	2.4450788461168217e-16
57917.17000000016	nan	nan	2.399734348913364e-16	6.447437190837904e-17	3.968348008140816e-16	1.2022224544524535e-16	3.964902098740554e-16	2.3095378202313905e-16	1.3547596230158541e-15	8.576073715047462e-16	1.0754962846806544e-15	7.483558323651811e-16	nan	nan	nan	nan	nan	nan	1.0990628079556248e-15	2.398039243203986e-16
57917.22000000016	6.314666607944436e-16	9.063224404908983e-16	2.4676036409103066e-16	6.435370433672157e-17	4.196489342915876e-16	1.2142860761401228e-16	4.3871497982313884e-16	2.277513736346962e-16	1.3819218364288674e-15	8.145614810271694e-16	1.0775820722962166e-15	7.101629911114817e-16	nan	nan	nan	nan	nan	nan	1.1287649754927248e-15	2.3480706449471334e-16
57917.270000000164	6.716823350581621e-16	8.795550719677968e-16	2.5362740603813194e-16	6.415090859120618e-17	4.425822952356732e-16	1.2269982664338894e-16	4.810974044299649e-16	2.248352080594858e-16	1.4092681053599936e-15	7.720437353801351e-16	1.0796607201634251e-15	6.723631577735378e-16	nan	nan	nan	nan	nan	nan	1.1587904563497804e-15	2.295327852796006e-16
57917.32000000017	7.12084795395406e-16	8.529838252196519e-16	2.6057612654470433e-16	6.386690096464997e-17	4.656369774710025e-16	1.2400871813223008e-16	5.236394198828884e-16	2.2218217803668455e-16	1.4367994259518345e-15	7.300776870844419e-16	1.0817320989130983e-15	6.349764428278266e-16	nan	nan	nan	nan	nan	nan	1.189144900384771e-15	2.2399946689078884e-16
57917.37000000017	7.526745615738262e-16	8.266123328376683e-16	2.6760809267396875e-16	6.35027469926016e-17	4.888150759740631e-16	1.2533075527331449e-16	5.663429633952958e-16	2.1976866573845875e-16	1.464516799221367e-15	6.886891305501406e-16	1.0837960780302992e-15	5.980245264592841e-16	nan	nan	nan	nan	nan	nan	1.2198339631717504e-15	2.182286511721775e-16
57917.42000000017	7.934521554330435e-16	8.004443491987656e-16	2.7472487276352097e-16	6.305965447585846e-17	5.121186868940735e-16	1.2664397208295036e-16	6.092099732030568e-16	2.1757078465196032e-16	1.4924212310831152e-15	6.479065646335515e-16	1.085852525846016e-15	5.61530951729305e-16	nan	nan	nan	nan	nan	nan	1.2508633060992197e-15	2.1224536931518856e-16
57917.470000000176	8.344181009010641e-16	7.744837586638192e-16	2.819280364495633e-16	6.253896781237713e-17	5.35549907573521e-16	1.2792882377458875e-16	6.522423885915037e-16	2.155646147665655e-16	1.520513732370294e-15	6.077617940596036e-16	1.0879013095285676e-15	5.255215078856015e-16	nan	nan	nan	nan	nan	nan	1.2822385964670006e-15	2.0607854403351965e-16
57917.52000000018	8.755729239781476e-16	7.487345845337336e-16	2.8921915469042825e-16	6.194216344295144e-17	5.591108365661734e-16	1.2916802218687911e-16	6.954421498931463e-16	2.137264246789567e-16	1.548795318859589e-15	5.682907218738159e-16	1.089942295075146e-15	4.900247404669704e-16	nan	nan	nan	nan	nan	nan	1.3139655075843755e-15	1.9976147419612206e-16
57917.57000000018	9.169171527673724e-16	7.232009988645515e-16	2.9659979979117325e-16	6.127084623916398e-17	5.828035736576241e-16	1.3034635984800157e-16	7.3881119851043305e-16	2.1203287547439806e-16	1.577267011292385e-15	5.295344082768692e-16	1.091975347303442e-15	4.550726431348647e-16	nan	nan	nan	nan	nan	nan	1.346049718867194e-15	1.9333240804789744e-16
57917.620000000185	9.584513174568065e-16	6.978873332834377e-16	3.0407154542676053e-16	6.052674667931772e-17	6.066302198846019e-16	1.3145053244640974e-16	7.823514769214627e-16	2.1046120261410198e-16	1.6059298353981914e-15	4.915405060509061e-16	1.094000329842612e-15	4.2070161517948555e-16	nan	nan	nan	nan	nan	nan	1.3784969159361073e-15	1.86835206502734e-16
57917.67000000019	1.0001759503359216e-15	6.727980909687621e-16	3.116359666664989e-16	5.971171867252312e-17	6.305928775530876e-16	1.324689663916806e-16	8.26064928696155e-16	2.0898937345960024e-16	1.6347848219181554e-15	4.543652359533174e-16	1.0960171051252874e-15	3.8695381585698196e-16	nan	nan	nan	nan	nan	nan	1.4113127907147081e-15	1.8032008864797842e-16
57917.72000000019	1.0420915857919144e-15	6.479379599815945e-16	3.1929463999791145e-16	5.882773789198545e-17	6.546936502627935e-16	1.333916557333192e-16	8.699534985052137e-16	2.0759621938688002e-16	1.6638330066271334e-15	4.1807614703862127e-16	1.0980255343780213e-15	3.538791252266786e-16	nan	nan	nan	nan	nan	nan	1.4445030415265438e-15	1.7384443494711242e-16
57917.77000000019	1.0841987603292344e-15	6.233118281937641e-16	3.2704914335052756e-16	5.787690048141447e-17	6.789346429199015e-16	1.3421001089987643e-16	9.140191321335729e-16	2.0626154255313293e-16	1.6930754303577965e-15	3.8275603277450383e-16	1.100025477613297e-15	3.2153805493160206e-16	nan	nan	nan	nan	nan	nan	1.4780733731940084e-15	1.674735959913789e-16
57917.820000000196	1.1264980125596787e-15	5.989248001157178e-16	3.349010561199421e-16	5.686142198727399e-17	7.033179617622611e-16	1.3491672043253394e-16	9.582637764910296e-16	2.0496619835893266e-16	1.722513139023971e-15	3.48508567286583e-16	1.1020167936200861e-15	2.900061859131703e-16	nan	nan	nan	nan	nan	nan	1.5120294971360586e-15	1.6128161187837934e-16
57917.8700000002	1.1689898832097505e-15	5.747822159802974e-16	3.4285195919214207e-16	5.578363635398585e-17	7.278457143756709e-16	1.3550562598069495e-16	1.0026893796264815e-15	2.0369215529388275e-16	1.7521471836428825e-15	3.154665173039698e-16	1.103999339955335e-15	2.5938112698128814e-16	nan	nan	nan	nan	nan	nan	1.546377131466637e-15	1.553516858775161e-16
57917.9200000002	1.2116749151325453e-15	5.508896735444796e-16	3.5090343496712646e-16	5.464599479182059e-17	7.525200097159239e-16	1.359716102495752e-16	1.0472978907397895e-15	2.0242253439559327e-16	1.781978620360442e-15	2.8380379996795613e-16	1.1059729729346603e-15	2.297937457376167e-16	nan	nan	nan	nan	nan	nan	1.5811220010924832e-15	1.4977617620814293e-16
57917.970000000205	1.2545536533046381e-15	5.27253053207904e-16	3.590569987879462e-16	5.345093909772035e-17	7.773429581256196e-16	1.3631049721625297e-16	1.0920912601897758e-15	2.0114163077394153e-16	1.8120085104739972e-15	2.537531639084758e-16	1.1079375476238368e-15	2.0142680616073382e-16	nan	nan	nan	nan	nan	nan	1.6162698378122126e-15	1.446557812480563e-16
57918.02000000021	1.297626644833725e-15	5.038785471729029e-16	3.6731366059866154e-16	5.220010242536884e-17	8.023166713585244e-16	1.3651896371600588e-16	1.137071439512502e-15	1.9983491980136158e-16	1.84223792045542e-15	2.2563160912583975e-16	1.109892917829026e-15	1.7454660165938636e-16	nan	nan	nan	nan	nan	nan	1.6518263804141276e-15	1.4009752377159396e-16
57918.07000000021	1.3408944389676792e-15	4.807726936064276e-16	3.7567420469799794e-16	5.089483333155335e-17	8.274432625935097e-16	1.3659446141307587e-16	1.1822403814268068e-15	1.9848905051739838e-16	1.8726679219765645e-15	1.9987482884111141e-16	1.1118389360882911e-15	1.4955702662668444e-16	nan	nan	nan	nan	nan	nan	1.687797374775533e-15	1.3621114143681145e-16
57918.12000000021	1.3843575870920044e-15	4.579424170660044e-16	3.84139415901276e-16	4.953663014562188e-17	8.527248464576711e-16	1.365351481350305e-16	1.2276000398534624e-15	1.9709182867762165e-16	1.9032995919319303e-15	1.7707700989289998e-16	1.113775453662019e-15	1.2708890119478978e-16	nan	nan	nan	nan	nan	nan	1.7241885739605456e-15	1.331036378128681e-16
57918.17000000022	1.4280166427388912e-15	4.3539507679899417e-16	3.927100806234593e-16	4.8127167003020006e-17	8.781635390464752e-16	1.363398275749496e-16	1.2731523699211513e-15	1.956321916814256e-16	1.9341340124625987e-15	1.5801674378342425e-16	1.1157023205237223e-15	1.0812650846625206e-16	nan	nan	nan	nan	nan	nan	1.761005870560644e-15	1.308706177867901e-16
57918.22000000022	1.4718721615875001e-15	4.131385251137605e-16	4.013869868907921e-16	4.666832093868958e-17	9.037614579409348e-16	1.3600789640943996e-16	1.3188993279814936e-15	1.9410017736564114e-16	1.9651722709825345e-15	1.436166649991638e-16	1.1176193853508448e-15	9.409539340542757e-17	nan	nan	nan	nan	nan	nan	1.798260305444861e-15	1.295322041786214e-16
57918.27000000022	1.5159247014798103e-15	3.911811787344813e-16	4.101709243528196e-16	4.5162203039247764e-17	9.295207222298623e-16	1.3553929794186435e-16	1.364842871618889e-15	1.924868884117871e-16	1.9964154601991367e-15	1.3475280664580969e-16	1.1195264955150707e-15	8.661455271969227e-17	nan	nan	nan	nan	nan	nan	1.83596960526027e-15	1.2901325520492728e-16
57918.320000000225	1.5601748224141104e-15	3.695321071221034e-16	4.1906268429370084e-16	4.3611194988185885e-17	9.554434525284268e-16	1.34934481446235e-16	1.4109849596669512e-15	1.9078445383865727e-16	2.0278828669536744e-15	1.317656742256778e-16	1.121430596197304e-15	8.639531928898852e-17	nan	nan	4.3925513135719703e-16	6.975160365017147e-17	nan	nan	1.8741519508578286e-15	1.2921836225390651e-16
57918.37000000023	1.6046230865500928e-15	3.482011432795809e-16	4.280630596443816e-16	4.201799274232798e-17	9.815317709967239e-16	1.341943664551226e-16	1.4573275522150106e-15	1.889859888181781e-16	2.059666539287837e-15	1.3381752712513505e-16	1.123367028200297e-15	9.195986218633883e-17	nan	nan	4.47257196097845e-16	6.868058715949618e-17	nan	nan	1.9128255312960582e-15	1.3004368233767093e-16
57918.42000000023	1.6492700582247027e-15	3.2719902468251997e-16	4.371728449937546e-16	4.038565962500528e-17	1.0077878013622665e-15	1.3332031128288809e-16	1.5038726106248992e-15	1.870855538119251e-16	2.0918767224597075e-15	1.3949713362806362e-16	1.1253782323773066e-15	1.009549919954804e-16	nan	nan	4.553376896525559e-16	6.860522053954525e-17	nan	nan	1.9520085441580513e-15	1.3138366694813486e-16
57918.470000000234	1.694116303948742e-15	3.065375753221708e-16	4.463928366012147e-16	3.8717691875391743e-17	1.0342136689381652e-15	1.323140851321554e-16	1.5506220975414962e-15	1.8507811381236058e-16	2.1246236731923603e-15	1.4737343360583102e-16	1.1275066527579927e-15	1.1140564791133213e-16	nan	nan	4.635031512323288e-16	6.93201883305607e-17	nan	nan	1.9917191958709645e-15	1.3313686180153975e-16
57918.52000000024	1.7391623924048876e-15	2.862299445671076e-16	4.557238324077232e-16	3.7018100721492226e-17	1.06081150064135e-15	1.3117784317431015e-16	1.5975779769037138e-15	1.8295949829440175e-16	2.1580176627341425e-15	1.5626621394941707e-16	1.1297947388000768e-15	1.2200380968643683e-16	nan	nan	4.717601236599156e-16	7.061744850236584e-17	nan	nan	2.031975702023591e-15	1.3521032748706894e-16
57918.57000000024	1.7844088944717487e-15	2.662909260024051e-16	4.651666320479047e-16	3.529151644927615e-17	1.0875834250157989e-15	1.2991410400877495e-16	1.6447422139549537e-15	1.8072636230249802e-16	2.1921689799194613e-15	1.6531062833842778e-16	1.1322849476400433e-15	1.319582007322356e-16	nan	nan	4.801151536614836e-16	7.230615731543357e-17	nan	nan	2.07279628768501e-15	1.375226051853958e-16
57918.62000000024	1.829856383211979e-15	2.4673739082596943e-16	4.747220368622198e-16	3.354332185282634e-17	1.1145315722502736e-15	1.285257289329745e-16	1.6921167752610354e-15	1.7837614896784668e-16	2.2271879342301634e-15	1.739136791637935e-16	1.1350197463446614e-15	1.4080123958017403e-16	nan	nan	4.885747921586388e-16	7.42238679995378e-17	nan	nan	2.1141991877228123e-15	1.4000540501281166e-16
57918.670000000246	1.875505433886146e-15	2.2758888843268984e-16	4.843908499082782e-16	3.17798250013984e-17	1.1416580741976277e-15	1.2701590244592998e-16	1.7397036287193358e-15	1.7590705359499055e-16	2.2631848588569143e-15	1.816861390054494e-16	1.1380416141627539e-15	1.482581184853562e-16	nan	nan	4.971455945606777e-16	7.624014753791656e-17	nan	nan	2.1562026471225515e-15	1.4260430977411723e-16
57918.72000000025	1.9213566239487675e-15	2.0886849606428206e-16	4.941738759728777e-16	3.0008484591440027e-17	1.1689650643965587e-15	1.253881133878718e-16	1.7875047435664337e-15	1.7331798937357164e-16	2.300270113761762e-15	1.883845315813256e-16	1.1413930447771573e-15	1.5417083928706436e-16	nan	nan	5.058341210566939e-16	7.825539336030963e-17	nan	nan	2.1988249213056413e-15	1.4527879727269595e-16
