MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err
57980.525000000125	nan	nan	nan	nan	nan	nan	2.267495670174643e-16	1.8584720216288794e-17	5.212052931185191e-16	3.870515812638589e-17
57980.57500000013	nan	nan	nan	nan	nan	nan	2.288330209008931e-16	1.8405302075615335e-17	5.265248214750016e-16	3.8360340101332385e-17
57980.62500000013	nan	nan	nan	nan	nan	nan	2.3092154249834e-16	1.8234241550104974e-17	5.318581542932992e-16	3.803836137644944e-17
57980.675000000134	nan	nan	nan	nan	nan	nan	2.3301499022000764e-16	1.807153965125123e-17	5.372048813981516e-16	3.773922533404991e-17
57980.72500000014	nan	nan	nan	nan	nan	nan	2.3511322252967113e-16	1.7917197339000012e-17	5.425645928000654e-16	3.7462924394052476e-17
57980.77500000014	nan	nan	nan	nan	nan	nan	2.37216097942783e-16	1.7771215064740188e-17	5.479368226662557e-16	3.72093001416378e-17
57980.82500000014	nan	nan	nan	nan	nan	nan	2.3932347502455303e-16	1.7633592267516657e-17	5.533208812463994e-16	3.6977630469965604e-17
57980.875000000146	nan	nan	nan	nan	nan	nan	2.414352123880825e-16	1.750432682544834e-17	5.587160229269408e-16	3.6767045462999857e-17
57980.92500000015	nan	nan	nan	nan	nan	nan	2.4355116869247535e-16	1.7383414465301453e-17	5.641215022402714e-16	3.657667036695563e-17
57980.97500000015	nan	nan	nan	nan	nan	nan	2.4567120264089045e-16	1.7270848133824802e-17	5.69536573851944e-16	3.6405631188349695e-17
57981.025000000154	nan	nan	nan	nan	nan	nan	2.477951718597221e-16	1.716661434534736e-17	5.749604925479136e-16	3.6253060133456605e-17
57981.07500000016	nan	nan	nan	nan	nan	nan	2.4992289051456056e-16	1.7070579346143573e-17	5.803925132218645e-16	3.6118100823786494e-17
57981.12500000016	nan	nan	nan	nan	nan	nan	2.520541162993883e-16	1.6982454663174358e-17	5.85831890862359e-16	3.5999913229765785e-17
57981.17500000016	nan	nan	nan	nan	nan	nan	2.541886031662221e-16	1.6901939407358138e-17	5.912778805401481e-16	3.5897678273893084e-17
57981.225000000166	nan	nan	nan	nan	nan	nan	2.5632610509846816e-16	1.6828731940703477e-17	5.967297373953918e-16	3.581060206334e-17
57981.27500000017	nan	nan	nan	nan	nan	nan	2.5846637610770995e-16	1.67625314220474e-17	6.021867166249593e-16	3.573791972088003e-17
57981.32500000017	nan	nan	nan	nan	nan	nan	2.6060917023047213e-16	1.6703039305528613e-17	6.076480734695846e-16	3.567889879224038e-17
57981.375000000175	nan	nan	nan	nan	nan	nan	2.627542415249708e-16	1.6649960777963844e-17	6.131130632012498e-16	3.563284221545312e-17
57981.42500000018	nan	nan	nan	nan	nan	nan	2.649013440678876e-16	1.6603006122629004e-17	6.185809411102898e-16	3.559909084595901e-17
57981.47500000018	nan	nan	nan	nan	nan	nan	2.670502319511541e-16	1.656189199920059e-17	6.240509624927798e-16	3.557702553695424e-17
57981.52500000018	nan	nan	nan	nan	nan	nan	2.6920065927869714e-16	1.652634263112924e-17	6.295223826377032e-16	3.556606878082794e-17
57981.575000000186	nan	nan	nan	nan	nan	nan	2.7135238016320603e-16	1.6496090893748463e-17	6.349944568142471e-16	3.556568592159864e-17
57981.62500000019	nan	nan	nan	nan	nan	nan	2.7350514872289776e-16	1.6470879298207024e-17	6.404664402589872e-16	3.5575385952217496e-17
57981.67500000019	nan	nan	nan	nan	nan	nan	2.756587190783147e-16	1.6450460867995223e-17	6.4593758816324165e-16	3.559472191319089e-17
57981.725000000195	nan	nan	nan	nan	nan	nan	2.778128453490537e-16	1.6434599906333233e-17	6.514071556602601e-16	3.562329091117083e-17
57981.7750000002	nan	nan	nan	nan	nan	nan	2.799672816505366e-16	1.6423072654163625e-17	6.568743978124213e-16	3.566073377715255e-17
57981.8250000002	nan	nan	nan	nan	nan	nan	2.821217820907946e-16	1.6415667839621997e-17	6.623385695986353e-16	3.570673438477864e-17
57981.875000000204	nan	nan	nan	nan	nan	nan	2.842761007672393e-16	1.6412187120945404e-17	6.677989259013969e-16	3.5761018649338873e-17
57981.92500000021	nan	nan	nan	nan	nan	nan	2.8642999176339216e-16	1.6412445425540072e-17	6.732547214941976e-16	3.582335322799055e-17
57981.97500000021	nan	nan	nan	nan	nan	nan	2.8858320914568396e-16	1.641627118868126e-17	6.787052110286471e-16	3.5893543941046025e-17
57982.02500000021	nan	nan	nan	nan	nan	nan	2.90735506960233e-16	1.642350649575561e-17	6.841496490218254e-16	3.5971433933856954e-17
57982.075000000215	nan	nan	1.724327742061488e-15	6.779414519241799e-16	nan	nan	2.928866392295509e-16	1.6434007132306252e-17	6.895872898969578e-16	3.6056901512002293e-17
57982.12500000022	5.936443636844821e-17	9.666036092023895e-17	1.7280154833075818e-15	6.761140133068073e-16	1.0000698444109956e-15	6.860139988388681e-16	2.950363599493728e-16	1.6447642546404435e-17	6.950174589619004e-16	3.6149743911023726e-17
57982.17500000022	7.114809249252059e-17	9.464073291331512e-17	1.7317108920057212e-15	6.742834561183044e-16	1.004071804644203e-15	6.838374001107957e-16	2.971844230853893e-16	1.646429572786413e-17	7.004396924525964e-16	3.624945110725295e-17
57982.225000000224	8.301842916892128e-17	9.268869988581932e-17	1.735413983459229e-15	6.724497856392701e-16	1.0080894216646912e-15	6.816548894913596e-16	2.9933058257001783e-16	1.6483863009057895e-17	7.058535654543368e-16	3.6355482950305064e-17
57982.27500000023	9.497592760963173e-17	9.080666904738323e-17	1.739124773000052e-15	6.706130072585323e-16	1.0121227556904523e-15	6.794664678192388e-16	3.0147459229916465e-16	1.6506253791668427e-17	7.112586528651614e-16	3.646733314989604e-17
57982.32500000023	1.0702107140498085e-16	8.899702513047473e-17	1.7428432759888087e-15	6.687731264742116e-16	1.0161718671680558e-15	6.772721361319103e-16	3.03616206128998e-16	1.653139020396187e-17	7.16654529388502e-16	3.6584530314291114e-17
57982.37500000023	1.191543465347699e-16	8.726210742799649e-17	1.746569507814887e-15	6.669301488947992e-16	1.0202368167734506e-15	6.750718956682162e-16	3.057551778726959e-16	1.6559206692774406e-17	7.220407695257192e-16	3.670663870526056e-17
57982.425000000236	1.3137617538832223e-16	8.560411077667261e-17	1.750303483896391e-15	6.650840802402291e-16	1.0243176654128451e-15	6.728657478709525e-16	3.0789126129723357e-16	1.6589649554300513e-17	7.274169475686478e-16	3.6833258728661637e-17
57982.47500000024	1.4368546497082016e-16	8.402345272976129e-17	1.7540452196802897e-15	6.632349263429782e-16	1.0284144742235901e-15	6.70653694389506e-16	3.1002421012011156e-16	1.662267640761723e-17	7.327826375921682e-16	3.696402718020538e-17
57982.52500000024	1.5607960687107895e-16	8.251876131354592e-17	1.757794730642414e-15	6.613826931491776e-16	1.032527304574999e-15	6.684357370825048e-16	3.1215377800615807e-16	1.6658255614559314e-17	7.381374134467845e-16	3.70986172647832e-17
57982.575000000244	1.685559289904173e-16	8.10884855657329e-17	1.7615520322874896e-15	6.595273867197227e-16	1.0366562180692736e-15	6.662118780205161e-16	3.1427971858272934e-16	1.6696365620159118e-17	7.434808487510838e-16	3.723673840730317e-17
57982.62500000025	1.811117614579585e-16	7.973097649673734e-17	1.765317140149237e-15	6.576690132314149e-16	1.0408012765423314e-15	6.639821194887748e-16	3.164018099292952e-16	1.6736955209629966e-17	7.488125168844244e-16	3.7378135871594677e-17
57982.67500000025	1.9374443655493957e-16	7.844449638672424e-17	1.7690900697903647e-15	6.55807578978091e-16	1.0449625420647212e-15	6.617464639899389e-16	3.185199028952426e-16	1.677986600942653e-17	7.541319909793784e-16	3.752259020265776e-17
57982.72500000025	2.0645128863905884e-16	7.722722933620786e-17	1.7728708368026477e-15	6.539430903717943e-16	1.0491400769424654e-15	6.595049142468948e-16	3.206338617313665e-16	1.682492741593729e-17	7.594388439142962e-16	3.766991650644239e-17
57982.775000000256	2.1922965406880542e-16	7.60772929514731e-17	1.7766594568070165e-15	6.520755539439337e-16	1.0533339437179878e-15	6.572574732055748e-16	3.2274355062253426e-16	1.68719784246953e-17	7.647326483058039e-16	3.7819963579561016e-17
