MJD	nickel2_B	nickel2_B_err	nickel2_I	nickel2_I_err	nickel2_R	nickel2_R_err	nickel2_V	nickel2_V_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55798.15500000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.488732024905196e-15	4.350942292551241e-16	2.019555455486353e-14	9.137812892422731e-15	nan	nan	9.875673745855008e-16	6.046108274430572e-16	nan	nan	6.801581244808571e-15	7.188590549246574e-16
55798.20500000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.019717401111478e-15	4.835251069427611e-16	2.0500856746583254e-14	9.004863312649125e-15	nan	nan	1.1032887611633307e-15	7.472544605265683e-16	nan	nan	7.475315232152028e-15	7.847909398331252e-16
55798.255000000136	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.569629236698647e-15	5.34918848858695e-16	2.0807188145425268e-14	8.871911008270535e-15	nan	nan	1.2202915769739354e-15	8.873303522396395e-16	nan	nan	8.15082795805985e-15	8.55074712919597e-16
55798.30500000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.137947433702089e-15	5.879690787378008e-16	2.1114551459409454e-14	8.738959158740753e-15	nan	nan	1.3386819365786291e-15	1.02473790535663e-15	nan	nan	8.828151772283424e-15	9.282165336719725e-16
55798.35500000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.724152377292956e-15	6.417464463787994e-16	2.142294940295155e-14	8.606011090462124e-15	nan	nan	1.458565986529248e-15	1.1594257139901521e-15	nan	nan	9.50731902965258e-15	1.0031346017819496e-15
55798.405000000144	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.327724921990795e-15	6.955785059949072e-16	2.1732384696876624e-14	8.473070287731394e-15	nan	nan	1.5800499078082268e-15	1.2913645961833788e-15	nan	nan	1.0188362090364593e-14	1.079044847478084e-15
55798.45500000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.948146377906198e-15	7.489668464000129e-16	2.204286006845414e-14	8.340140404709677e-15	nan	nan	1.7032399182806322e-15	1.4205367290220237e-15	nan	nan	1.087131331988481e-14	1.1553748402380295e-15
55798.50500000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0584898496982731e-14	8.015322421612736e-16	2.2354378251381226e-14	8.20722527853352e-15	nan	nan	1.828242275128791e-15	1.5469306884204724e-15	nan	nan	1.1556205089160709e-14	1.231702370972837e-15
55798.55500000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1237463459243992e-14	8.529786889329639e-16	2.2666941985814493e-14	8.074328943699252e-15	nan	nan	1.955163277309157e-15	1.6705389622623828e-15	nan	nan	1.2243069774715206e-14	1.3077125476808667e-15
55798.605000000156	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.190532385906082e-14	9.03069695560369e-16	2.2980554018387286e-14	7.94145564786212e-15	nan	nan	2.084109267988961e-15	1.7913566092213673e-15	nan	nan	1.2931939758648162e-14	1.383167959354856e-15
55798.65500000016	nan	nan	nan	nan	nan	nan	nan	nan	3.5108843190545364e-15	2.8082690486501454e-16	1.2587962691423983e-14	9.516124684755599e-16	2.3295217102224252e-14	7.808609869206592e-15	nan	nan	2.2151866369992092e-15	1.909380491967268e-15	nan	nan	1.36228474288199e-14	1.457887843113789e-15
55798.70500000016	nan	nan	nan	nan	nan	nan	nan	nan	3.798351769416675e-15	2.950715914035206e-16	1.3284863338216898e-14	9.984472083970236e-16	2.3610933996934855e-14	7.675796335594156e-15	nan	nan	2.348501823282851e-15	2.0246088173407197e-15	nan	nan	1.4315825178895547e-14	1.5317334122629401e-15
55798.755000000165	nan	nan	nan	nan	nan	nan	nan	nan	4.087555797823286e-15	3.4184844692758695e-16	1.399550955449601e-14	1.0434397616717888e-15	2.392770746865005e-14	7.543020045676246e-15	nan	nan	2.484161317338809e-15	2.1370408495334167e-15	nan	nan	1.5010905408438314e-14	1.6045974105762804e-15
55798.80500000017	nan	nan	nan	nan	nan	nan	nan	nan	4.378651932758595e-15	4.002940427956272e-16	1.4719385454787683e-14	1.0864765098032256e-15	2.424554029002875e-14	7.410286292230238e-15	nan	nan	2.6222716636790252e-15	2.2466767251981806e-15	nan	nan	1.5708120523013478e-14	1.6763965869206012e-15
55798.85500000017	nan	nan	nan	nan	nan	nan	nan	nan	4.671795731723258e-15	4.585011899606277e-16	1.5455975499391312e-14	1.1274607805931804e-15	2.4564435240290725e-14	7.277600687982299e-15	nan	nan	2.762939463270997e-15	2.353517330984235e-15	nan	nan	1.6407502934255674e-14	1.7470662078404567e-15
55798.90500000017	nan	nan	nan	nan	nan	nan	nan	nan	4.967142783567594e-15	5.107775837171863e-16	1.6204764480681317e-14	1.1663103153109105e-15	2.4884395105187468e-14	7.144969194236197e-15	nan	nan	2.9062713759982514e-15	2.457564220585857e-15	nan	nan	1.7109085060043217e-14	1.816556008079646e-15
55798.95500000018	nan	nan	nan	nan	nan	nan	nan	nan	5.264848710909376e-15	5.543888808054818e-16	1.6965237509410636e-14	1.2029554853234438e-15	2.5205422677055594e-14	7.012398152661652e-15	nan	nan	3.0523741231039377e-15	2.558819557555826e-15	nan	nan	1.781289932446905e-14	1.884827167952775e-15
55799.00500000018	nan	nan	nan	nan	nan	nan	nan	nan	5.565069172503438e-15	5.879642928050219e-16	1.7736880001057432e-14	1.237338054094733e-15	2.5527520754827607e-14	6.879894320656014e-15	nan	nan	3.2013544896526166e-15	2.657286075364414e-15	-1.1959082738217526e-14	4.5506705499010715e-15	1.8518978157989068e-14	1.9518500319748915e-15
55799.05500000018	nan	nan	nan	nan	nan	nan	nan	nan	5.86795986561621e-15	6.108001521809564e-16	1.851917766211573e-14	1.2694103473641595e-15	2.5850692144018978e-14	6.747464910748958e-15	-2.5868056014198695e-15	1.6647889225210807e-15	3.3533193269813275e-15	2.7529670492842878e-15	-1.1760411058006856e-14	4.497079353540947e-15	1.9227353997555172e-14	2.017602369446763e-15
55799.105000000185	nan	nan	nan	nan	nan	nan	nan	nan	6.173676528473981e-15	6.225464218201923e-16	1.9311616476446542e-14	1.2991347389055983e-15	2.6174939656778268e-14	6.6151176345942736e-15	-2.5402307352750976e-15	1.6340931361040756e-15	3.5083755551532903e-15	2.845866276570058e-15	-1.1560780994088789e-14	4.443598865689049e-15	1.9938059286632077e-14	2.08206803507842e-15
55799.15500000019	nan	nan	nan	nan	nan	nan	nan	nan	6.4823749425636894e-15	6.230567429235296e-16	2.011368269161246e-14	1.3264833894525136e-15	2.6500266111885528e-14	6.482860752182035e-15	-2.493322467686857e-15	1.6034609135724419e-15	3.6666301654215406e-15	2.935988062568157e-15	-1.1360189230872539e-14	4.390231689711622e-15	2.065112647531812e-14	2.145235928431966e-15
55799.20500000019	nan	nan	nan	nan	nan	nan	nan	nan	6.794210935085122e-15	6.123122754185736e-16	2.0924862805211568e-14	1.3514381973800457e-15	2.6826674334747442e-14	6.35070312698265e-15	-2.4460791124801553e-15	1.5728945087398172e-15	3.828190222682986e-15	3.023337211164267e-15	-1.1158632442677973e-14	4.336980475806659e-15	2.136658802046761e-14	2.2070991787484245e-15
55799.255000000194	nan	nan	nan	nan	nan	nan	nan	nan	7.109340381314628e-15	5.903811702498965e-16	2.1744643551232544e-14	1.3739909344576819e-15	2.715416715746256e-14	6.218654287881309e-15	-2.398498976004952e-15	1.5423962194724464e-15	3.993162867936589e-15	3.1079190184591393e-15	-1.0956107293709481e-14	4.283847922377566e-15	2.208447638575655e-14	2.2676545013711594e-15
55799.3050000002	nan	nan	nan	nan	nan	nan	nan	nan	7.427919206998331e-15	5.573966516938398e-16	2.2572511886397366e-14	1.3941435508399493e-15	2.7482747418777096e-14	6.086724498875162e-15	-2.350580357105571e-15	1.5119683889764126e-15	4.161655320751401e-15	3.189739268904026e-15	-1.075261043802943e-14	4.23083677746817e-15	2.2804824041742317e-14	2.326901685970955e-15
55799.3550000002	nan	nan	nan	nan	nan	nan	nan	nan	7.750103390746313e-15	5.135460829946191e-16	2.3407954976522294e-14	1.4119086414274637e-15	2.7812417964141536e-14	5.954924837666268e-15	-2.3023215470893218e-15	1.4816134071470057e-15	4.3337748817179775e-15	3.268804233322743e-15	-1.0548138519519835e-14	4.1779498402603336e-15	2.3527663466018077e-14	2.3848431871026103e-15
55799.4050000002	nan	nan	nan	nan	nan	nan	nan	nan	8.07604896641207e-15	4.590685132479556e-16	2.4250460182871892e-14	1.4273100717879009e-15	2.8143181645718726e-14	5.82326728449496e-15	-2.2537208296959743e-15	1.4513337119912401e-15	4.50962893492476e-15	3.345120668455397e-15	-1.0342688171863503e-14	4.125189962639695e-15	2.4253027143246448e-14	2.4414837945778964e-15
55799.455000000205	nan	nan	nan	nan	nan	nan	nan	nan	8.405912025494556e-15	3.942633053060626e-16	2.5099515048529947e-14	1.4403837665396522e-15	2.847504132237256e-14	5.691764822766127e-15	-2.2047764810660143e-15	1.4211317911238197e-15	4.6893249504147674e-15	3.418695817703636e-15	-1.0136256018512571e-14	4.0725600508317616e-15	2.498094756531546e-14	2.4968303668237844e-15
55799.50500000021	nan	nan	nan	nan	nan	nan	nan	nan	8.73984871952649e-15	3.1952495014555974e-16	2.5954607284760794e-14	1.4511786666013023e-15	2.880799985971702e-14	5.560431553309078e-15	-2.155486769708905e-15	1.3910101833466578e-15	4.87297048665398e-15	3.4895374128817854e-15	-9.928838672655307e-15	4.020063067112428e-15	2.5711457231370686e-14	2.550891614107784e-15
