spec_file	spec_mjd	nickel2_B_fitflux	nickel2_B_fitfluxerr	nickel2_B_inrange	nickel2_I_fitflux	nickel2_I_fitfluxerr	nickel2_I_inrange	nickel2_R_fitflux	nickel2_R_fitfluxerr	nickel2_R_inrange	nickel2_V_fitflux	nickel2_V_fitfluxerr	nickel2_V_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-04_00-00-00_XLT_BFOSC_None.txt	55808.0	3.6592287502523964e-14	4.863163006269329e-15	False	4.48206283201147e-15	8.933722859963685e-16	False	1.2736552350995688e-14	2.237057758945589e-15	False	3.9959332056008475e-14	5.6200771739754875e-15	False	1.9064541890932744e-13	1.5888323822702196e-15	True	1.1640775911359063e-13	2.024281805672369e-14	True	9.857144735731494e-14	1.2965851766630811e-14	True	1.783221201602436e-14	1.154468816874647e-15	True	1.3628716195879307e-13	5.818909689625616e-15	True	3.936833449868432e-14	1.9128475653457257e-15	True	1.7945481799606714e-13	9.134696249528892e-15	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-05_00-00-00_Lijiang-2.4m_YFOSC_None.txt	55809.0	3.645118828823013e-14	4.809961250430297e-15	False	4.469551386310305e-15	8.84837285734006e-16	False	1.2688391370255708e-14	2.2147664403473936e-15	False	3.977844799037576e-14	5.556565049789356e-15	False	2.1358739516666187e-13	1.6257400715333496e-15	True	1.199052531525424e-13	2.2811225652738586e-14	True	1.0738104451552477e-13	1.4074064060613144e-14	True	2.182136101124469e-14	1.2036401794952199e-15	True	1.5637983822115553e-13	5.7794625512968705e-15	True	4.5379434739461336e-14	1.9326859506694615e-15	True	1.9444157252998467e-13	1.0395450231814695e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-07_08-53-00_HST_STIS_HST-Ia.dat	55811.37	3.611434516039117e-14	4.684278739534359e-15	False	4.439423837554253e-15	8.646063025057006e-16	False	1.2573100248890047e-14	2.162018478732377e-15	False	3.9346607625410096e-14	5.406555461681435e-15	False	2.5163806157747397e-13	1.9184042399238858e-15	True	1.2459590427945636e-13	2.8335779500462265e-14	True	1.2737572652025986e-13	1.5789151647920365e-14	True	3.015137356071713e-14	8.681105619211874e-16	True	1.8946239652287655e-13	3.865663687136507e-15	True	5.6349164994608994e-14	1.3128407953690334e-15	True	2.2316189297072035e-13	1.3341778312591061e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-08_00-00-00_Gemini-N_GMOS_None.dat	55812.0	3.602422550633472e-14	4.6509675721593785e-15	False	4.431301974746039e-15	8.592280542631701e-16	False	1.2542179861416168e-14	2.148017202842403e-15	False	3.9231067514470815e-14	5.3668038934184306e-15	False	2.5938637005845487e-13	1.6032772216642244e-15	True	1.2513474195548309e-13	2.965821631693062e-14	True	1.3236823547500578e-13	1.603224224549614e-14	True	3.183037598406986e-14	7.15658577316683e-16	True	1.934866979929756e-13	3.1876813527401753e-15	True	5.817200465797149e-14	1.0797166607377886e-15	True	2.292792340331505e-13	1.4036733034765328e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-09_00-00-00_Gemini-N_GMOS_None.dat	55813.0	3.5880677156924647e-14	4.5981791690832745e-15	False	4.418311769153633e-15	8.50691100508648e-16	False	1.2492862946046737e-14	2.125811211055187e-15	False	3.9047023723553295e-14	5.303815846668288e-15	False	2.6887489172377115e-13	1.2384479606277832e-15	True	1.254875847709568e-13	3.162458401020536e-14	True	1.3991552564811072e-13	1.6238626157754577e-14	True	3.379458311841646e-14	5.442847732762489e-16	True	1.947576890371134e-13	2.5542532148866315e-15	True	5.984405611726917e-14	8.750746694749287e-16	True	2.3775718705485443e-13	1.501566606936523e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-10_09-22-00_HST_STIS_HST-Ia.dat	55814.39	3.5680120415355546e-14	4.5249824188968324e-15	False	4.4000538815117504e-15	8.388250787955785e-16	False	1.2423827739736555e-14	2.094983214695355e-15	False	3.878988083123266e-14	5.216489754645812e-15	False	2.75792152693425e-13	1.499353086660045e-15	True	1.250976071321799e-13	3.408203638240024e-14	True	1.4948156641689945e-13	1.6168704111469594e-14	True	3.4878529470584773e-14	5.778142348484692e-16	True	1.8617101353914517e-13	2.619133983168701e-15	True	5.957453412034126e-14	9.928509020784217e-16	True	2.471437549637944e-13	1.6073207488214568e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-11_05-28-10_UH88_SNIFS_SNfactory.dat	55815.23	3.555834122254148e-14	4.480851190015104e-15	False	4.388906092365213e-15	8.316547146163782e-16	False	1.2381834235824638e-14	2.076375647644073e-15	False	3.863373739171493e-14	5.163847606782334e-15	False	2.7704898520838465e-13	2.187135385404311e-15	True	1.2444335393112385e-13	3.5409912837698187e-14	True	1.5464557967835732e-13	1.5931966644573185e-14	True	3.46559332789525e-14	5.945767616706222e-16	True	1.763992114552736e-13	2.4534767155783648e-15	True	5.80895856722046e-14	1.1061958391314374e-15	True	2.51530889675491e-13	1.6518742339265736e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-12_00-00-00_Gemini-N_GMOS_PTF.ascii	55816.0	3.5446325748148774e-14	4.440466688369565e-15	False	4.378611290117028e-15	8.250823629354326e-16	False	1.2343157929101934e-14	2.0593338983066706e-15	False	3.849010963165924e-14	5.115680069314524e-15	False	2.7718466095961996e-13	1.8758942553106375e-15	True	1.2360934725261423e-13	3.652275231370439e-14	True	1.5891109578292553e-13	1.5591258344109748e-14	True	3.391765700333605e-14	6.020614594485347e-16	True	1.6528874641595172e-13	2.3031936850472954e-15	True	5.596214830949691e-14	1.2309993426282398e-15	True	2.5474175725635845e-13	1.6789188650484666e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-13_00-00-00_Gemini-N_GMOS_PTF.ascii	55817.0	3.5300300727306645e-14	4.388119369060284e-15	False	4.365132430740571e-15	8.165477462341439e-16	False	1.2292667897768617e-14	2.0372239785450858e-15	False	3.8302869747029296e-14	5.05325193258322e-15	False	2.771807415179122e-13	1.6107065343533637e-15	True	1.2223906270428752e-13	3.781914081629411e-14	True	1.637062372976112e-13	1.4979643012644526e-14	True	3.226644587019804e-14	6.666711414027701e-16	True	1.4906736348603726e-13	2.406032343295338e-15	True	5.234561582662023e-14	1.343906650012153e-15	True	2.5780268609803747e-13	1.693545748686102e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-13_16-05-00_HST_STIS_HST-Ia.dat	55817.67	3.520211525248311e-14	4.3531107653264016e-15	False	4.35603241339262e-15	8.108302547150687e-16	False	1.2258674052743084e-14	2.0224247017608927e-15	False	3.817696894939523e-14	5.0115065065815784e-15	False	2.771909782188947e-13	2.386784908193239e-15	True	1.2116485916534527e-13	3.859391732446587e-14	True	1.6640250317940306e-13	1.4468051803019344e-14	True	3.080399773391575e-14	7.058358397793316e-16	True	1.377044158613196e-13	2.4677362020231056e-15	True	4.953937472428374e-14	1.3481006931799163e-15	True	2.591804865238309e-13	1.6901027997434508e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-16_03-17-00_Swift-UVOT_UV-grism_None.dat	55820.14	3.4837721444441924e-14	4.224503461209904e-15	False	4.322001663546414e-15	7.897587552582768e-16	False	1.213220026701503e-14	1.9679696236096346e-15	False	3.7709695128711475e-14	4.858186469870331e-15	False	2.6598908452959714e-13	1.7588070178091152e-15	True	1.163811069105957e-13	4.0805264755139127e-14	True	1.7220528333225744e-13	1.1951355997227444e-14	True	2.4030566132254054e-14	5.484117095359739e-16	True	9.866836902311507e-14	1.7414932704742821e-15	True	3.831446375354965e-14	8.607874777495272e-16	True	2.5991509338413147e-13	1.5852834497295546e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-17_00-00-00_Gemini-N_GMOS_PTF.ascii	55821.0	3.4709948188330584e-14	4.1798965556547646e-15	False	4.309973368657131e-15	7.8242505423271935e-16	False	1.208773695541269e-14	1.9490491493995378e-15	False	3.754583968399488e-14	4.8050216159708754e-15	False	2.557635319121227e-13	2.598557060500322e-15	True	1.1449043537403627e-13	4.1339171144685876e-14	True	1.724920292648564e-13	1.0875861843721307e-14	True	2.1588617126973375e-14	4.787312832823132e-16	True	8.812324590079116e-14	1.405487807211797e-15	True	3.463212478670381e-14	6.527847570352832e-16	True	2.5867763351763554e-13	1.5157391109624095e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-19_14-53-00_HST_STIS_HST-Ia.dat	55823.62	3.4317806475540055e-14	4.0445641233322996e-15	False	4.27275165704978e-15	7.600949362182328e-16	False	1.1950906661838945e-14	1.8915405153162207e-15	False	3.7042935141275655e-14	4.64377044653604e-15	False	2.187897810221577e-13	2.070778493878767e-15	True	1.083165527975848e-13	4.222282725899457e-14	True	1.668185545608451e-13	7.189449990228093e-15	True	1.539815979598364e-14	5.319395347195259e-16	True	6.609687120733796e-14	1.315492142810658e-15	True	2.5369325338522945e-14	4.358892162146662e-16	True	2.5066062857380235e-13	1.2106499149862455e-14	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-24_05-15-06_UH88_SNIFS_SNfactory.dat	55828.22	3.361874727474116e-14	3.809098388598162e-15	False	4.20526845436794e-15	7.209475659831246e-16	False	1.1705621819848768e-14	1.791089572942712e-15	False	3.6146328838578126e-14	4.363382964791751e-15	False	1.6013578829612497e-13	3.284138950896499e-15	True	9.700314726114962e-14	4.1083027720979176e-14	True	1.277662066890575e-13	1.785002702191586e-15	True	8.35232111826818e-15	4.0877787035050884e-16	True	3.83855019997714e-14	9.4001295018332e-16	True	1.5243336512662803e-14	6.166186459697372e-16	True	2.234904276771189e-13	4.8747639605765016e-15	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-25_00-00-00_Gemini-N_GMOS_None.dat	55829.0	3.349886616558664e-14	3.7694537127536135e-15	False	4.193552597579297e-15	7.143187178289153e-16	False	1.1663385902326212e-14	1.7741265568157826e-15	False	3.599255850203239e-14	4.316198405900819e-15	False	1.5404654125841172e-13	2.8377228802569333e-15	True	9.511432379942558e-14	4.0548051893978866e-14	True	1.1771977761319426e-13	1.5096913728431823e-15	True	7.558179103897578e-15	4.123985989397457e-16	True	3.483838347810622e-14	9.650297151879152e-16	True	1.3963029522503575e-14	5.995502101088742e-16	True	2.1751389427259023e-13	3.836595841155208e-15	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN_2011fe_2011-09-26_04-42-14_Keck1_LRIS_UCB-SNDB.flm	55830.2	3.3313667508489334e-14	3.7086272455497495e-15	False	4.175371880175008e-15	7.041265751465535e-16	False	1.1598039920026899e-14	1.7480713734962293e-15	False	3.5754999061217514e-14	4.243817536267344e-15	False	1.4725926275993373e-13	2.125641622547286e-15	True	9.225035924331543e-14	3.952929566345111e-14	True	1.0215414306976146e-13	1.3784126980823075e-15	True	6.490693902723132e-15	3.4524652284472287e-16	True	3.0076116859303037e-14	8.841686008617331e-16	True	1.213670929317949e-14	4.1880293121843396e-16	True	2.0768698340743637e-13	2.797338954837879e-15	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN2011fe_2011-09-28_00-00-00_Lijiang-2.4m_YFOSC_None.txt	55832.0	3.3034122096756215e-14	3.61777087787563e-15	False	4.14774326031955e-15	6.888533860918442e-16	False	1.1499181525334054e-14	1.7090864059303642e-15	False	3.539640252770782e-14	4.135735028025634e-15	False	1.4125454226096635e-13	1.3423079985860872e-15	True	8.806586903192185e-14	3.755262378877764e-14	True	8.067135278612874e-14	1.1828464931767069e-15	True	5.2521512491048824e-15	2.275410556157846e-16	True	2.4432539837740586e-14	5.158630359838159e-16	True	9.834703366023169e-15	2.968485473420941e-16	True	1.9225116672321843e-13	2.08319477086409e-15	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011fe/SN_2011fe_2011-09-29_02-44-09_Lick-3m_KAST_UCB-SNDB.flm	55833.11	3.286068652549247e-14	3.56197709186473e-15	False	4.1304902593791e-15	6.79444699518638e-16	False	1.1437714215677376e-14	1.6851060924435158e-15	False	3.517391244835859e-14	4.069383026660832e-15	False	1.3871503695615326e-13	1.3979264473974907e-15	True	8.555695237944035e-14	3.606322177695128e-14	True	6.938906010396778e-14	1.2309480096594466e-15	True	4.6728631799467876e-15	2.7691199700570097e-16	True	2.157685342078966e-14	6.025472776873001e-16	True	8.67836569575169e-15	2.7293745063363647e-16	True	1.8284938615493192e-13	1.882431692867854e-15	True
