355.1	0.43
355.3	0.15
355.4	0.67
355.6	0.14
355.8	0.64
355.9	0.90
356.1	0.89
356.2	1.66
356.4	1.89
356.6	1.64
356.7	1.87
356.9	2.86
357.1	2.09
357.2	2.33
357.4	2.75
357.6	3.21
357.7	2.66
357.9	3.10
358.1	3.87
358.2	4.95
358.4	4.77
358.6	4.91
358.7	5.21
358.9	5.78
359.0	5.68
359.2	6.68
359.4	7.22
359.5	7.43
359.7	7.30
359.9	7.16
360.0	6.79
360.2	7.20
360.4	8.03
360.5	8.61
360.7	9.37
360.9	10.15
361.0	11.22
361.2	12.00
361.3	12.75
361.5	13.63
361.7	14.37
361.8	14.67
362.0	14.51
362.2	14.64
362.3	14.44
362.5	14.51
362.7	14.30
362.8	14.42
363.0	14.30
363.2	14.44
363.3	14.24
363.5	14.38
363.6	14.22
363.8	14.19
364.0	14.16
364.1	14.29
364.3	14.20
364.5	13.91
364.6	13.83
364.8	14.05
365.0	13.71
365.1	14.78
365.3	15.74
365.4	15.91
365.6	16.00
365.8	17.24
365.9	17.23
366.1	17.51
366.3	18.70
366.4	19.65
366.6	20.35
366.8	20.87
366.9	21.42
367.1	21.49
367.2	21.76
367.4	21.66
367.6	21.86
367.7	21.90
367.9	22.12
368.1	21.76
368.2	21.62
368.4	21.18
368.6	20.93
368.7	20.58
368.9	20.58
369.0	20.35
369.2	20.76
369.4	21.42
369.5	22.45
369.7	22.92
369.9	24.08
370.0	24.39
370.2	24.98
370.3	25.16
370.5	25.88
370.7	25.89
370.8	26.29
371.0	26.11
371.2	26.08
371.3	25.89
371.5	25.84
371.7	25.95
371.8	26.54
372.0	26.84
372.1	27.45
372.3	28.13
372.5	28.85
372.6	29.11
372.8	29.63
373.0	29.89
373.1	29.97
373.3	29.85
373.4	29.82
373.6	29.69
373.8	29.58
373.9	29.92
374.1	29.96
374.3	30.40
374.4	30.87
374.6	31.54
374.7	31.90
374.9	32.59
375.1	32.65
375.2	32.78
375.4	33.20
375.6	33.34
375.7	33.31
375.9	33.96
376.0	34.44
376.2	34.52
376.4	34.75
376.5	34.99
376.7	34.94
376.9	35.11
377.0	35.00
377.2	35.27
377.3	35.77
377.5	36.07
377.7	36.26
377.8	36.60
378.0	36.87
378.1	37.01
378.3	37.26
378.5	37.45
378.6	37.80
378.8	37.98
379.0	38.06
379.1	38.13
379.3	38.18
379.4	38.19
379.6	38.41
379.8	38.80
379.9	39.17
380.1	39.52
380.3	39.92
380.4	40.07
380.6	40.31
380.7	40.59
380.9	40.88
381.1	41.08
381.2	41.37
381.4	41.66
381.5	41.73
381.7	41.89
381.9	42.11
382.0	42.28
382.2	42.36
382.4	42.75
382.5	43.04
382.7	43.38
382.8	43.66
383.0	43.85
383.2	43.95
383.3	44.13
383.5	44.27
383.6	44.27
383.8	44.53
384.0	44.72
