MJD	CfA34SH_B	CfA34SH_B_err	CfA34SH_I	CfA34SH_I_err	CfA34SH_R	CfA34SH_R_err	CfA34SH_V	CfA34SH_V_err
52933.5192578125	nan	nan	nan	nan	nan	nan	nan	nan
52933.5692578125	nan	nan	nan	nan	nan	nan	nan	nan
52933.619257812505	nan	nan	nan	nan	nan	nan	nan	nan
52933.66925781251	nan	nan	nan	nan	nan	nan	nan	nan
52933.71925781251	nan	nan	nan	nan	nan	nan	nan	nan
52933.76925781251	nan	nan	nan	nan	nan	nan	2.0429696812636335e-15	1.549154052002375e-16
52933.819257812516	nan	nan	nan	nan	nan	nan	2.0455814450201508e-15	1.5361595657316647e-16
52933.86925781252	nan	nan	nan	nan	nan	nan	2.0481957056092424e-15	1.5232115138692783e-16
52933.91925781252	nan	nan	nan	nan	nan	nan	2.050812462988567e-15	1.5103106554658998e-16
52933.969257812525	nan	nan	nan	nan	nan	nan	2.0534317171063628e-15	1.4974577583972598e-16
52934.01925781253	nan	nan	nan	nan	nan	nan	2.056053467901532e-15	1.4846535993800714e-16
52934.06925781253	nan	nan	nan	nan	nan	nan	2.058677715303507e-15	1.4718989639794182e-16
52934.119257812534	nan	nan	nan	nan	nan	nan	2.0613044592322137e-15	1.4591946466071567e-16
52934.16925781254	nan	nan	nan	nan	nan	nan	2.063933699598094e-15	1.4465414505102957e-16
52934.21925781254	nan	nan	nan	nan	nan	nan	2.066565436302025e-15	1.4339401877493399e-16
52934.26925781254	nan	nan	nan	nan	nan	nan	2.0691996692353065e-15	1.4213916791641828e-16
52934.319257812545	nan	nan	nan	nan	nan	nan	2.0718363982795784e-15	1.4088967543288754e-16
52934.36925781255	nan	nan	nan	nan	nan	nan	2.074475623306913e-15	1.3964562514922865e-16
52934.41925781255	nan	nan	nan	nan	nan	nan	2.0771173441795174e-15	1.384071017504948e-16
52934.469257812554	nan	nan	nan	nan	nan	nan	2.0797615607500847e-15	1.371741907730382e-16
52934.51925781256	nan	nan	nan	nan	nan	nan	2.082408272861379e-15	1.3594697859405603e-16
52934.56925781256	nan	nan	nan	nan	nan	nan	2.0850574803463885e-15	1.3472555241931901e-16
52934.61925781256	nan	nan	nan	nan	nan	nan	2.087709183028223e-15	1.3351000026907545e-16
52934.669257812566	nan	nan	nan	nan	nan	nan	2.0903633807202407e-15	1.3230041096197392e-16
52934.71925781257	nan	nan	nan	nan	nan	nan	2.0930200732257365e-15	1.3109687409677502e-16
52934.76925781257	nan	nan	nan	nan	nan	nan	2.0956792603380978e-15	1.2989948003185689e-16
52934.819257812575	nan	nan	nan	nan	nan	nan	2.098340941840773e-15	1.2870831986225094e-16
52934.86925781258	nan	nan	nan	nan	nan	nan	2.101005117507083e-15	1.275234853941423e-16
52934.91925781258	nan	nan	nan	nan	nan	nan	2.1036717871003357e-15	1.2634506911656096e-16
52934.96925781258	nan	nan	nan	nan	nan	nan	2.106340950373698e-15	1.2517316417022188e-16
52935.019257812586	nan	nan	nan	nan	nan	nan	2.109012607070263e-15	1.2400786431321736e-16
52935.06925781259	nan	nan	nan	nan	nan	nan	2.111686756922882e-15	1.2284926388341948e-16
52935.11925781259	nan	nan	nan	nan	nan	nan	2.114363399654161e-15	1.216974577574676e-16
52935.169257812595	nan	nan	nan	nan	nan	nan	2.1170425349764952e-15	1.205525413059986e-16
52935.2192578126	nan	nan	nan	nan	nan	nan	2.1197241625919604e-15	1.1941461034501296e-16
52935.2692578126	nan	nan	nan	nan	nan	nan	2.1224082821922816e-15	1.1828376108311306e-16
52935.3192578126	nan	nan	nan	nan	nan	nan	2.1250948934588907e-15	1.1716009006440955e-16
52935.36925781261	nan	nan	nan	nan	nan	nan	2.127783996062662e-15	1.1604369410683601e-16
52935.41925781261	nan	nan	nan	nan	nan	nan	2.13047558966409e-15	1.1493467023561542e-16
52935.46925781261	nan	nan	nan	nan	nan	nan	2.1331696739132344e-15	1.1383311561168837e-16
52935.519257812615	nan	nan	nan	nan	nan	nan	2.1358662484495692e-15	1.1273912745477366e-16
52935.56925781262	nan	nan	nan	nan	nan	nan	2.1385653077795885e-15	1.1165279886641732e-16
52935.61925781262	nan	nan	nan	nan	nan	nan	2.1412667650595897e-15	1.1057415783002482e-16
52935.669257812624	nan	nan	nan	nan	nan	nan	2.1439704683282605e-15	1.0950318016722723e-16
52935.71925781263	nan	nan	nan	nan	nan	nan	2.146676263786547e-15	1.0843984015286747e-16
52935.76925781263	nan	nan	nan	nan	nan	nan	2.149383997621805e-15	1.0738411201233525e-16
52935.81925781263	nan	nan	nan	nan	nan	nan	2.1520935160065447e-15	1.0633596995953573e-16
52935.869257812636	nan	nan	nan	nan	nan	nan	2.1548046650973014e-15	1.052953882341966e-16
52935.91925781264	nan	nan	7.494102092200406e-16	4.1926114352632134e-17	nan	nan	2.1575172910334402e-15	1.0426234113844017e-16
52935.96925781264	nan	nan	7.498656577398106e-16	4.157227887968684e-17	nan	nan	2.160231239936089e-15	1.032368030726024e-16
52936.019257812644	nan	nan	7.503210439132715e-16	4.121909403265733e-17	nan	nan	2.162946357906713e-15	1.0221874857005816e-16
52936.06925781265	nan	nan	7.507763668339714e-16	4.086656907028903e-17	nan	nan	2.165662491026238e-15	1.0120815233101498e-16
52936.11925781265	nan	nan	7.512316255933069e-16	4.0514713402564875e-17	nan	nan	2.1683794853537982e-15	1.0020498925512478e-16
52936.16925781265	nan	nan	7.516868192804289e-16	4.016353659492566e-17	nan	nan	2.1710971869253624e-15	9.92092344727968e-17
52936.219257812656	nan	nan	7.521419469822688e-16	3.9813048372637754e-17	nan	nan	2.1738154417528524e-15	9.822086337502635e-17
52936.26925781266	nan	nan	7.525970077835038e-16	3.94632586253463e-17	nan	nan	2.176534095822778e-15	9.723985164163778e-17
52936.31925781266	nan	nan	7.530520007666239e-16	3.911417741177728e-17	nan	nan	2.1792529950952296e-15	9.626617526776547e-17
52936.369257812665	nan	nan	7.535069250118149e-16	3.876581496463479e-17	nan	nan	2.1819719855024774e-15	9.529981058834157e-17
52936.41925781267	nan	nan	7.539617795970784e-16	3.8418181695682725e-17	nan	nan	2.1846909129480736e-15	9.434073430059502e-17
52936.46925781267	nan	nan	7.544165635981263e-16	3.80712882010206e-17	nan	nan	2.18740962330539e-15	9.338892348407725e-17
52936.51925781267	nan	nan	7.548712760884277e-16	3.772514526655954e-17	nan	nan	2.190127962416716e-15	9.244435561837019e-17
52936.56925781268	nan	nan	7.553259161392238e-16	3.737976387372884e-17	nan	nan	2.192845776091945e-15	9.150700859790284e-17
52936.61925781268	nan	nan	7.557804828194425e-16	3.703515520539393e-17	nan	nan	2.1955629100302015e-15	9.057686065099209e-17
52936.66925781268	nan	nan	7.5623497519580105e-16	3.669133065199788e-17	nan	nan	2.1982791899646417e-15	8.965386642748382e-17
52936.719257812685	nan	nan	7.566893923326832e-16	3.634830181797423e-17	nan	nan	2.200994395227186e-15	8.873792519442884e-17
52936.76925781269	nan	nan	7.571437332922651e-16	3.600608052840106e-17	nan	nan	2.203708298533986e-15	8.782892889492316e-17
52936.81925781269	nan	nan	7.575979971343949e-16	3.566467883590645e-17	nan	nan	2.2064206725616206e-15	8.692677021205453e-17
52936.869257812694	nan	nan	7.5805218291667235e-16	3.5324109027889005e-17	nan	nan	2.2091312899456694e-15	8.603134270849493e-17
52936.9192578127	nan	nan	7.585062896943867e-16	3.498438363400329e-17	nan	nan	2.2118399232788566e-15	8.514254096771378e-17
52936.9692578127	nan	nan	7.589603165205493e-16	3.4645515433952187e-17	nan	nan	2.214546345109373e-15	8.426026073678815e-17
52937.0192578127	nan	nan	7.594142624458613e-16	3.4307517465620443e-17	nan	nan	2.217250327939113e-15	8.338439907080336e-17
52937.069257812705	nan	nan	7.5986812651874e-16	3.3970403033521423e-17	nan	nan	2.2199516442220698e-15	8.251485447868045e-17
52937.11925781271	nan	nan	7.60321907785295e-16	3.363418571759934e-17	nan	nan	2.222650066362517e-15	8.165152707040234e-17
52937.16925781271	nan	nan	7.607756052893292e-16	3.3298879382404573e-17	nan	nan	2.225345366713381e-15	8.079431870553467e-17
52937.219257812714	nan	nan	7.612292180723026e-16	3.296449818664416e-17	nan	nan	2.228037317574462e-15	7.994313314308695e-17
52937.26925781272	nan	nan	7.616827451733969e-16	3.2631056593134945e-17	nan	nan	2.2307256911907112e-15	7.909787619241763e-17
52937.31925781272	nan	nan	7.621361856294842e-16	3.2298569379191755e-17	nan	nan	2.233410259750638e-15	7.825845586537148e-17
52937.36925781272	nan	nan	7.625895384750523e-16	3.1967051647423107e-17	nan	nan	2.236090795384466e-15	7.742478252940528e-17
52937.419257812726	nan	nan	7.630428027422821e-16	3.1636518837015326e-17	nan	nan	2.2387670701624703e-15	7.659676906161784e-17
52937.46925781273	nan	nan	7.634959774610616e-16	3.13069867354893e-17	nan	nan	2.2414388560932727e-15	7.577433100379935e-17
52937.51925781273	nan	nan	7.639490616588749e-16	3.097847149094465e-17	nan	nan	2.2441059251220577e-15	7.495738671814882e-17
52937.569257812735	nan	nan	7.644020543609305e-16	3.0650989624856756e-17	nan	nan	2.246768049129015e-15	7.414585754385285e-17
52937.61925781274	nan	nan	7.648549545900069e-16	3.0324558045403464e-17	nan	nan	2.2494249999274383e-15	7.333966795425129e-17
52937.66925781274	nan	nan	7.653077613666071e-16	2.999919406137807e-17	nan	nan	2.2520765492621243e-15	7.253874571457786e-17
52937.71925781274	nan	nan	7.657604737088358e-16	2.9674915396697885e-17	nan	nan	2.254722468807592e-15	7.174302204022425e-17
52937.769257812746	nan	nan	7.662130906324379e-16	2.9351740205541055e-17	nan	nan	2.257362530166476e-15	7.095243175536922e-17
52937.81925781275	nan	nan	7.666656111508153e-16	2.902968708815658e-17	nan	nan	2.2599965048676566e-15	7.016691345190607e-17
52937.86925781275	nan	nan	7.67118034274966e-16	2.8708775107348433e-17	nan	nan	2.2626241643646665e-15	6.938640964856435e-17
52937.919257812755	nan	nan	7.675703590135423e-16	2.8389023805665114e-17	nan	nan	2.2652452800338504e-15	6.861086695008919e-17
52937.96925781276	nan	nan	7.680225843728422e-16	2.807045322337259e-17	nan	nan	2.2678596231728126e-15	6.784023620637501e-17
52938.01925781276	nan	nan	7.684747093566833e-16	2.7753083917186984e-17	nan	nan	2.2704669649985723e-15	6.707447267135446e-17
52938.069257812764	nan	nan	7.689267329665934e-16	2.7436936979819904e-17	nan	nan	2.2730670766458173e-15	6.63135361616004e-17
52938.11925781277	nan	nan	7.693786542016696e-16	2.712203406040766e-17	nan	nan	2.275659729165341e-15	6.555739121433698e-17
52938.16925781277	nan	nan	7.6983047205860505e-16	2.6808397385786654e-17	nan	nan	2.2782446935221725e-15	6.48060072446967e-17
52938.21925781277	nan	nan	7.702821855316942e-16	2.649604978272529e-17	nan	nan	2.2808217402903485e-15	6.405935817200013e-17
52938.269257812775	nan	nan	7.707337936128628e-16	2.6185014701109454e-17	nan	nan	2.283390627051327e-15	6.331740057306347e-17
52938.31925781278	nan	nan	7.711852952915734e-16	2.5875316238140875e-17	nan	nan	2.2859510938649063e-15	6.258006598650697e-17
52938.36925781278	nan	nan	7.71636689554867e-16	2.556697916354118e-17	nan	nan	2.288502879463253e-15	6.184728947802754e-17
52938.419257812784	nan	nan	7.720879753874421e-16	2.5260028945898375e-17	nan	nan	2.291045722483673e-15	6.111901209026423e-17
52938.46925781279	nan	nan	7.725391517714957e-16	2.4954491780082687e-17	nan	nan	2.2935793614665636e-15	6.039518114101462e-17
52938.51925781279	nan	nan	7.729902176868474e-16	2.465039461583751e-17	nan	nan	2.296103534853608e-15	5.96757505267482e-17
52938.56925781279	nan	nan	7.734411721108362e-16	2.4347765187601467e-17	nan	nan	2.298617980985679e-15	5.89606810313048e-17
52938.619257812796	nan	nan	7.738920140183995e-16	2.4046632045539072e-17	nan	nan	2.3011224381009386e-15	5.824994064007948e-17
52938.6692578128	nan	nan	7.743427423820152e-16	2.3747024587858e-17	nan	nan	2.3036166443328725e-15	5.754350485968276e-17
52938.7192578128	nan	nan	7.747933561717213e-16	2.3448973094462067e-17	nan	nan	2.3061003377082866e-15	5.684135704329947e-17
52938.769257812804	nan	nan	7.752438440754316e-16	2.3152505962720998e-17	nan	nan	2.3085732561453856e-15	5.614348872186553e-17
52938.81925781281	nan	nan	7.75694151787222e-16	2.2857640839735925e-17	nan	nan	2.3110351374518233e-15	5.5449899940949607e-17
52938.86925781281	nan	nan	7.761442137612703e-16	2.2564393321982125e-17	nan	nan	2.3134857193227196e-15	5.476059960355106e-17
52938.91925781281	nan	nan	7.765939644489419e-16	2.2272780074362517e-17	nan	nan	2.315924739338673e-15	5.4075605818559107e-17
52938.969257812816	nan	nan	7.770433382984141e-16	2.1982818892370038e-17	nan	nan	2.3183519349638863e-15	5.339494625491047e-17
52939.01925781282	nan	nan	7.774922697546264e-16	2.1694528767396807e-17	nan	nan	2.320767043543986e-15	5.271865850112167e-17
52939.06925781282	nan	nan	7.779406932589017e-16	2.140792995534808e-17	nan	nan	2.3231698023043206e-15	5.204679042991354e-17
52939.119257812825	nan	nan	7.783885432489199e-16	2.1123044048746206e-17	nan	nan	2.3255599483478293e-15	5.137940056750049e-17
52939.16925781283	nan	nan	7.788357541582628e-16	2.0839894052539522e-17	nan	nan	2.3279372186531673e-15	5.0716558466936645e-17
52939.21925781283	nan	nan	7.792822604164347e-16	2.0558504463651483e-17	nan	nan	2.330301350072629e-15	5.005834508471662e-17
52939.26925781283	nan	nan	7.797279964485281e-16	2.0278901354671452e-17	nan	nan	2.3326520793302127e-15	4.940485315958979e-17
52939.31925781284	nan	nan	7.801728966749912e-16	2.000111246160328e-17	nan	nan	2.3349891430198154e-15	4.875618759267782e-17
52939.36925781284	nan	nan	7.806168955114606e-16	1.9725167276077056e-17	nan	nan	2.337312277602937e-15	4.8112465826856323e-17
52939.41925781284	nan	nan	7.810599273685303e-16	1.9451097142048565e-17	nan	nan	2.339621219407018e-15	4.7473818224195284e-17
52939.469257812845	nan	nan	7.815019266515568e-16	1.9178935357257988e-17	nan	nan	2.3419157046233367e-15	4.684038843871897e-17
52939.51925781285	nan	nan	7.819428277603718e-16	1.8908717279493488e-17	nan	nan	2.3441954693049387e-15	4.621233378240537e-17
52939.56925781285	nan	nan	7.823825650891535e-16	1.8640480437937018e-17	nan	nan	2.346460249364884e-15	4.5589825580902933e-17
52939.619257812854	nan	nan	7.82821073026162e-16	1.837426464965902e-17	nan	nan	2.3487097805741222e-15	4.497304951573813e-17
52939.66925781286	nan	nan	7.832582859535191e-16	1.8110112141333673e-17	nan	nan	2.35094379855948e-15	4.4362205948608756e-17
52939.71925781286	nan	nan	7.836941382470291e-16	1.7848067676338342e-17	nan	nan	2.3531620388018372e-15	4.3757510223058587e-17
52939.76925781286	nan	nan	7.841285642759327e-16	1.7588178687255792e-17	nan	nan	2.3553642366340146e-15	4.315919293795263e-17
52939.819257812866	nan	nan	7.845614984026807e-16	1.7330495413735527e-17	nan	nan	2.3575501272388715e-15	4.256750018630509e-17
52939.86925781287	nan	nan	7.849928749827871e-16	1.7075071045770252e-17	nan	nan	2.3597194456472538e-15	4.198269375245573e-17
52939.91925781287	nan	nan	7.85422628364474e-16	1.6821961872136964e-17	nan	nan	2.361871926736132e-15	4.140505125926115e-17
52939.969257812874	nan	nan	7.858506928886246e-16	1.6571227433958625e-17	nan	nan	2.364007305226493e-15	4.0834866256222105e-17
52940.01925781288	nan	nan	7.86277002888443e-16	1.6322930682992597e-17	nan	nan	2.366125315681402e-15	4.027244823851464e-17
52940.06925781288	nan	nan	7.867014926893096e-16	1.6077138144285537e-17	nan	nan	2.3682256925040423e-15	3.971812258533645e-17
52940.11925781288	nan	nan	7.871240966084914e-16	1.5833920082707172e-17	nan	nan	2.3703081699357843e-15	3.9172230405698446e-17
52940.169257812886	nan	nan	7.875447489431762e-16	1.5593350667442734e-17	nan	nan	2.372372482054037e-15	3.8635128277584835e-17
52940.21925781289	nan	nan	7.879633809264754e-16	1.5355506805407323e-17	nan	nan	2.3744183627704065e-15	3.8107187866547e-17
52940.26925781289	nan	nan	7.883799166748019e-16	1.5120466535996377e-17	nan	nan	2.3764455458286615e-15	3.7588795407727775e-17
52940.319257812895	nan	nan	7.887942792871411e-16	1.488831189867008e-17	nan	nan	2.3784537648026893e-15	3.7080351035193165e-17
52940.3692578129	nan	nan	7.892063918532227e-16	1.4659129562813764e-17	nan	nan	2.380442753094682e-15	3.658226794135179e-17
52940.4192578129	nan	nan	7.89616177453292e-16	1.44330110123172e-17	nan	nan	2.3824122439329343e-15	3.609497134900432e-17
52940.4692578129	nan	nan	7.900235591578832e-16	1.4210052726585492e-17	nan	nan	2.3843619703699872e-15	3.561889727826969e-17
52940.519257812906	nan	nan	7.90428460027488e-16	1.399035635537367e-17	nan	nan	2.3862916652805612e-15	3.515449109118557e-17
52940.56925781291	nan	nan	7.908308031124472e-16	1.377402888495145e-17	nan	nan	2.3882010613595827e-15	3.470220579705078e-17
52940.61925781291	nan	nan	7.912305114525011e-16	1.3561182792121147e-17	nan	nan	2.3900898911203085e-15	3.426250010391217e-17
52940.669257812915	nan	nan	7.916275080767166e-16	1.3351936182609183e-17	nan	nan	2.3919578868920978e-15	3.3835836202180154e-17
52940.71925781292	nan	nan	7.920217160031287e-16	1.3146412909386056e-17	nan	nan	2.3938047808186442e-15	3.3422677271045875e-17
52940.76925781292	nan	nan	7.924130582385088e-16	1.2944742666302866e-17	nan	nan	2.395630304855825e-15	3.30234847002787e-17
52940.819257812924	nan	nan	7.92801457778156e-16	1.274706105149677e-17	nan	nan	2.39743419076976e-15	3.2638715025624275e-17
52940.86925781293	nan	nan	7.931868376055513e-16	1.255350959481144e-17	nan	nan	2.399216169452593e-15	3.226881302515187e-17
52940.91925781293	nan	nan	7.935691206922041e-16	1.2364235742371501e-17	nan	nan	2.400975911879415e-15	3.191390054314346e-17
52940.96925781293	nan	nan	7.939482299973476e-16	1.2179392791427195e-17	nan	nan	2.4027129834469997e-15	3.1573537317074975e-17
52941.019257812935	nan	nan	7.943240884676978e-16	1.1999139767643523e-17	nan	nan	2.4044269386050013e-15	3.124721674371255e-17
52941.06925781294	nan	nan	7.946966190371541e-16	1.1823641236785456e-17	nan	nan	2.406117331600443e-15	3.0934425301579776e-17
