MJD	lascumbres_B	lascumbres_B_err	lascumbres_I	lascumbres_I_err	lascumbres_R	lascumbres_R_err	lascumbres_U	lascumbres_U_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56513.76000000018	2.1083024049771194e-15	7.211125808953578e-16	nan	nan	nan	nan	nan	nan	1.3791789827381552e-15	2.1087859112677497e-16	1.4731879945807162e-15	2.1495760456407163e-16	8.730657945184149e-16	2.36050170215599e-16	1.4676097240719218e-15	4.3418057443812256e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56513.81000000018	2.188741719342841e-15	6.974064435515001e-16	nan	nan	nan	nan	nan	nan	1.438964284341727e-15	2.1337195633235012e-16	1.5265497802666568e-15	2.1243652625880055e-16	9.002616088382596e-16	2.2997148110263033e-16	1.5027277716234074e-15	4.227362151940401e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56513.86000000018	2.269685056023193e-15	6.739503146374511e-16	nan	nan	nan	nan	nan	nan	1.4989162808655376e-15	2.1578973956364322e-16	1.580272481933486e-15	2.0983444336783874e-16	9.27618728274415e-16	2.240181381981651e-16	1.538040621506624e-15	4.1148194294774776e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56513.910000000185	2.3511360021199833e-15	6.507563435937353e-16	nan	nan	nan	nan	nan	nan	1.5590307711297461e-15	2.1811886455332237e-16	1.63435924720882e-15	2.0715176847479128e-16	9.551378949543922e-16	2.1819681659822288e-16	1.5735491185571015e-15	4.00426545001778e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56513.96000000019	2.43309813366085e-15	6.27837946391397e-16	nan	nan	nan	nan	nan	nan	1.6193035556254516e-15	2.2034845385867296e-16	1.6888122264531095e-15	2.0438986884095788e-16	9.828198540674996e-16	2.1251457823784124e-16	1.609254110903908e-15	3.8957931904672997e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.01000000019	2.5155750326746994e-15	6.052101578942539e-16	nan	nan	nan	nan	nan	nan	1.6797304364671984e-15	2.224696292514421e-16	1.7436335493389963e-15	2.0155238448421072e-16	1.0106653538765684e-15	2.0697887844259616e-16	1.6451564499801548e-15	3.789500950411132e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.060000000194	2.598570289909099e-15	5.828898735132922e-16	nan	nan	nan	nan	nan	nan	1.7403072173509776e-15	2.244753302007739e-16	1.7988253506644025e-15	1.9864536182556488e-16	1.0386751457296392e-15	2.015975668921036e-16	1.68125699053532e-15	3.6854925396001566e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.1100000002	2.68208750488551e-15	5.60896097076907e-16	nan	nan	nan	nan	nan	nan	1.8010297035035136e-15	2.2636015010513235e-16	1.8543897703786858e-15	1.956773676313095e-16	1.0668499840725271e-15	1.963788813282209e-16	1.717556590649127e-15	3.5838774199934637e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.1600000002	2.7661302859576734e-15	5.392502249857829e-16	nan	nan	nan	nan	nan	nan	1.8618937016407357e-15	2.2812018936692696e-16	1.910328953610513e-15	1.9265961523335122e-16	1.0951906264604287e-15	1.9133143208549366e-16	1.754056111741082e-15	3.4847707849270037e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.2100000002	2.850702250364874e-15	5.179763709930614e-16	nan	nan	nan	nan	nan	nan	1.9228950199182427e-15	2.2975292401309246e-16	1.9666450506952005e-15	1.8960610110351716e-16	1.1236978335700023e-15	1.8646417528383988e-16	1.7907564185851726e-15	3.3882935543352723e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.260000000206	2.9358070242899376e-15	4.971017356439811e-16	nan	nan	nan	nan	nan	nan	1.9840294678885192e-15	2.3125708839497124e-16	2.0233402172027105e-15	1.865337480072319e-16	1.1523723692115266e-15	1.8178637233541381e-16	1.827658379320316e-15	3.2945722609782483e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.31000000021	3.0214482429151745e-15	4.76657023474854e-16	nan	nan	nan	nan	nan	nan	2.0452928564525773e-15	2.3263257039452544e-16	2.080416613964296e-15	1.8346254849349097e-16	1.1812150003412541e-15	1.7730753331777423e-16	1.8647628654637952e-15	3.2037387986146874e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.36000000021	3.1076295504800412e-15	4.566769091461702e-16	nan	nan	nan	nan	nan	nan	2.1066809978160733e-15	2.338803175712458e-16	2.1378764071019276e-15	1.8041569929053113e-16	1.210226497073178e-15	1.7303734180108626e-16	1.9020707519238795e-15	3.115929999003088e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.410000000214	3.1943546003352575e-15	4.3720055023058136e-16	nan	nan	nan	nan	nan	nan	2.1681897054421265e-15	2.3500225270501185e-16	2.1957217680546534e-15	1.7741971321891252e-16	1.2394076326916606e-15	1.6898555895272786e-16	1.939582917010707e-15	3.0312870012611696e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.46000000022	3.2816270550008198e-15	4.182721386384341e-16	nan	nan	nan	nan	nan	nan	2.2298147940061814e-15	2.3600119725367307e-16	2.253954873607167e-15	1.7450449047828055e-16	1.2687591836633567e-15	1.6516190523054702e-16	1.977300242450401e-15	2.949954374747419e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.51000000022	3.3694505862240666e-15	3.9994147361950345e-16	nan	nan	nan	nan	nan	nan	2.2915520793496902e-15	2.3688080130565085e-16	2.3125779059166558e-15	1.7170332585919915e-16	1.2982819296501973e-15	1.6157591878229535e-16	2.015223613397129e-15	2.8720789561241375e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.56000000022	3.457828875035378e-15	3.822645256913145e-16	nan	nan	nan	nan	nan	nan	2.353397378435052e-15	2.376454786933204e-16	2.371593052542885e-15	1.6905282301669072e-16	1.3279766535209834e-15	1.5823679082881486e-16	2.05335391844478e-15	2.7978083633863526e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.610000000226	3.5467656118043326e-15	3.6530394128827866e-16	nan	nan	nan	nan	nan	nan	2.415346509298902e-15	2.3830034599336164e-16	2.4310025064733683e-15	1.665926823286479e-16	1.3578441413643446e-15	1.5515317982956866e-16	2.0916920496410784e-15	2.727289155564192e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.66000000023	3.636264496298788e-15	3.4912941116832664e-16	nan	nan	nan	nan	nan	nan	2.4773952910071325e-15	2.388511642104516e-16	2.4908084661543084e-15	1.6436532637065815e-16	1.387885182500858e-15	1.523330080728971e-16	2.1302389024987657e-15	2.660664617332777e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.71000000023	3.726329237740941e-15	3.3381779128891936e-16	nan	nan	nan	nan	nan	nan	2.5395395928545527e-15	2.3930423244148106e-16	2.551013135515853e-15	1.6241532854461532e-16	1.4181005694959652e-15	1.4978324638467416e-16	2.1689953760097696e-15	2.598072163792746e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.760000000235	3.816963554866532e-15	3.1945282459884764e-16	nan	nan	nan	nan	nan	nan	2.601777914026104e-15	2.3966373775266934e-16	2.611618724003686e-15	1.6078861801882378e-16	1.4484910902797084e-15	1.4750965422163695e-16	2.2079623726558573e-15	2.5396403828958725e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.81000000024	3.908171175979474e-15	3.061242717188074e-16	nan	nan	nan	nan	nan	nan	2.6641126524757896e-15	2.399304532567837e-16	2.672627446602814e-15	1.595314497592003e-16	1.4790566895623445e-15	1.45512268661594e-16	2.2471408002537157e-15	2.4854857202004926e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.86000000024	3.9999558390126345e-15	2.9392622967661935e-16	nan	nan	nan	nan	nan	nan	2.726546522528689e-15	2.4010535705211433e-16	2.7340415238705885e-15	1.5868915293801418e-16	1.50979572666343e-15	1.4378149612412405e-16	2.286533998318195e-15	2.435655224572484e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.91000000024	4.09232129158166e-15	2.829544208156747e-16	nan	nan	nan	nan	nan	nan	2.789082239481357e-15	2.401899692597173e-16	2.7958631819615116e-15	1.5830470316282134e-16	1.5407063891021335e-15	1.4230544085162595e-16	2.3261525249518953e-15	2.3900180627962657e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56514.96000000025	4.18527129104904e-15	2.7330229580877496e-16	nan	nan	nan	nan	nan	nan	2.8517225196277323e-15	2.40186370843914e-16	2.8580946526573582e-15	1.584171996580455e-16	1.5717868675907786e-15	1.4107094576581785e-16	2.36600827595464e-15	2.3483963190084486e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56515.01000000025	4.278809604575953e-15	2.6505594238220453e-16	nan	nan	nan	nan	nan	nan	2.9144700802857485e-15	2.4009722167658107e-16	2.920738019298538e-15	1.5905540293189844e-16	1.6030353559959554e-15	1.40063767511879e-16	2.406113151083926e-15	2.3105962042674764e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56515.06000000025	4.37294245150259e-15	2.582785146206218e-16	nan	nan	nan	nan	nan	nan	2.977327639825831e-15	2.3992577781789527e-16	2.9837942320333386e-15	1.6020501442312863e-16	1.6344500513014583e-15	1.3926877564793583e-16	2.4464790542583556e-15	2.2764101266642145e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56515.110000000255	4.467694111408833e-15	2.529438286938752e-16	nan	nan	nan	nan	nan	nan	3.0402979176957047e-15	2.3967590791769404e-16	3.047263736257542e-15	1.618294905119544e-16	1.666029153569662e-15	1.3867016693965806e-16	2.4871178937625944e-15	2.2456191138026046e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
