MJD	KeplerCam_B	KeplerCam_B_err	KeplerCam_V	KeplerCam_V_err	KeplerCam_i	KeplerCam_i_err	KeplerCam_r	KeplerCam_r_err	KeplerCam_u	KeplerCam_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55477.58000000008	5.940070243097384e-15	3.155186344230295e-16	4.60283382547907e-15	2.377436256448964e-16	2.7192112700480716e-15	1.3915376077515496e-16	4.4127828681428e-15	2.2841826061438034e-16	1.0808086758638963e-14	6.226448342120431e-16	5.6757822393706914e-15	3.3697886038607894e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.133907438713475e-15	2.452494768638857e-16
55477.630000000085	5.961969051269479e-15	3.138079925728153e-16	4.619302601132114e-15	2.3654629414150663e-16	2.7288448563764056e-15	1.3846971162920498e-16	4.4290191232736754e-15	2.272758210741343e-16	1.0852742540934913e-14	6.182847127855595e-16	5.702673885169433e-15	3.340098861760663e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.1535867120575294e-15	2.4308073579413076e-16
55477.68000000009	5.98390026868351e-15	3.1212237567046935e-16	4.635792109191654e-15	2.353646026616132e-16	2.738489955182694e-15	1.3779430174674564e-16	4.44527260014296e-15	2.261479630651779e-16	1.0897468061811071e-14	6.140169718446823e-16	5.729618150826351e-15	3.311362297981372e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.173304258821332e-15	2.409820322517994e-16
55477.73000000009	6.005863631276513e-15	3.1046185540954457e-16	4.652302189108203e-15	2.3419859985580046e-16	2.7481464786141798e-15	1.3712755849585014e-16	4.461543161447078e-15	2.2503473049238106e-16	1.0942262313326006e-14	6.098417694383209e-16	5.756613961383962e-15	3.283579551955043e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.193059287360892e-15	2.3895341296233323e-16
55477.78000000009	6.02785887503338e-15	3.0882650144973654e-16	4.668832680353285e-15	2.3304833342849985e-16	2.757814338829245e-15	1.3646950876639745e-16	4.477830669896316e-15	2.2393616639657938e-16	1.09871242876646e-14	6.057592458701659e-16	5.783660242059205e-15	3.256750886697604e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.21285100615777e-15	2.3699489661011134e-16
55477.830000000096	6.049885735988026e-15	3.0721638130777376e-16	4.685383422420603e-15	2.319138500828071e-16	2.7674934479966697e-15	1.3582017894175106e-16	4.494134988212744e-15	2.228523129047051e-16	1.1032052977135226e-14	6.017695228582062e-16	5.810755918239387e-15	3.230876170326842e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.232678623816193e-15	2.3510647245794877e-16
55477.8800000001	6.0719439502214955e-15	3.0563156024519465e-16	4.701954254825126e-15	2.3079519546410787e-16	2.777183718296023e-15	1.351795948697761e-16	4.510455979130583e-15	2.2178321117895081e-16	1.1077047374169147e-14	5.978727026872278e-16	5.837899915478239e-15	3.2059548579385065e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.252541349059887e-15	2.332880989925368e-16
55477.9300000001	6.094033253862692e-15	3.040721011547505e-16	4.7185450171026246e-15	2.296924141031961e-16	2.7868850619172668e-15	1.3454778183312329e-16	4.526793505396831e-15	2.2072890136648018e-16	1.1122106471316816e-14	5.940688673596141e-16	5.8650911594915884e-15	3.181985973958064e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.272438390728935e-15	2.315397026081588e-16
55477.980000000105	6.116153383087526e-15	3.025380644447052e-16	4.7351555488104635e-15	2.286055493573081e-16	2.7965973910609156e-15	1.3392476451915893e-16	4.5431474297692804e-15	2.196894225462773e-16	1.1167229261247069e-14	5.903580777477771e-16	5.892328576153113e-15	3.158968095129675e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.292368957777168e-15	2.2986117633718534e-16
55478.03000000011	6.138304074117636e-15	3.010295079211771e-16	4.7517856895265965e-15	2.2753464335099546e-16	2.8063206179376376e-15	1.3331056698918755e-16	4.559517615018777e-15	2.1866481267639646e-16	1.1212414736744793e-14	5.867403727473627e-16	5.919611091490162e-15	3.136899334245232e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.312332259268422e-15	2.2825237863950596e-16
55478.08000000011	6.16048506322139e-15	2.9954648666878905e-16	4.768435278849403e-15	2.264797369154088e-16	2.8160546547684958e-15	1.3270521264720383e-16	4.5759039239283105e-15	2.1765510853996913e-16	1.1257661890708188e-14	5.832157684389381e-16	5.946937631679878e-15	3.1157773247974895e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.3323275043744234e-15	2.267131322593524e-16
55478.130000000114	6.18269608671258e-15	2.980890529302634e-16	4.7851041563982035e-15	2.254408695271785e-16	2.8257994137846876e-15	1.321087242082309e-16	4.5923062192904115e-15	2.166603456902587e-16	1.1302969716147508e-14	5.79784257257867e-16	5.974307123044802e-15	3.0955992066456557e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.352353902370891e-15	2.252432231619142e-16
55478.18000000012	6.204936880949835e-15	2.966572559845393e-16	4.801792161812068e-15	2.2441807924578923e-16	2.835554807227312e-15	1.3152112366600203e-16	4.608724363911285e-15	2.1568055839568385e-16	1.1348337206182872e-14	5.764458071767078e-16	6.001718492048696e-15	3.0763616128595885e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.372410662635167e-15	2.2384239955782603e-16
55478.23000000012	6.227207182336872e-15	2.952511420234206e-16	4.8184991347505344e-15	2.2341140265131995e-16	2.8453207473476206e-15	1.3094243226056165e-16	4.625158220607577e-15	2.147157795831354e-16	1.1393763354041776e-14	5.732003609056004e-16	6.029170663974337e-15	3.0580605746036314e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.392496991561722e-15	2.2251035036644046e-16
55478.28000000012	6.2495067273212736e-15	2.938707540282127e-16	4.835224914892988e-15	2.2242087478002763e-16	2.8550971464067184e-15	1.303726704451692e-16	4.64160765220817e-15	2.137660407816629e-16	1.143924715305762e-14	5.700478351091195e-16	6.0566625129928835e-15	3.040688358895882e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.412612049539216e-15	2.2124641615469688e-16
55478.330000000125	6.271835252394454e-15	2.925161316448449e-16	4.8519693419382564e-15	2.2144652906057985e-16	2.86488391667538e-15	1.2981185785295303e-16	4.6580725215521145e-15	2.128313720654822e-16	1.1484787596667388e-14	5.66988119647979e-16	6.084192846836003e-15	3.024232505740634e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.432754961559641e-15	2.2004966095423325e-16
55478.38000000013	6.294192478628803e-15	2.911872937653753e-16	4.868732245343308e-15	2.2048838805628228e-16	2.8746809646826083e-15	1.2926000844154735e-16	4.674552683047429e-15	2.119117940323928e-16	1.153038363944004e-14	5.640209880219757e-16	6.111760468910244e-15	3.0086797731255503e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.452924851790724e-15	2.1891910584168104e-16
