MJD	GMOS_r	GMOS_r_err	lascumbres_B	lascumbres_B_err	lascumbres_I	lascumbres_I_err	lascumbres_R	lascumbres_R_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56227.7600000001	nan	nan	nan	nan	2.4591326691247777e-17	1.919885242277128e-16	nan	nan	nan	nan	nan	nan	-4.263826159871948e-17	6.118381647104587e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56227.8100000001	nan	nan	nan	nan	5.909179287132966e-17	1.8367652131045743e-16	nan	nan	nan	nan	nan	nan	3.471143513437297e-18	5.961038645203363e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56227.8600000001	nan	nan	nan	nan	9.381336286415217e-17	1.7552336843533628e-16	nan	nan	nan	nan	nan	nan	4.9902399354329336e-17	5.804854827734418e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56227.910000000105	nan	nan	nan	nan	1.287571002241966e-16	1.6753410884374664e-16	nan	nan	nan	nan	nan	nan	9.665723931143358e-17	5.649865033561861e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56227.96000000011	nan	nan	nan	nan	1.6392407305495323e-16	1.597138556969782e-16	nan	nan	nan	nan	nan	nan	1.4373740456079873e-16	5.496105142020438e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56228.01000000011	nan	nan	nan	nan	1.9931535402593462e-16	1.5206774810351664e-16	nan	nan	nan	nan	nan	nan	1.9114464410179675e-16	5.343612105599825e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56228.060000000114	nan	nan	nan	nan	2.3493165478693153e-16	1.4459932081838503e-16	nan	nan	nan	nan	nan	nan	2.3888071479187445e-16	5.192423981486014e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56228.11000000012	nan	nan	nan	nan	2.7077171410957384e-16	1.3730353557535384e-16	nan	nan	3.0440809988477947e-16	1.6805972192855234e-15	nan	nan	2.8694738138320043e-16	5.042579961244534e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56228.16000000012	nan	nan	nan	nan	3.0683360981866705e-16	1.3017247071778922e-16	nan	nan	5.113749209210975e-16	1.6338252608886021e-15	nan	nan	3.353464165566878e-16	4.894120397786664e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56228.21000000012	nan	nan	nan	nan	3.431154237627542e-16	1.2319829039379993e-16	nan	nan	7.191993944672428e-16	1.5874225680414191e-15	nan	nan	3.840796009597589e-16	4.747086828494106e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56228.260000000126	nan	nan	nan	nan	3.796152422684981e-16	1.163733750879212e-16	nan	nan	9.278841887622919e-16	1.541396784272783e-15	nan	nan	4.3314872323978457e-16	4.6015219931446675e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56228.31000000013	nan	nan	nan	nan	4.163311561009143e-16	1.0969046592078432e-16	nan	nan	1.1374319794222393e-15	1.495755782884073e-15	nan	nan	4.825555800826998e-16	4.457469844890279e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56228.36000000013	nan	nan	nan	nan	4.532612604170336e-16	1.0314282866498267e-16	nan	nan	1.3478454494726092e-15	1.4505076787580975e-15	nan	nan	5.323019762464916e-16	4.314975552133212e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56228.410000000134	nan	nan	3.0820071823439123e-15	1.3896691357732572e-15	4.904036547262046e-16	9.67244431732312e-17	nan	nan	1.5591272893549785e-15	1.4056608409845111e-15	nan	nan	5.823897246001785e-16	4.1740854886263423e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1716264133113238e-15	4.785865427592988e-16
56228.46000000014	nan	nan	3.453707548974065e-15	1.3375776341083365e-15	5.277564428434788e-16	9.043022687165724e-17	nan	nan	1.7712801969470454e-15	1.361223906403666e-15	nan	nan	6.328206461578584e-16	4.034847208433997e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.3693350585204957e-15	4.489651945071921e-16
56228.51000000014	nan	nan	3.826743871580308e-15	1.2866070547606116e-15	5.653177328518503e-16	8.425630549467425e-17	nan	nan	1.984306877593737e-15	1.3172057941063124e-15	nan	nan	6.835965701172498e-16	3.8973094016034205e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5678163938145891e-15	4.1982357391347464e-16
56228.56000000014	nan	nan	4.201119769499192e-15	1.2367897369998063e-15	6.030856370539121e-16	7.820035135447477e-17	nan	nan	2.1982100441016904e-15	1.2736157209911282e-15	2.016466498166931e-15	1.4956086352951161e-15	7.347193338951495e-16	3.7615218253669146e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7670726928923913e-15	3.912081052361199e-16
