#wls	flux	flux_err
5354.0000	1.0066e+00	4.0681e-02
5363.2000	1.0185e+00	3.7917e-02
5372.4000	1.0416e+00	1.9046e-02
5381.6000	1.0643e+00	5.7876e-02
5390.8000	1.0900e+00	5.9860e-02
5400.0000	1.1010e+00	5.8547e-02
5409.2000	1.1124e+00	5.8671e-02
5418.4000	1.1008e+00	7.4631e-02
5427.6000	1.0988e+00	4.6051e-02
5436.8000	1.0998e+00	4.8419e-02
5446.0000	1.0929e+00	5.2904e-02
5455.2000	1.0884e+00	5.7918e-02
5464.4000	1.0809e+00	1.4900e-02
5473.6000	1.0804e+00	2.4879e-02
5482.8000	1.0847e+00	3.3858e-02
5492.0000	1.0938e+00	4.3974e-02
5501.2000	1.0803e+00	6.7796e-02
5510.4000	1.0862e+00	6.7550e-02
5519.6000	1.0872e+00	7.2926e-02
5528.8000	1.0782e+00	7.5035e-02
5538.0000	1.0663e+00	6.8914e-02
5547.2000	1.0358e+00	4.2849e-02
5556.4000	1.0076e+00	5.2620e-02
5565.6000	9.7739e-01	4.0888e-02
5574.8000	9.4904e-01	6.3557e-02
5584.0000	9.2703e-01	7.0472e-02
5593.2000	9.0789e-01	7.2316e-02
5602.4000	8.9716e-01	7.2363e-02
5611.6000	8.9654e-01	7.2494e-02
5620.8000	8.9499e-01	4.4616e-02
5630.0000	9.0671e-01	3.5286e-02
5639.2000	9.1308e-01	2.3837e-02
5648.4000	9.1315e-01	1.7489e-02
5657.6000	8.9954e-01	2.3936e-02
5666.8000	8.8368e-01	2.3479e-02
5676.0000	8.6049e-01	3.5376e-02
5685.2000	8.3716e-01	4.3214e-02
5694.4000	8.0622e-01	4.0451e-02
5703.6000	7.4929e-01	3.9540e-02
5712.8000	7.1141e-01	3.6323e-02
5722.0000	6.8302e-01	3.1469e-02
5731.2000	6.5420e-01	2.4030e-02
5740.4000	6.2350e-01	2.7081e-02
5749.6000	6.1450e-01	2.0123e-02
5758.8000	6.1512e-01	1.9853e-02
5768.0000	6.3425e-01	2.4653e-02
5777.2000	6.7215e-01	3.3491e-02
5786.4000	7.0495e-01	5.1206e-02
5795.6000	7.6396e-01	5.3699e-02
5804.8000	8.4248e-01	5.3472e-02
5814.0000	9.3151e-01	6.5026e-02
5823.2000	1.0359e+00	6.2021e-02
5832.4000	1.1259e+00	5.8374e-02
5841.6000	1.2122e+00	5.3623e-02
5850.8000	1.3036e+00	5.3008e-02
5860.0000	1.3807e+00	6.9556e-02
5869.2000	1.4544e+00	8.6278e-02
5878.4000	1.5018e+00	8.5182e-02
5887.6000	1.5379e+00	8.5651e-02
5896.8000	1.5640e+00	8.7098e-02
5906.0000	1.5683e+00	7.3554e-02
5915.2000	1.5773e+00	4.9354e-02
5924.4000	1.5879e+00	5.7848e-02
5933.6000	1.5876e+00	5.7222e-02
5942.8000	1.5706e+00	5.5558e-02
5952.0000	1.5731e+00	5.5915e-02
5961.2000	1.5545e+00	5.5837e-02
5970.4000	1.5465e+00	4.8536e-02
5979.6000	1.5338e+00	4.7753e-02
5988.8000	1.5077e+00	5.2318e-02
5998.0000	1.4875e+00	2.8839e-02
6007.2000	1.4650e+00	4.1772e-02
6016.4000	1.4308e+00	4.1896e-02
6025.6000	1.4020e+00	4.3118e-02
6034.8000	1.3579e+00	5.6408e-02
6044.0000	1.3179e+00	6.3234e-02
6053.2000	1.2822e+00	6.1187e-02
6062.4000	1.2553e+00	6.4035e-02
6071.6000	1.2317e+00	6.6212e-02
6080.8000	1.2027e+00	3.9254e-02
6090.0000	1.1830e+00	4.4342e-02
6099.2000	1.1692e+00	4.4042e-02
6108.4000	1.1512e+00	2.9923e-02
6117.6000	1.1476e+00	2.7307e-02
6126.8000	1.1402e+00	2.4111e-02
6136.0000	1.1216e+00	2.8671e-02
6145.2000	1.1108e+00	3.2133e-02
6154.4000	1.1087e+00	3.3873e-02
6163.6000	1.0892e+00	3.4957e-02
6172.8000	1.0795e+00	2.9468e-02
6182.0000	1.0667e+00	2.1036e-02
6191.2000	1.0654e+00	1.9982e-02
6200.4000	1.0655e+00	4.7609e-02
6209.6000	1.0777e+00	4.5886e-02
6218.8000	1.0860e+00	6.3520e-02
6228.0000	1.1012e+00	6.4717e-02
6237.2000	1.1180e+00	6.3241e-02
6246.4000	1.1394e+00	4.7214e-02
6255.6000	1.1506e+00	5.0782e-02
6264.8000	1.1558e+00	2.7619e-02
6274.0000	1.1525e+00	2.0692e-02
6283.2000	1.1500e+00	2.1992e-02
6292.4000	1.1471e+00	2.1832e-02
6301.6000	1.1326e+00	1.5602e-02
6310.8000	1.1151e+00	1.6826e-02
6320.0000	1.0985e+00	1.8624e-02
6329.2000	1.0716e+00	3.1353e-02
6338.4000	1.0447e+00	4.3562e-02
6347.6000	1.0281e+00	4.3918e-02
6356.8000	1.0128e+00	4.5635e-02
6366.0000	9.9665e-01	4.4947e-02
6375.2000	9.8220e-01	4.3214e-02
6384.4000	9.7351e-01	2.7181e-02
6393.6000	9.6952e-01	2.7221e-02
6402.8000	9.7015e-01	2.4925e-02
6412.0000	9.7032e-01	2.2874e-02
6421.2000	9.6857e-01	1.6783e-02
6430.4000	9.7168e-01	2.1350e-02
6439.6000	9.7201e-01	2.2720e-02
6448.8000	9.7947e-01	1.4550e-02
6458.0000	9.8017e-01	2.9393e-02
6467.2000	9.7422e-01	3.0182e-02
6476.4000	9.7094e-01	2.6264e-02
6485.6000	9.6098e-01	2.5915e-02
6494.8000	9.5097e-01	2.3467e-02
6504.0000	9.3290e-01	1.5760e-02
6513.2000	9.3786e-01	5.4947e-02
6522.4000	9.0293e-01	5.8025e-02
6531.6000	8.0103e-01	5.8442e-02
6540.8000	7.5068e-01	5.8092e-02
6550.0000	7.6119e-01	7.8559e-02
6559.2000	8.1029e-01	8.0741e-02
6568.4000	8.9164e-01	1.0303e-01
6577.6000	9.9006e-01	8.8542e-02
6586.8000	1.1022e+00	6.5314e-02
6596.0000	1.2079e+00	3.2175e-01
6605.2000	1.3028e+00	4.7324e-01
6614.4000	1.3793e+00	4.6046e-01
6623.6000	1.4297e+00	4.7143e-01
6632.8000	1.4484e+00	4.7356e-01
6642.0000	1.4406e+00	4.2848e-01
6651.2000	1.4188e+00	7.2905e-02
6660.4000	1.3684e+00	1.0487e-01
6669.6000	1.3205e+00	1.1901e-01
6678.8000	1.2697e+00	1.1489e-01
6688.0000	1.2143e+00	7.8867e-02
6697.2000	1.1912e+00	4.5271e-02
6706.4000	1.2141e+00	4.5156e-02
6715.6000	1.2952e+00	7.8249e-02
6724.8000	1.3396e+00	7.9116e-02
6734.0000	1.3154e+00	6.0368e-02
6743.2000	1.3185e+00	4.7362e-02
6752.4000	1.3268e+00	7.5761e-02
6761.6000	1.3251e+00	1.0698e-01
6770.8000	1.3186e+00	9.1831e-02
6780.0000	1.3228e+00	9.2910e-02
6789.2000	1.3065e+00	8.9652e-02
6798.4000	1.2952e+00	9.6388e-02
6807.6000	1.2659e+00	5.2993e-02
6816.8000	1.2249e+00	4.1396e-02
6826.0000	1.1734e+00	5.5643e-02
6835.2000	1.1088e+00	5.3023e-02
6844.4000	1.0508e+00	3.4822e-02
6853.6000	1.0092e+00	6.8915e-02
6862.8000	9.6841e-01	7.1810e-02
6872.0000	9.4112e-01	9.2687e-02
6881.2000	9.1479e-01	9.7332e-02
6890.4000	8.8088e-01	9.9120e-02
6899.6000	8.5043e-01	8.2805e-02
6908.8000	8.2698e-01	8.2157e-02
6918.0000	8.0922e-01	3.1571e-02
6927.2000	7.9658e-01	5.0578e-02
6936.4000	8.0585e-01	4.6532e-02
6945.6000	8.2621e-01	4.8656e-02
6954.8000	8.5367e-01	4.0050e-02
6964.0000	8.8988e-01	3.9145e-02
6973.2000	9.3434e-01	2.4408e-02
6982.4000	9.9793e-01	2.4636e-02
6991.6000	1.0485e+00	4.3862e-02
7000.8000	1.1210e+00	4.4566e-02
7010.0000	1.1764e+00	5.2624e-02
7019.2000	1.2213e+00	5.1656e-02
7028.4000	1.2498e+00	5.0614e-02
7037.6000	1.2654e+00	4.2617e-02
7046.8000	1.2751e+00	3.0496e-02
7056.0000	1.2762e+00	1.9028e-02
7065.2000	1.2729e+00	1.8677e-02
7074.4000	1.2633e+00	1.9714e-02
7083.6000	1.2517e+00	1.9200e-02
7092.8000	1.2479e+00	2.5493e-02
7102.0000	1.2413e+00	3.9692e-02
7111.2000	1.2268e+00	4.0621e-02
7120.4000	1.2038e+00	3.2223e-02
7129.6000	1.1808e+00	3.2627e-02
7138.8000	1.1644e+00	4.4859e-02
7148.0000	1.1567e+00	3.7178e-02
7157.2000	1.1347e+00	3.7170e-02
7166.4000	1.1237e+00	4.6863e-02
7175.6000	1.1206e+00	4.1740e-02
7184.8000	1.1264e+00	6.1090e-02
7194.0000	1.1280e+00	5.7702e-02
7203.2000	1.1325e+00	5.8892e-02
7212.4000	1.1425e+00	3.8368e-02
7221.6000	1.1433e+00	4.7272e-02
7230.8000	1.1364e+00	5.7198e-02
7240.0000	1.1347e+00	6.1907e-02
7249.2000	1.1325e+00	6.7570e-02
7258.4000	1.1264e+00	7.2344e-02
7267.6000	1.1334e+00	7.4236e-02
7276.8000	1.1454e+00	4.6289e-02
7286.0000	1.1453e+00	4.5639e-02
7295.2000	1.1567e+00	5.4781e-02
