#wls	flux	flux_err
3848.7637	8.9763e-16	3.1110e-16
3851.5217	9.3071e-16	2.9574e-16
3854.2800	9.8281e-16	2.8562e-16
3857.0383	9.9225e-16	2.7467e-16
3859.7966	1.0130e-15	2.7467e-16
3862.5547	1.0356e-15	2.6504e-16
3865.3130	1.0574e-15	2.5393e-16
3868.0713	1.0659e-15	2.6711e-16
3870.8293	1.0615e-15	2.7704e-16
3873.5876	1.0889e-15	2.5140e-16
3876.3459	1.1141e-15	2.5951e-16
3879.1042	1.1484e-15	2.3454e-16
3881.8623	1.1838e-15	2.3247e-16
3884.6206	1.2120e-15	2.3510e-16
3887.3789	1.2497e-15	2.2950e-16
3890.1372	1.2921e-15	2.2306e-16
3892.8953	1.3267e-15	2.3704e-16
3895.6536	1.3559e-15	2.4191e-16
3898.4119	1.3662e-15	2.0677e-16
3901.1702	1.3755e-15	2.0551e-16
3903.9282	1.3911e-15	2.0346e-16
3906.6865	1.4170e-15	2.3610e-16
3909.4448	1.4231e-15	2.4589e-16
3912.2031	1.4221e-15	2.4801e-16
3914.9612	1.4309e-15	2.5541e-16
3917.7195	1.4475e-15	2.5034e-16
3920.4778	1.4567e-15	2.4261e-16
3923.2361	1.4556e-15	2.5134e-16
3925.9941	1.4689e-15	2.4054e-16
3928.7524	1.4606e-15	2.4034e-16
3931.5107	1.4479e-15	2.5945e-16
3934.2690	1.4386e-15	2.5980e-16
3937.0271	1.4204e-15	2.5984e-16
3939.7854	1.3981e-15	2.6033e-16
3942.5437	1.3798e-15	2.4723e-16
3945.3020	1.3600e-15	2.4321e-16
3948.0601	1.3551e-15	2.4319e-16
3950.8184	1.3440e-15	2.4402e-16
3953.5767	1.3430e-15	2.4007e-16
3956.3347	1.3365e-15	2.2048e-16
3959.0930	1.3267e-15	2.1261e-16
3961.8513	1.3259e-15	2.1231e-16
3964.6096	1.3307e-15	2.0605e-16
3967.3677	1.3341e-15	2.0220e-16
3970.1260	1.3361e-15	2.0921e-16
3972.8843	1.3162e-15	1.9883e-16
3975.6426	1.3115e-15	1.9888e-16
3978.4006	1.3131e-15	1.9865e-16
3981.1589	1.3306e-15	1.5933e-16
3983.9172	1.3396e-15	1.5161e-16
3986.6755	1.3444e-15	1.5204e-16
3989.4336	1.3533e-15	1.5133e-16
3992.1919	1.3524e-15	1.4639e-16
3994.9502	1.3595e-15	1.3671e-16
3997.7085	1.3747e-15	1.3797e-16
4000.4666	1.3642e-15	1.3595e-16
4003.2249	1.3636e-15	1.3691e-16
4005.9832	1.3752e-15	9.6579e-17
4008.7415	1.3922e-15	9.4290e-17
4011.4995	1.3955e-15	8.8720e-17
4014.2578	1.3985e-15	8.2955e-17
4017.0161	1.3958e-15	8.2687e-17
4019.7744	1.3997e-15	5.4907e-17
4022.5325	1.3987e-15	5.3442e-17
4025.2908	1.3915e-15	5.0924e-17
4028.0491	1.3918e-15	5.1778e-17
4030.8071	1.4055e-15	5.1102e-17
4033.5654	1.4088e-15	6.2128e-17
4036.3237	1.4087e-15	7.8053e-17
4039.0820	1.3993e-15	7.8199e-17
4041.8401	1.4032e-15	7.7798e-17
4044.5984	1.4068e-15	9.8850e-17
4047.3567	1.3955e-15	1.0894e-16
4050.1150	1.3960e-15	1.0939e-16
4052.8730	1.3941e-15	1.1175e-16
4055.6313	1.3811e-15	1.2398e-16
4058.3896	1.3657e-15	1.2787e-16
4061.1479	1.3490e-15	1.3195e-16
4063.9060	1.3393e-15	1.3190e-16
4066.6643	1.3343e-15	1.3221e-16
4069.4226	1.3262e-15	1.3482e-16
4072.1809	1.3208e-15	1.5008e-16
4074.9390	1.3092e-15	1.6409e-16
4077.6973	1.3004e-15	1.7900e-16
4080.4556	1.3057e-15	1.8493e-16
4083.2139	1.3047e-15	1.8323e-16
4085.9719	1.3026e-15	1.8123e-16
4088.7302	1.2975e-15	1.9171e-16
4091.4885	1.2988e-15	1.9697e-16
4094.2468	1.3021e-15	1.8437e-16
4097.0049	1.2999e-15	1.9191e-16
4099.7632	1.3033e-15	1.9157e-16
4102.5215	1.3057e-15	1.8990e-16
4105.2798	1.3063e-15	1.8091e-16
4108.0381	1.3100e-15	1.8387e-16
4110.7959	1.3123e-15	1.8160e-16
4113.5542	1.3210e-15	1.8438e-16
4116.3125	1.3265e-15	1.8470e-16
4119.0708	1.3297e-15	1.8315e-16
4121.8291	1.3310e-15	1.7250e-16
4124.5874	1.3271e-15	1.5634e-16
4127.3457	1.3184e-15	1.4427e-16
4130.1040	1.3198e-15	1.3896e-16
4132.8618	1.3188e-15	1.4925e-16
4135.6201	1.3191e-15	1.4682e-16
4138.3784	1.3121e-15	1.3306e-16
4141.1367	1.3068e-15	1.2157e-16
4143.8950	1.3085e-15	1.1860e-16
4146.6533	1.3092e-15	1.1495e-16
4149.4116	1.3037e-15	1.1486e-16
4152.1699	1.2976e-15	1.1568e-16
4154.9277	1.2857e-15	1.2032e-16
4157.6860	1.2811e-15	1.1434e-16
4160.4443	1.2862e-15	1.1772e-16
4163.2026	1.2876e-15	1.1418e-16
4165.9609	1.2886e-15	1.1303e-16
4168.7192	1.2798e-15	1.1459e-16
4171.4775	1.2646e-15	1.1641e-16
4174.2354	1.2587e-15	1.1535e-16
4176.9937	1.2588e-15	1.1413e-16
4179.7520	1.2662e-15	1.1111e-16
4182.5103	1.2588e-15	9.2296e-17
4185.2686	1.2542e-15	8.8066e-17
4188.0269	1.2540e-15	8.6323e-17
4190.7852	1.2511e-15	9.2087e-17
4193.5435	1.2608e-15	9.4349e-17
4196.3013	1.2556e-15	9.3335e-17
4199.0596	1.2430e-15	9.9872e-17
4201.8179	1.2425e-15	9.9623e-17
4204.5762	1.2417e-15	1.1603e-16
4207.3345	1.2402e-15	1.1734e-16
4210.0928	1.2363e-15	1.1389e-16
4212.8511	1.2410e-15	1.1784e-16
4215.6094	1.2470e-15	1.2353e-16
4218.3672	1.2528e-15	1.2493e-16
4221.1255	1.2527e-15	1.2841e-16
4223.8838	1.2575e-15	1.3562e-16
4226.6421	1.2573e-15	1.3551e-16
4229.4004	1.2560e-15	1.3538e-16
4232.1587	1.2512e-15	1.4086e-16
4234.9170	1.2559e-15	1.4789e-16
4237.6753	1.2664e-15	1.4875e-16
4240.4331	1.2725e-15	1.4704e-16
4243.1914	1.2710e-15	1.4640e-16
4245.9497	1.2720e-15	1.4272e-16
4248.7080	1.2798e-15	1.4557e-16
4251.4663	1.2845e-15	1.4875e-16
4254.2246	1.2873e-15	1.3386e-16
4256.9829	1.2852e-15	1.3290e-16
4259.7407	1.2823e-15	1.3805e-16
4262.4990	1.2826e-15	1.3255e-16
4265.2573	1.2788e-15	1.2933e-16
4268.0156	1.2765e-15	1.2771e-16
4270.7739	1.2797e-15	1.4046e-16
4273.5322	1.2800e-15	1.4046e-16
4276.2905	1.2794e-15	1.4249e-16
4279.0488	1.2786e-15	1.4248e-16
4281.8066	1.2801e-15	1.3249e-16
4284.5649	1.2817e-15	1.2728e-16
4287.3232	1.2732e-15	1.2647e-16
4290.0815	1.2645e-15	1.2715e-16
4292.8398	1.2530e-15	1.2537e-16
4295.5981	1.2468e-15	1.2425e-16
4298.3564	1.2475e-15	1.2274e-16
4301.1147	1.2479e-15	1.2161e-16
4303.8726	1.2422e-15	1.2315e-16
4306.6309	1.2467e-15	1.2674e-16
4309.3892	1.2496e-15	1.2400e-16
4312.1475	1.2515e-15	1.2264e-16
4314.9058	1.2436e-15	1.2682e-16
4317.6641	1.2351e-15	1.2372e-16
4320.4224	1.2268e-15	1.1865e-16
4323.1807	1.2135e-15	1.0974e-16
4325.9385	1.2012e-15	1.0701e-16
4328.6968	1.2031e-15	1.0709e-16
4331.4551	1.1976e-15	1.0706e-16
4334.2134	1.1857e-15	1.0668e-16
4336.9717	1.1827e-15	1.0512e-16
4339.7300	1.1858e-15	1.0682e-16
4342.4883	1.1894e-15	1.1080e-16
4345.2461	1.1848e-15	1.1163e-16
4348.0044	1.1751e-15	1.0193e-16
4350.7627	1.1656e-15	1.0031e-16
4353.5210	1.1554e-15	1.0345e-16
4356.2793	1.1571e-15	1.0064e-16
4359.0376	1.1615e-15	1.0470e-16
4361.7959	1.1571e-15	1.1141e-16
4364.5542	1.1477e-15	1.0615e-16
