#wls	flux	flux_err
4020.0000	1.2913e+00	1.7301e-01
4029.2000	1.3078e+00	1.7301e-01
4038.4000	1.3353e+00	1.7301e-01
4047.6000	1.3417e+00	1.8497e-01
4056.8000	1.3405e+00	1.9248e-01
4066.0000	1.3212e+00	1.7098e-01
4075.2000	1.3241e+00	1.5042e-01
4084.4000	1.2991e+00	8.7179e-02
4093.6000	1.2867e+00	1.4515e-01
4102.8000	1.2559e+00	1.2128e-01
4112.0000	1.2364e+00	1.2097e-01
4121.2000	1.2105e+00	1.2939e-01
4130.4000	1.1844e+00	1.3646e-01
4139.6000	1.1818e+00	9.2429e-02
4148.8000	1.1988e+00	1.3338e-01
4158.0000	1.1856e+00	1.2993e-01
4167.2000	1.2178e+00	1.3256e-01
4176.4000	1.2449e+00	1.3607e-01
4185.6000	1.2431e+00	1.2828e-01
4194.8000	1.2377e+00	1.0617e-01
4204.0000	1.2057e+00	9.1940e-02
4213.2000	1.1746e+00	6.5743e-02
4222.4000	1.1555e+00	5.6916e-02
4231.6000	1.1275e+00	4.1695e-02
4240.8000	1.1296e+00	4.2170e-02
4250.0000	1.1064e+00	3.6696e-02
4259.2000	1.0860e+00	7.1742e-02
4268.4000	1.0543e+00	7.7345e-02
4277.6000	1.0494e+00	7.7557e-02
4286.8000	1.0238e+00	6.1612e-02
4296.0000	1.0118e+00	3.2984e-02
4305.2000	9.9686e-01	3.0618e-02
4314.4000	1.0052e+00	7.1010e-02
4323.6000	1.0107e+00	7.1824e-02
4332.8000	1.0103e+00	6.7992e-02
4342.0000	1.0203e+00	7.3139e-02
4351.2000	1.0235e+00	7.5941e-02
4360.4000	1.0267e+00	2.6417e-02
4369.6000	1.0428e+00	3.6782e-02
4378.8000	1.0616e+00	5.1417e-02
4388.0000	1.0609e+00	5.8461e-02
4397.2000	1.0492e+00	5.8792e-02
4406.4000	1.0456e+00	6.2783e-02
4415.6000	1.0379e+00	4.4669e-02
4424.8000	1.0209e+00	4.0439e-02
4434.0000	1.0111e+00	3.6404e-02
4443.2000	1.0270e+00	4.3913e-02
4452.4000	1.0343e+00	3.6559e-02
4461.6000	1.0478e+00	4.4801e-02
4470.8000	1.0644e+00	5.1971e-02
4480.0000	1.0823e+00	6.0205e-02
4489.2000	1.0985e+00	4.9393e-02
4498.4000	1.1161e+00	4.8826e-02
4507.6000	1.1321e+00	5.3563e-02
4516.8000	1.1550e+00	4.3926e-02
4526.0000	1.1678e+00	4.5771e-02
4535.2000	1.1810e+00	4.9387e-02
4544.4000	1.1989e+00	4.8004e-02
4553.6000	1.2154e+00	4.0586e-02
4562.8000	1.2340e+00	2.7035e-02
4572.0000	1.2563e+00	4.6881e-02
4581.2000	1.2740e+00	5.4615e-02
4590.4000	1.2876e+00	5.4974e-02
4599.6000	1.2930e+00	6.4486e-02
4608.8000	1.3074e+00	6.9494e-02
4618.0000	1.3193e+00	5.5797e-02
4627.2000	1.3175e+00	4.7356e-02
4636.4000	1.3287e+00	4.7562e-02
4645.6000	1.3348e+00	3.1222e-02
4654.8000	1.3419e+00	2.0051e-02
4664.0000	1.3387e+00	1.9305e-02
4673.2000	1.3391e+00	9.6558e-03
4682.4000	1.3324e+00	1.5140e-02
4691.6000	1.3158e+00	1.5656e-02
4700.8000	1.3073e+00	3.0030e-02
4710.0000	1.2858e+00	3.4789e-02
4719.2000	1.2629e+00	4.7455e-02
4728.4000	1.2215e+00	5.2733e-02
4737.6000	1.1921e+00	5.0441e-02
4746.8000	1.1570e+00	5.1142e-02
4756.0000	1.1331e+00	4.8948e-02
4765.2000	1.1069e+00	4.0239e-02
4774.4000	1.0786e+00	3.8703e-02
4783.6000	1.0572e+00	3.5153e-02
4792.8000	1.0413e+00	3.3579e-02
4802.0000	1.0207e+00	3.8134e-02
4811.2000	9.9438e-01	3.4961e-02
4820.4000	9.6850e-01	2.6698e-02
4829.6000	9.4049e-01	3.3003e-02
4838.8000	9.2704e-01	3.1635e-02
4848.0000	9.0027e-01	2.4976e-02
4857.2000	8.9321e-01	4.1635e-02
4866.4000	8.8878e-01	3.6663e-02
4875.6000	8.9521e-01	4.7320e-02
4884.8000	9.0124e-01	6.2781e-02
4894.0000	9.1217e-01	6.6798e-02
4903.2000	9.3068e-01	5.2307e-02
