#MJD,band,Flux,Flux_err,FilterSet,Instr
57977.98,LT_IOO_g,1.857846862158347e-16,1.0266841175691777e-17,GeneralFilters,LT
57999.92,LT_IOO_g,1.7258772867296823e-16,1.1127142075730152e-17,GeneralFilters,LT
57811.21,LT_IOO_r,1.0881203676854477e-15,2.0043917904125656e-17,GeneralFilters,LT
57812.25,LT_IOO_r,1.1499446567019852e-15,2.118276339432113e-17,GeneralFilters,LT
57813.26,LT_IOO_r,1.2152816478293475e-15,2.238631524864877e-17,GeneralFilters,LT
57816.19,LT_IOO_r,1.3573034081627972e-15,2.5002452754445312e-17,GeneralFilters,LT
57820.23,LT_IOO_r,1.3825375625311277e-15,2.5467283055907978e-17,GeneralFilters,LT
57823.2,LT_IOO_r,1.3698623819700218e-15,2.5233797601419902e-17,GeneralFilters,LT
57823.22,LT_IOO_r,1.3953300250939665e-15,2.5702928924706942e-17,GeneralFilters,LT
57827.09,LT_IOO_r,1.204139878711241e-15,2.2181076276801257e-17,GeneralFilters,LT
57834.18,LT_IOO_r,9.21885405387857e-16,1.6981756735158783e-17,GeneralFilters,LT
57839.16,LT_IOO_r,7.189139975733922e-16,1.3242885231657974e-17,GeneralFilters,LT
57843.13,LT_IOO_r,6.377888750854794e-16,1.1748505249994108e-17,GeneralFilters,LT
57855.13,LT_IOO_r,5.160323633732542e-16,2.3764168548114842e-17,GeneralFilters,LT
57861.0,LT_IOO_r,4.578012135727406e-16,1.6866019998834817e-17,GeneralFilters,LT
57867.05,LT_IOO_r,3.704050845405907e-16,6.823113808258908e-18,GeneralFilters,LT
57874.05,LT_IOO_r,3.3781345205356087e-16,6.222753751291091e-18,GeneralFilters,LT
57879.94,LT_IOO_r,3.347163597091697e-16,6.1657032019805366e-18,GeneralFilters,LT
57883.18,LT_IOO_r,3.3781345205356087e-16,1.2445507502582181e-17,GeneralFilters,LT
57889.03,LT_IOO_r,2.9422321693602597e-16,8.12968791995576e-18,GeneralFilters,LT
57899.11,LT_IOO_r,2.683347630358204e-16,7.414363503580436e-18,GeneralFilters,LT
57909.08,LT_IOO_r,2.91525762269329e-16,1.6110308986201957e-17,GeneralFilters,LT
57918.92,LT_IOO_r,2.1710855637928538e-16,3.9992874038431913e-17,GeneralFilters,LT
57928.9,LT_IOO_r,2.0925552791545642e-16,7.709258547275669e-18,GeneralFilters,LT
57929.9,LT_IOO_r,2.1314587863740174e-16,5.889438273403191e-18,GeneralFilters,LT
57940.97,LT_IOO_r,2.402574921943731e-16,1.3277119680165522e-17,GeneralFilters,LT
57949.03,LT_IOO_r,1.9439135168134923e-16,7.161642057415004e-18,GeneralFilters,LT
57977.98,LT_IOO_r,1.5299489489394542e-16,5.636540228591834e-18,GeneralFilters,LT
57999.92,LT_IOO_r,1.3953300250939634e-16,8.996025123647415e-18,GeneralFilters,LT
57811.21,LT_IOO_i,5.266348316503915e-16,9.700972102476963e-18,GeneralFilters,LT
57812.25,LT_IOO_i,5.565569110499209e-16,1.0252157174290868e-17,GeneralFilters,LT
57813.26,LT_IOO_i,5.881790884714252e-16,1.0834659209001016e-17,GeneralFilters,LT
57816.19,LT_IOO_i,6.878750857779541e-16,1.9006691020251812e-17,GeneralFilters,LT
57820.23,LT_IOO_i,7.006636384304107e-16,1.2906701192422676e-17,GeneralFilters,LT
57823.2,LT_IOO_i,7.542400332256499e-16,1.3893614856357722e-17,GeneralFilters,LT
57823.22,LT_IOO_i,7.269584348019891e-16,1.3391069241610752e-17,GeneralFilters,LT
57827.09,LT_IOO_i,6.569156070268062e-16,1.2100832672760469e-17,GeneralFilters,LT
57834.18,LT_IOO_i,5.315077237516658e-16,9.790734092174245e-18,GeneralFilters,LT
57839.16,LT_IOO_i,4.3803577356755066e-16,8.068917139318043e-18,GeneralFilters,LT
57843.13,LT_IOO_i,3.850433081433109e-16,7.092759851903203e-18,GeneralFilters,LT
57855.13,LT_IOO_i,3.030467145244653e-16,5.582326778758836e-18,GeneralFilters,LT
57861.0,LT_IOO_i,2.738480040933058e-16,7.566699983657007e-18,GeneralFilters,LT
57867.05,LT_IOO_i,2.3415831269009452e-16,4.313355521606802e-18,GeneralFilters,LT
57874.05,LT_IOO_i,2.0965710274325497e-16,3.862026555335511e-18,GeneralFilters,LT
57879.94,LT_IOO_i,2.0773495487168142e-16,5.739928924575893e-18,GeneralFilters,LT
57883.18,LT_IOO_i,2.1953793758410262e-16,1.0110095648556241e-17,GeneralFilters,LT
57889.03,LT_IOO_i,1.7120229413025917e-16,4.730494204208601e-18,GeneralFilters,LT
57899.11,LT_IOO_i,1.57583078315357e-16,4.354181364444652e-18,GeneralFilters,LT
57909.08,LT_IOO_i,1.8599855916513924e-16,8.565550193040397e-18,GeneralFilters,LT
57918.92,LT_IOO_i,1.1104770307533938e-16,3.06836142855006e-17,GeneralFilters,LT
57928.9,LT_IOO_i,1.1953898941409792e-16,5.504973901129488e-18,GeneralFilters,LT
57929.9,LT_IOO_i,1.228880293792603e-16,3.3955217346731887e-18,GeneralFilters,LT
57940.97,LT_IOO_i,1.38519074110724e-16,7.654846923424559e-18,GeneralFilters,LT
57949.03,LT_IOO_i,1.100296116140132e-16,5.067050869807026e-18,GeneralFilters,LT
57977.98,LT_IOO_i,8.580440418578722e-17,3.161151071862873e-18,GeneralFilters,LT
57999.92,LT_IOO_i,7.542400332256514e-17,4.862765199725203e-18,GeneralFilters,LT
57811.21,LT_IOO_z,3.4937245629222466e-16,6.435678478089523e-18,GeneralFilters,LT
57812.25,LT_IOO_z,3.624838511073198e-16,6.677199296086289e-18,GeneralFilters,LT
57813.26,LT_IOO_z,3.830792806574115e-16,7.056581128613107e-18,GeneralFilters,LT
57816.19,LT_IOO_z,4.439035960380028e-16,8.177006423708451e-18,GeneralFilters,LT
57820.23,LT_IOO_z,4.778467793401009e-16,8.802262966749851e-18,GeneralFilters,LT
57823.2,LT_IOO_z,4.912342771688688e-16,1.3573304685320913e-17,GeneralFilters,LT
57823.22,LT_IOO_z,4.957796119724741e-16,9.132597951505532e-18,GeneralFilters,LT
57827.09,LT_IOO_z,4.5634013152401775e-16,8.406095873457164e-18,GeneralFilters,LT
57834.18,LT_IOO_z,3.866238695996732e-16,7.121874869887052e-18,GeneralFilters,LT
57839.16,LT_IOO_z,3.526051598286277e-16,6.495227077873436e-18,GeneralFilters,LT
57843.13,LT_IOO_z,3.275583412859622e-16,6.0338476298473025e-18,GeneralFilters,LT
57855.13,LT_IOO_z,2.852913888464804e-16,7.882892389409682e-18,GeneralFilters,LT
57861.0,LT_IOO_z,2.601888390028924e-16,4.7928555364119014e-18,GeneralFilters,LT
57867.05,LT_IOO_z,2.2871184811162815e-16,4.213027936423619e-18,GeneralFilters,LT
57874.05,LT_IOO_z,2.1051772264922422e-16,3.8778797598652705e-18,GeneralFilters,LT
57879.94,LT_IOO_z,2.0858768456692688e-16,3.842327144527601e-18,GeneralFilters,LT
