spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_z'_fitflux	sdss_z'_fitfluxerr	sdss_z'_inrange
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-28_00-00-00_HCT-2m_HFOSC_None.dat	56471.0	6.862544386928982e-15	9.103455526574599e-17	True	1.5673903059648968e-15	1.3953677545027356e-17	True	3.2483171899736513e-15	2.6537826129476243e-17	True	6.250291759407019e-15	7.701637027095734e-16	True	4.863078282132294e-15	2.8639147654329926e-17	True	5.7740824757881096e-15	5.4286003258844337e-17	True	1.9480049662412253e-15	1.0268764289450612e-17	True	3.603286211467946e-15	1.572685573554461e-17	True	1.2610554141792076e-15	2.3569174554292138e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-01_00-00-00_HET_HET-LRS_iPTF.ascii	56474.0	7.161094522820646e-15	7.912902678244948e-17	True	1.853958054772619e-15	1.2726296608674163e-17	True	3.77243806875299e-15	2.2198646982792674e-17	True	5.542732785506032e-15	1.0275165157641784e-15	True	5.433712597136587e-15	3.168266340828531e-17	True	6.303077205061736e-15	4.69975490283009e-17	True	2.220526820335308e-15	1.8815049569975515e-17	True	4.137499282327038e-15	1.830880779293991e-17	True	1.4899001844659001e-15	2.682494861672693e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-01_00-00-00_HCT-2m_HFOSC_None.dat	56474.1	7.154261290259402e-15	7.722381559072583e-17	True	1.862222783777649e-15	1.2530098753936152e-17	True	3.785533015925872e-15	2.172084242086621e-17	True	5.506931785377042e-15	1.0267567135098285e-15	True	5.4437911819899764e-15	3.163708734197844e-17	True	6.3072454170273584e-15	4.639854881663701e-17	True	2.229367626812194e-15	1.8651401081765895e-17	True	4.151167930407672e-15	1.8452351428192072e-17	True	1.496383642749545e-15	2.6389600697496323e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-04_00-00-00_HCT-2m_HFOSC_None.dat	56477.0	6.4728720315384675e-15	1.120408748660765e-16	True	2.0464866285850195e-15	1.1586607468946563e-17	True	3.9926605752768535e-15	2.1871214427864788e-17	True	4.310466883817569e-15	7.293377049782288e-16	True	5.458465000601737e-15	3.7485542784819106e-17	True	5.989882417477258e-15	2.443504621914555e-17	True	2.4704207591367892e-15	1.2032255803958849e-17	True	4.386240857605757e-15	1.7772796799602063e-17	True	1.660193046035927e-15	2.361253556699156e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-05_00-00-00_P200_DBSP_iPTF_0.ascii	56478.0	6.027156090104845e-15	1.4816009335599707e-16	True	2.0742677031821084e-15	1.2018100099248992e-17	True	3.981594567202327e-15	2.421940366907249e-17	True	3.858535632468271e-15	5.092159126578497e-16	True	5.3409586068937e-15	4.148126464698719e-17	True	5.705566060449086e-15	2.1040827304305418e-17	True	2.5131560849433688e-15	1.4262331928983307e-17	True	4.376898977270038e-15	1.7205278554701114e-17	True	1.6908303563009786e-15	2.5343140463691366e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-09_08-06-31_FTN_FLOYDS-N_iPTF_3.ascii	56482.34	3.5279707164536954e-15	4.747700851937085e-17	True	1.917007061439444e-15	1.470018731654896e-17	True	3.4292114276866403e-15	2.1640188275244866e-17	True	1.8728520534147095e-15	4.887007954395242e-16	True	4.165122104495544e-15	2.5103984803917394e-17	True	4.08896422157403e-15	3.338824332687173e-17	True	2.254165629892973e-15	1.4958737155502443e-17	True	3.731362798034181e-15	2.1765091481572217e-17	True	1.57988237979134e-15	3.33900528060821e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-11_00-00-00_Keck2_DEIMOS_iPTF.ascii	56484.0	2.6578012374485754e-15	6.734745935260037e-17	True	1.7592912399218296e-15	1.5932828270812344e-17	True	3.053672189300125e-15	2.2063864855224625e-17	True	1.217093266663997e-15	4.1898553192079717e-16	True	3.541114796840772e-15	2.7468067509272384e-17	True	3.388572549117389e-15	4.6906484140045685e-17	True	2.0173931888298302e-15	2.6930765728384377e-17	True	3.3011279969841055e-15	3.0380744740424144e-17	True	1.4671502754017678e-15	3.375585548671381e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-21_22-18-05_NOT_ALFOSC_iPTF.ascii	56494.93	9.070344192830787e-16	4.399236546565631e-17	True	9.12745264356827e-16	2.921146565547602e-17	True	1.3840550573556453e-15	5.4396495337992024e-17	True	4.4255786480252763e-16	3.2279765479815147e-16	True	1.2988102781863376e-15	8.984641839578565e-17	True	1.0921747221192402e-15	8.53895228922688e-17	True	1.0167683501239285e-15	9.273079253949835e-17	True	1.3237952116747135e-15	5.350445737158488e-17	True	9.72172127943731e-16	7.612702975971867e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-07-23_00-00-00_HCT-2m_HFOSC_None.dat	56496.0	8.635605245904183e-16	1.2002831163666994e-16	True	8.724598544831642e-16	2.5540252131172273e-17	True	1.3159066847540919e-15	4.699549253589707e-17	True	4.50718938828721e-16	6.084969510478708e-16	True	1.2458566960960683e-15	7.662685633444169e-17	True	1.0591892770755994e-15	7.308528556530323e-17	True	9.63202107322908e-16	7.910754500429812e-17	True	1.2583843307770033e-15	4.709572675424268e-17	True	9.406544031765013e-16	6.752968540949315e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-08-02_10-19-56_FTS_FLOYDS-S_iPTF.ascii	56506.43	6.823334663564419e-16	1.1017101779306888e-16	True	6.815945386441015e-16	2.5169331307504528e-17	True	9.3524762397118e-16	5.321766323761207e-17	True	3.0391406568886643e-16	9.371895814627286e-16	True	1.0003783089374274e-15	2.6101099228820297e-17	True	8.147864995224637e-16	9.210916728958e-18	True	7.176304215983177e-16	8.37481476775216e-18	True	9.505733288589081e-16	6.889608972593392e-18	True	7.625254199744413e-16	4.5827548193073736e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-08-04_00-00-00_P200_DBSP_iPTF.flm	56508.0	6.566158209398497e-16	1.7034345051444532e-17	True	6.667157613370796e-16	2.1428006579459523e-17	True	8.998685057126321e-16	4.301615469473837e-17	True	2.8488724286944657e-16	5.813461042716144e-16	True	9.763734313625352e-16	1.321827044211045e-17	True	7.93571957221875e-16	1.0033644497615051e-17	True	6.802191886461973e-16	1.1291938098727491e-17	True	9.122677453869968e-16	7.243407418550315e-18	True	7.436904050963802e-16	3.0318177555299187e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-08-06_00-00-00_HCT-2m_HFOSC_None.dat	56510.0	6.5014692621858005e-16	2.077534061355587e-17	True	6.467650289920509e-16	1.617118115637935e-17	True	8.591825918704278e-16	2.5237345110027735e-17	True	2.645411510159943e-16	1.285868255525834e-16	True	9.297389257149941e-16	2.6765013351777274e-17	True	7.901861347947199e-16	1.3090995631811079e-17	True	6.418034493093638e-16	7.348011352126465e-18	True	8.553365252786298e-16	5.772039262277637e-18	True	7.20393717999733e-16	2.1208948767695958e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-08-08_09-58-52_FTS_FLOYDS-S_iPTF_0.ascii	56512.42	6.45306480277419e-16	3.518937765291388e-17	True	6.216290825109263e-16	8.152238811753917e-18	True	8.133316627675263e-16	1.828817534579307e-17	True	2.438372429693139e-16	1.0185437313329933e-16	True	8.659516741349121e-16	1.1473687731327473e-17	True	7.797754619598196e-16	1.7747850284708135e-17	True	6.330482772828553e-16	1.2660369425892719e-17	True	7.92651261730496e-16	8.363525771291738e-18	True	7.193595342725052e-16	1.657960610300776e-17	True
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-09-04_00-00-00_P200_DBSP_None.dat	56539.0	-4.575922163925704e-16	1.1558205280488701e-15	True	3.9153072716438627e-16	2.7544105595865084e-18	True	4.986554314672021e-16	5.129355344336508e-18	True	2.7316882459292324e-17	2.5239361858308883e-15	False	5.255132206056324e-16	8.37028232334727e-18	True	5.068929893101887e-16	9.855618097569035e-18	True	3.592464871083281e-16	1.0106475814624051e-17	True	4.766274106606803e-16	5.98316560198634e-18	True	4.993509456362606e-16	2.5964631822860185e-16	False
/home/ofek/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-09-09_06-18-09_Keck1_LRIS_iPTF.ascii	56544.26	-5.929002395413712e-16	1.829910907413144e-15	True	3.574247937121979e-16	2.9257154473434632e-18	True	4.554173455676804e-16	5.346407614129664e-18	True	1.4112548062133052e-17	2.5538740897338564e-15	False	4.770438627042894e-16	9.190626655787649e-18	True	4.621110499206312e-16	8.086423502218775e-18	True	3.3614337025339303e-16	9.7023785757965e-18	True	4.3229179157708884e-16	3.743830011680856e-18	True	4.4311594378799093e-16	4.0485886883612773e-16	False
