MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_z'	sdss_z'_err
56459.54000000008	4.0242814432285156e-16	1.1840706079475653e-16	nan	nan	2.7589243706938286e-16	6.549241618087133e-17	2.204885439852067e-16	1.269529613297225e-16	3.7227143111380817e-16	6.781955423305679e-17	1.87074749344956e-17	9.678286007539963e-17	nan	nan	2.692458714542655e-16	8.864893732609472e-17	nan	nan
56459.590000000084	4.28217140510077e-16	1.1412736446767986e-16	nan	nan	2.899473327709527e-16	6.479364139166084e-17	2.4203475015029994e-16	1.2566685475469633e-16	3.912627583325857e-16	6.662630659022748e-17	4.271111917812565e-17	9.520241987432332e-17	nan	nan	2.846345237475496e-16	8.735353413466887e-17	nan	nan
56459.64000000009	4.541306088002312e-16	1.0992521119248083e-16	nan	nan	3.0401090843247586e-16	6.41053143986984e-17	2.637701118502049e-16	1.2480539499812213e-16	4.102750532850606e-16	6.546070894913349e-17	6.674470354992755e-17	9.363661770405089e-17	nan	nan	3.0003461596877126e-16	8.606472992853199e-17	nan	nan
56459.69000000009	4.801558624363131e-16	1.0579373465501665e-16	nan	nan	3.1808291901164786e-16	6.342734094132823e-17	2.856691166459131e-16	1.2428041100360587e-16	4.293076848362725e-16	6.432308517097564e-17	9.08089840650977e-17	9.208522555654296e-17	nan	nan	3.154461544919107e-16	8.478259334559854e-17	nan	nan
56459.74000000009	5.062802181405021e-16	1.0172647707715097e-16	nan	nan	3.3216311939260593e-16	6.275962514620712e-17	3.077062712300484e-16	1.2400798444649871e-16	4.483600218803154e-16	6.321376898382472e-17	1.149047168761868e-16	9.054801672043534e-17	nan	nan	3.3086914572944326e-16	8.350719508636401e-17	nan	nan
56459.790000000095	5.324909956990834e-16	9.771751107258299e-17	nan	nan	3.4625126456094297e-16	6.210206956323848e-17	3.2985609820813106e-16	1.2391058996258277e-16	4.674314333194946e-16	6.213310309573561e-17	1.3903265807279154e-16	8.902476618128145e-17	nan	nan	3.46303596047245e-16	8.2238608003869e-17	nan	nan
56459.8400000001	5.587755175478045e-16	9.376157731072654e-17	nan	nan	3.6034710943507033e-16	6.145457521186201e-17	3.520931328813499e-16	1.2391851271221285e-16	4.865212880775901e-16	6.108143809003927e-17	1.6319356376740089e-16	8.751525103885357e-17	nan	nan	3.617495118760257e-16	8.097690721736963e-17	nan	nan
56459.8900000001	5.851211083573299e-16	8.98542423950642e-17	nan	nan	3.7445040895617267e-16	6.081704162711033e-17	3.7439192003030676e-16	1.2397062772591545e-16	5.056289551004887e-16	6.005913108279055e-17	1.873881901125656e-16	8.601925094656861e-17	nan	nan	3.772068996100263e-16	7.972217023230249e-17	nan	nan
56459.940000000104	6.11515094618433e-16	8.599208298158863e-17	nan	nan	3.885609180704449e-16	6.01893668890595e-17	3.9672701069981585e-16	1.2401467389605574e-16	5.24753803351131e-16	5.90665441277369e-17	2.1161729326655946e-16	8.453654855362837e-17	nan	nan	3.92675765659696e-16	7.84744770503332e-17	nan	nan
56459.99000000011	6.379448042275776e-16	8.217290427619826e-17	nan	nan	4.0267839172704254e-16	5.957144767585884e-17	4.190729589840999e-16	1.240071658404426e-16	5.43895201801932e-16	5.810404235196131e-17	2.358816294448872e-16	8.306692997869659e-17	nan	nan	4.081561164496665e-16	7.723391030835201e-17	nan	nan
56460.04000000011	6.643975660722481e-16	7.83960037995744e-17	nan	nan	4.1680258487318515e-16	5.896317930546406e-17	4.414043188122018e-16	1.2391307309737613e-16	5.630525194524656e-16	5.717199180372046e-17	2.601819547772072e-16	8.161018529789631e-17	nan	nan	4.2364795836506133e-16	7.600055541320889e-17	nan	nan
56460.09000000011	6.908607096165314e-16	7.466249481126314e-17	nan	nan	4.309332524578005e-16	5.836445577695895e-17	4.636956407334274e-16	1.2370537093985905e-16	5.822251253073597e-16	5.627075700296866e-17	2.845190255705937e-16	8.016610904983568e-17	nan	nan	4.391512978487468e-16	7.477450069301021e-17	nan	nan
56460.140000000116	7.17321564486711e-16	7.097570814390424e-17	nan	nan	4.450701494380148e-16	5.77751698060221e-17	4.859214687024232e-16	1.2336453941580804e-16	6.014123883889267e-16	5.540069819168316e-17	3.088935979775974e-16	7.873450076545487e-17	nan	nan	4.546661413050939e-16	7.355583754253697e-17	nan	nan
56460.19000000012	7.437674600564466e-16	6.734169632294177e-17	nan	nan	4.592130307628695e-16	5.71952128729615e-17	5.080563368634763e-16	1.2287806197060917e-16	6.206136777371647e-16	5.4562168266896427e-17	3.3330642831673884e-16	7.731516551706446e-17	nan	nan	4.70192495177982e-16	7.234466060478452e-17	nan	nan
56460.24000000012	7.701857250325943e-16	6.3769869253504e-17	nan	nan	4.733616513888076e-16	5.662447525932174e-17	5.300747663340174e-16	1.2223995413890818e-16	6.39828362406599e-16	5.375550942111487e-17	3.5775827284358436e-16	7.590791450230235e-17	nan	nan	4.857303658697561e-16	7.114106793494932e-17	nan	nan
56460.290000000125	7.965636870406135e-16	6.027379499441703e-17	nan	nan	4.875157662765991e-16	5.606284608561609e-17	5.519512619867033e-16	1.2145033643169823e-16	6.590558114580708e-16	5.298104947092206e-17	3.8224988786520825e-16	7.451256563281066e-17	nan	nan	5.012797598192302e-16	6.994516119675308e-17	nan	nan
56460.34000000013	8.228886722099078e-16	5.687219880055812e-17	nan	nan	5.016751303876969e-16	5.551021334915278e-17	5.736603092301402e-16	1.2051505290829967e-16	6.782953939701072e-16	5.2239097916864826e-17	4.067820296886848e-16	7.312894417741075e-17	nan	nan	5.1684068346724465e-16	6.875704586677052e-17	nan	nan
56460.39000000013	8.491480047592446e-16	5.3590181476237244e-17	nan	nan	5.15839498687312e-16	5.496646395280165e-17	5.951763707874827e-16	1.1944532691832575e-16	6.975464790313406e-16	5.1529941740426265e-17	4.3135545467831934e-16	7.175688341306031e-17	2.775031141429652e-16	7.372407472187124e-17	5.324131432586916e-16	6.757683144290395e-17	nan	nan
56460.44000000013	8.753290065822477e-16	5.0460640246687646e-17	nan	nan	5.300086261186785e-16	5.4431483742592327e-17	6.164738834731433e-16	1.18257437069945e-16	7.168084357386148e-16	5.0853840977544325e-17	4.559709191926939e-16	7.039622532088777e-17	2.8486662978046795e-16	7.20842932260757e-17	5.479971456192158e-16	6.640463167445438e-17	nan	nan
56460.490000000136	9.014189968325132e-16	4.752578792367764e-17	nan	nan	5.441822676675033e-16	5.3905157535923586e-17	6.375272549668985e-16	1.1697238879875463e-16	7.360806332089854e-16	5.021102411617091e-17	4.806291796190061e-16	6.90468213159501e-17	2.9226722387352647e-16	7.045472489078275e-17	5.635926969764881e-16	6.524056481571779e-17	nan	nan
56460.54000000014	9.274052915091038e-16	4.483849504848352e-17	nan	nan	5.583601782821448e-16	5.338736914007216e-17	6.583108605852624e-16	1.1561554949826334e-16	7.553624405563496e-16	4.960168335652569e-17	5.053309923616229e-16	6.770853301857274e-17	2.9970504122904435e-16	6.883564538009524e-17	5.791998038159219e-16	6.408475387315396e-17	nan	nan
56460.59000000014	9.532752030414487e-16	4.2462894619157806e-17	nan	nan	5.725421129384033e-16	5.287800137621333e-17	6.787990400497818e-16	1.142162080226663e-16	7.746532269122903e-16	4.902596980672311e-17	5.300771138592499e-16	6.638123305335996e-17	3.0718022716130666e-16	6.722734020909298e-17	5.948184725560707e-16	6.293732689628333e-17	nan	nan
56460.640000000145	9.790160398746372e-16	4.0473313548387924e-17	nan	nan	5.867278266113962e-16	5.2376936107139555e-17	6.989660942520037e-16	1.1280701308346783e-16	7.939523614147064e-16	4.8483988675079116e-17	5.54868300590654e-16	6.506480591738836e-17	3.1469292749316206e-16	6.56301053501851e-17	6.104487096661395e-16	6.179841727084995e-17	nan	nan
56460.69000000015	1.0046151060540916e-15	3.8950312046494856e-17	nan	nan	6.009170746679439e-16	5.18840528138745e-17	7.187862820148693e-16	1.1142324096650425e-16	8.132592132071814e-16	4.7975794540796694e-17	5.797053090002639e-16	6.375914888291301e-17	3.2224328855805844e-16	6.404424788990574e-17	6.260905215981118e-16	6.066816403221387e-17	nan	nan
56460.74000000015	1.0300597008108098e-15	3.7972866913098166e-17	nan	nan	6.151096284239177e-16	5.139917475113322e-17	7.382338168499007e-16	1.1010184320127474e-16	8.325731514497209e-16	4.750138676970629e-17	6.045888956126315e-16	6.246417296675455e-17	3.298314572015718e-16	6.247008674136614e-17	6.417439148100492e-16	5.954671221336288e-17	nan	nan
56460.790000000154	1.0553371181458627e-15	3.7607080651199375e-17	nan	nan	6.293052798759943e-16	5.0922052574489846e-17	7.572828637104329e-16	1.0888023202383152e-16	8.518935596792371e-16	4.706069222838749e-17	6.295198169465856e-16	6.117980394800472e-17	3.3745758078301506e-16	6.090795341750346e-17	6.574088957549482e-16	5.843421320008149e-17	nan	nan
56460.84000000016	1.0804359994231938e-15	3.789075356376224e-17	nan	nan	6.435038224301862e-16	5.0452431672206275e-17	7.759096644444811e-16	1.07792112177112e-16	8.712203807279143e-16	4.665307137756263e-17	6.544988296010785e-16	5.99059834738483e-17	3.451218071771447e-16	5.935819287138268e-17	6.730854709172094e-16	5.733082511272444e-17	nan	nan
56460.89000000016	1.1053589479562506e-15	3.879446518367462e-17	nan	nan	6.577050494644943e-16	4.9990057310835767e-17	7.941222581055482e-16	1.068287645640422e-16	8.905542839379643e-16	4.6277168919846155e-17	6.795266900834926e-16	5.864267021365298e-17	3.528242847760809e-16	5.782116440955145e-17	6.887736467447641e-16	5.623671322535834e-17	2.9413830659021623e-16	3.20096464251284e-17
56460.94000000016	1.130116801464048e-15	4.02413862465145e-17	nan	nan	6.719087543716085e-16	4.9534674983329505e-17	8.119531495739763e-16	1.0594843699853469e-16	9.098959872199256e-16	4.593153073944629e-17	7.04604155101519e-16	5.738984113041551e-17	3.6056516249074715e-16	5.629724268602526e-17	7.044734297270778e-16	5.5152050403190174e-17	2.9816992988833283e-16	3.095755921518684e-17
56460.990000000165	1.1547204985732455e-15	4.214104481086609e-17	nan	nan	6.861147305413722e-16	4.908603075151447e-17	8.294354245002321e-16	1.0510787996967822e-16	9.292462084818095e-16	4.561465577075081e-17	7.297319812197712e-16	5.614749280941535e-17	3.6834458975271074e-16	5.4786818784259303e-17	7.201848263343684e-16	5.40770175673439e-17	3.0221953716320396e-16	2.992047072230313e-17
56461.04000000017	1.179180972657959e-15	4.4401983296862314e-17	nan	nan	7.003227713616927e-16	4.864387159272472e-17	8.466021225807322e-16	1.0426469872655893e-16	9.48605665649945e-16	4.532500450948914e-17	7.549109251230479e-16	5.4915642910181813e-17	3.761627165158624e-16	5.329030139560208e-17	7.359078430429323e-16	5.301180418765162e-17	3.0628719232321445e-16	2.8899151794622886e-17
56461.09000000017	1.2035091521855986e-15	4.694005639014361e-17	3.028241854678502e-16	1.7845451543334626e-17	7.145326702382408e-16	4.820794574020225e-17	8.634862415559002e-16	1.0337868693465165e-16	9.679750766544499e-16	4.506100769380842e-17	7.801417434961477e-16	5.3694331730448074e-17	3.840196932581229e-16	5.180811810316603e-17	7.516424863483132e-16	5.1956608820925354e-17	3.1037295948201575e-16	2.789444325215811e-17
56461.140000000174	1.2277159610620895e-15	4.968239492277666e-17	3.096576301979714e-16	1.743517383805945e-17	7.287442205631372e-16	4.777800302278275e-17	8.801207412042459e-16	1.0241293518748767e-16	9.873551594298642e-16	4.482107502460923e-17	8.054251930353152e-16	5.248362386700386e-17	3.919156709832123e-16	5.0340716780634334e-17	7.673887627065466e-16	5.091163966452854e-17	3.1447690295893773e-16	2.690726390881768e-17
56461.19000000018	1.2518123189769788e-15	5.256824138490376e-17	3.1649697414272545e-16	1.703181056535085e-17	7.42957215702199e-16	4.735379520402987e-17	8.96538547332719e-16	1.0133474326979336e-16	1.0067466319391505e-15	4.46036037707411e-17	8.3076203053981115e-16	5.128361006661161e-17	3.998508012223472e-16	4.8888567116266264e-17	7.83146678635463e-16	4.987711515060204e-17	3.185990872797999e-16	2.5938619421096758e-17
56461.24000000018	1.2758091417484154e-15	5.554805651709843e-17	3.233422211458137e-16	1.6635556860847924e-17	7.571714490880835e-16	4.693507630924945e-17	9.127725557640463e-16	1.0011638290434625e-16	1.0261502121320073e-15	4.440698714350655e-17	8.561530127344956e-16	5.0094409162277893e-17	4.0782523603595673e-16	4.745216227244142e-17	7.98916240592111e-16	4.8853264589694016e-17	3.2273957717740314e-16	2.4989611961426022e-17
56461.29000000018	1.2997173416683957e-15	5.858192237525781e-17	3.301933750554709e-16	1.6246616862671637e-17	7.713867140897962e-16	4.652160295980992e-17	9.28855636320937e-16	9.873576847840616e-17	1.045566617989082e-15	4.4229622329539096e-17	8.815988964529677e-16	4.891617022646046e-17	4.1583912801533564e-16	4.603202069164817e-17	8.146974551064774e-16	4.784032882840666e-17	3.2689843759223646e-16	2.4061450665845477e-17
56461.340000000186	1.3235478278472151e-15	6.163782968572813e-17	3.370504397192159e-16	1.5865203915424255e-17	7.856028041268999e-16	4.61131346874785e-17	9.44820636808057e-16	9.717709905150743e-17	1.0649965674884966e-15	4.4069918073828975e-17	9.071004385173803e-16	4.7749074892952616e-17	4.238926302847776e-16	4.4628688059426035e-17	8.304903286639754e-16	4.6838560946418246e-17	3.3107573367315935e-16	2.3155462729872983e-17
56461.39000000019	1.3473115065587382e-15	6.469012274381341e-17	3.439134189902937e-16	1.5491540697175094e-17	7.99819512550181e-16	4.5709434247032196e-17	9.60700386991612e-16	9.543153797260792e-17	1.084440778639953e-15	4.392630175284117e-17	9.32658395789948e-16	4.659333985337311e-17	4.319858965029175e-16	4.3242739434644535e-17	8.462948677479926e-16	4.584822701723791e-17	3.352715307778318e-16	2.2273104918767247e-17
56461.44000000019	1.3710192815846487e-15	6.771819444068917e-17	3.5078231671670045e-16	1.5125859265475007e-17	8.140366328001539e-16	4.531026793582682e-17	9.76527702577376e-16	9.349799824417104e-17	1.103899969442416e-15	4.379722586851398e-17	9.5827352517867e-16	4.54492196178535e-17	4.4011908086446465e-16	4.187478155597974e-17	8.62111078892568e-16	4.486960686226559e-17	3.3948589447355636e-16	2.141597510421178e-17
56461.490000000194	1.3946820545595305e-15	7.070543598254617e-17	3.5765713675812306e-16	1.476840101002178e-17	8.282539582502649e-16	4.4915405875591613e-17	9.92335389187125e-16	9.138410271926725e-17	1.1233748579308526e-15	4.3681173925017365e-17	9.839465835743765e-16	4.431700947533586e-17	4.482923381023185e-16	4.052545533154311e-17	8.779389685871669e-16	4.3902994883536334e-17	3.4371889053781307e-16	2.0585823228449348e-17
56461.5400000002	1.4183107253152308e-15	7.363841038246148e-17	3.6453788297305567e-16	1.4419416479621314e-17	8.424712823051599e-16	4.452462232006481e-17	1.008156246334221e-15	8.910738673747071e-17	1.1428661621433882e-15	4.3576665668432783e-17	1.0096783279308515e-15	4.319704873432219e-17	4.565058234890707e-16	3.919543851583912e-17	8.937785433374634e-16	4.294870089881829e-17	3.479705849589106e-16	1.9784560817108193e-17
56461.5900000002	1.4419161922254248e-15	7.65062093810693e-17	3.7142455921617483e-16	1.407916505049803e-17	8.56688398347964e-16	4.4137695930432425e-17	1.0240230713983258e-15	8.669680217472087e-17	1.1623746001434123e-15	4.348226167712872e-17	1.0354695152648332e-15	4.2089724236765756e-17	4.647596928388361e-16	3.7885448572431993e-17	9.096298096744572e-16	4.2007051007113134e-17	3.5224104393658887e-16	1.9014267802922155e-17
