spec_file	spec_mjd	kait4_B_fitflux	kait4_B_fitfluxerr	kait4_B_inrange	kait4_I_fitflux	kait4_I_fitfluxerr	kait4_I_inrange	kait4_R_fitflux	kait4_R_fitfluxerr	kait4_R_inrange	kait4_V_fitflux	kait4_V_fitfluxerr	kait4_V_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-04-28_00-00-00_Lick-3m_KAST_None.ascii	55679.0	1.1613258262510921e-14	2.579949416334954e-16	True	2.5664265109594903e-15	6.417149568411293e-17	True	5.0620516893466015e-15	1.3679262084607984e-16	True	7.114525044892385e-15	1.4957715865901781e-16	True	1.2938149861710605e-14	4.616056560920466e-16	True	9.118342810443513e-15	3.4543626132138396e-16	True	1.3459161059359522e-16	2.938768367034892e-17	True	2.135616519400326e-15	1.2734363112503346e-16	True	6.151540652179037e-16	5.282952308193014e-17	True	6.926957406999436e-15	3.0501838383750185e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-05-01_12-48-00_Swift-UVOT_UV-grism_None.dat	55682.53	2.687716365287452e-14	6.303299481223069e-16	True	5.5342157497409896e-15	1.289556835205162e-16	True	1.1316822640375711e-14	2.2245331351022084e-16	True	1.5465677637203003e-14	3.0488620356567886e-16	True	2.91791407451757e-14	6.691283210568544e-16	True	3.126435122834681e-14	7.690451288080012e-16	True	6.780881229194642e-16	3.493926282572226e-17	True	8.779810561869852e-15	2.989351465277094e-16	True	2.1583783398232424e-15	7.869251016557469e-17	True	1.5700292716513613e-14	3.9460764883853854e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-05-04_00-00-00_Lick-3m_KAST_None.ascii	55685.0	3.7761382011043275e-14	5.868706288039999e-16	True	7.396130033258131e-15	1.0582591404211314e-16	True	1.5340266180688856e-14	2.030852143240587e-16	True	2.161469682967735e-14	3.058601828470435e-16	True	4.057936001480844e-14	7.278424725449478e-16	True	4.465045797836711e-14	8.892489737478823e-16	True	1.2033657801020157e-15	5.361671496550526e-17	True	1.3174308819811517e-14	4.532962265970692e-16	True	3.29949968075339e-15	1.3269546241434526e-16	True	2.1658922690247228e-14	5.466571514708931e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-05-05_11-39-00_Swift-UVOT_UV-grism_None.dat	55686.49	4.2742408595817925e-14	6.98091302924263e-16	True	8.006765653781868e-15	1.3385617904036734e-16	True	1.6952260385763004e-14	2.3868841750626053e-16	True	2.471196343953815e-14	3.924869104869586e-16	True	4.615934873299613e-14	6.098293904425577e-16	True	4.913906475640995e-14	6.787487346388506e-16	True	1.4383666460313403e-15	5.289197626132034e-17	True	1.4633466901611893e-14	4.0131619980553383e-16	True	3.7355214729792785e-15	1.3898455088134773e-16	True	2.4522635077607213e-14	5.578981947647654e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-05-06_00-00-00_Lick-3m_KAST_None.ascii	55687.0	4.409037969511756e-14	7.108455999988399e-16	True	8.120004407278285e-15	1.3251347023529714e-16	True	1.7375164705904e-14	2.3516372760283594e-16	True	2.5649371218477044e-14	4.192682619714478e-16	True	4.7719793793864376e-14	6.423255496678322e-16	True	4.989349587568268e-14	7.215187058135085e-16	True	1.5003487603473797e-15	5.098019741556266e-17	True	1.488238612760173e-14	3.666542042312753e-16	True	3.838359628241603e-15	1.3455046581188867e-16	True	2.5359700439391724e-14	5.392264741023253e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-05-07_06-56-00_Swift-UVOT_UV-grism_None.dat	55688.29	4.6730735351543765e-14	7.846653473808835e-16	True	8.20011767030687e-15	1.414048817426781e-16	True	1.824957132886185e-14	2.5070637972240926e-16	True	2.7627370331966832e-14	4.723650138369167e-16	True	5.079286369117456e-14	6.68080428523519e-16	True	5.018212142863416e-14	6.33707350199624e-16	True	1.6146246959231232e-15	5.172463177339076e-17	True	1.493891928551862e-14	3.4334042659580575e-16	True	3.991689287516754e-15	1.2356893994783556e-16	True	2.7142787261602636e-14	5.227679708681392e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-05-10_00-00-00_Lick-3m_KAST_None.ascii	55691.0	4.8817481108367406e-14	9.50310215969441e-16	True	7.674601380018243e-15	1.576871987552123e-16	True	1.9288841487745888e-14	3.0095919567452243e-16	True	2.993104718677518e-14	4.391686940422312e-16	True	5.30700587995778e-14	6.745245081488306e-16	True	4.4948683073414864e-14	6.169587602738489e-16	True	1.6816917291476847e-15	6.916382391580377e-17	True	1.3390913645415396e-14	4.300883424628268e-16	True	3.817870236592867e-15	1.3295500591944246e-16	True	2.92739340694834e-14	6.964418714819524e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-05-10_13-42-00_Swift-UVOT_UV-grism_None.dat	55691.57	4.8666161512311584e-14	9.589950965534352e-16	True	7.508545972482866e-15	1.5262230472428134e-16	True	1.934207396403777e-14	3.0085610711598225e-16	True	3.015760948923097e-14	4.2779286885741576e-16	True	5.290208536124775e-14	7.033803324668282e-16	True	4.321852285675608e-14	6.564029206460128e-16	True	1.6657030010665607e-15	6.994159662014378e-17	True	1.283670216581516e-14	4.1547421057494722e-16	True	3.706224651748181e-15	1.3136574401324595e-16	True	2.946129516413701e-14	7.043825532745827e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-05-14_00-00-00_Lick-3m_KAST_None.ascii	55695.0	4.407985012052925e-14	1.5549915082333282e-15	True	6.369677772913091e-15	3.020834066009854e-16	True	1.8201299385402732e-14	5.568589370591061e-16	True	2.967201870172151e-14	7.351833414563445e-16	True	4.8036172373775895e-14	8.2886968330203e-16	True	3.057718954332206e-14	6.511067422622234e-16	True	1.3884289016393537e-15	7.077406667761133e-17	True	8.846549053925995e-15	4.523907472159492e-16	True	2.801155696494372e-15	1.2620783757805537e-16	True	2.907451853436456e-14	5.140260327060783e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2011by/SN2011by_2011-05-22_00-00-00_Lick-3m_KAST_None.ascii	55703.0	2.3540062486157515e-14	7.439353538103955e-16	True	3.9910085546135296e-15	2.660693790107909e-16	True	1.1307534651927719e-14	1.9161254260532706e-16	True	2.092514582441015e-14	3.6770626565637225e-16	True	2.5840112996068837e-14	5.9599326020937e-16	True	1.123841192906332e-14	4.62570843098283e-16	True	5.986260380648579e-16	3.9130272756731615e-17	True	3.3469122247132153e-15	2.231677019210079e-16	True	1.278293187090889e-15	8.373762853227885e-17	True	2.087124539803311e-14	4.306912220201901e-16	True
