MJD	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	CSP_u_old	CSP_u_old_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56999.29000000011	7.123818593230484e-15	1.312367047493479e-15	1.710377236077514e-15	3.5633752012304454e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56999.34000000011	7.538885353814651e-15	1.3886002095710077e-15	1.796273690967828e-15	3.6892241977366786e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56999.390000000116	7.957611716725583e-15	1.4609259280760566e-15	1.8832478925911138e-15	3.806666738410868e-16	nan	nan	nan	nan	9.361517515675238e-14	1.5244125405286345e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.19028279734782e-14	3.2710817940116595e-14
56999.44000000012	8.380115156645195e-15	1.5293255619716706e-15	1.971332364431193e-15	3.9158266533145826e-16	nan	nan	nan	nan	9.428533550293223e-14	1.5005958371324927e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.211093925882565e-14	3.2553943462465055e-14
56999.49000000012	8.806513206355804e-15	1.5937888455440387e-15	2.060559656325603e-15	4.016836808002896e-16	nan	nan	nan	nan	9.495826932459782e-14	1.4769585762558653e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.231963539884661e-14	3.239692654403602e-14
56999.540000000125	9.236923458568029e-15	1.654311845464123e-15	2.1509623452398596e-15	4.1098384912844327e-16	nan	nan	nan	nan	9.563398632015183e-14	1.4535062494443093e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.252891800231708e-14	3.223976869804373e-14
56999.59000000013	9.671463567676274e-15	1.7108955770217374e-15	2.2425730360307997e-15	4.194980914706788e-16	nan	nan	nan	nan	9.631249621920065e-14	1.4302445408564554e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.273878868236682e-14	3.208247145662376e-14
56999.64000000013	1.0110251251622655e-14	1.763545046625262e-15	2.3354243622164716e-15	4.272420775789886e-16	1.3361404784976098e-15	1.6711346623268075e-15	nan	nan	9.69938087826537e-14	1.4071793345668817e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.294924905648905e-14	3.1925036371056744e-14
56999.69000000013	1.0553404293631181e-14	1.8122685770610427e-15	2.4295489867454837e-15	4.342321848915088e-16	1.6548605487720525e-15	1.6092185066025104e-15	nan	nan	9.767793380282071e-14	1.3843167219416183e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.316030074655685e-14	3.176746501199415e-14
56999.740000000136	1.1001040544017767e-14	1.8570773249569908e-15	2.5249796027685384e-15	4.4048545757389513e-16	1.975029703645978e-15	1.5480404981197602e-15	nan	nan	9.836488110350142e-14	1.3616630090436834e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.337194537883083e-14	3.160975896968818e-14
56999.79000000014	1.1453277922061703e-14	1.897984931550184e-15	2.621748934406688e-15	4.460195631197731e-16	2.296652900202789e-15	1.4876191703858258e-15	nan	nan	9.905466054009169e-14	1.3392247240147925e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.358418458397166e-14	3.145191985422507e-14
56999.84000000014	1.1910234417722145e-14	1.9350072679674312e-15	2.719889737524505e-15	4.508527443907987e-16	2.6197351106214322e-15	1.427973747908685e-15	nan	nan	9.97472819996703e-14	1.3170086243690145e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.379701999705278e-14	3.129394929576332e-14
56999.890000000145	1.2372028093464833e-14	1.968162248632813e-15	2.819434800501345e-15	4.550037650690902e-16	2.944281322207043e-15	1.369124178266427e-15	nan	nan	1.0044275540110292e-13	1.295021704123293e-14	nan	nan	nan	nan	nan	nan	nan	nan	7.401045325757287e-14	3.1135848944774375e-14
56999.94000000015	1.2838777086091573e-14	1.9974696948712304e-15	2.920416945001239e-15	4.584918465104294e-16	3.270296537436108e-15	1.3110911635048401e-15	nan	nan	1.0114109069513575e-13	1.273271200675221e-14	2.792986541587951e-15	3.0130816494637925e-16	nan	nan	nan	nan	nan	nan	7.422448600946425e-14	3.0977620472289765e-14
56999.99000000015	1.3310599608552435e-14	2.022951236100965e-15	3.0228690267479796e-15	4.613365939052501e-16	3.597785773985498e-15	1.2538961898584456e-15	nan	nan	1.01842297864494e-13	1.2517646013231421e-14	3.1180571786044717e-15	4.2315084450158484e-16	nan	nan	nan	nan	nan	nan	7.443911990110938e-14	3.081926557014942e-14
57000.040000000154	1.3787613951690501e-14	2.0446302397697305e-15	3.1268239362999334e-15	4.635579095235448e-16	3.926754064819567e-15	1.1975615543085948e-15	nan	nan	1.0254638692398239e-13	1.2305096493085466e-14	3.4465165016534443e-15	5.596092192403203e-16	nan	nan	nan	nan	nan	nan	7.465435658534782e-14	3.0660785951256054e-14
57000.09000000016	1.4269938486098002e-14	2.0625317637980695e-15	3.2323145998207533e-15	4.651758906223357e-16	4.257206346556685e-15	1.142110268459413e-15	nan	nan	1.0325336792057717e-13	1.2095143492380625e-14	3.778649219249698e-15	6.937182831135809e-16	nan	nan	nan	nan	nan	nan	7.487019771949348e-14	3.050218334983554e-14
57000.14000000016	1.4757691663905648e-14	2.076682526991173e-15	3.339373979855831e-15	4.662107093537997e-16	4.5891389359650124e-15	1.0875571083587554e-15	nan	nan	1.0396325093353037e-13	1.1887869717264988e-14	4.11474018571188e-15	8.200332868741511e-16	nan	nan	nan	nan	nan	nan	7.508664496534143e-14	3.034345952169729e-14
57000.19000000016	1.5250992020628015e-14	2.087110894312181e-15	3.448030975591275e-15	4.666792989823346e-16	4.922533527739768e-15	1.0339024072303832e-15	2.8583625909274398e-15	2.862322388223154e-16	1.0467604607446417e-13	1.1683360570748482e-14	4.455074412446284e-15	9.364614402311354e-16	nan	nan	nan	nan	nan	nan	7.530369998918321e-14	3.018461624450416e-14
57000.240000000165	1.57499581769111e-14	2.0938468747316813e-15	3.558292345228554e-15	4.665812587228134e-16	5.257370413855219e-15	9.811462358057905e-16	3.623203939571905e-15	3.592394734758124e-16	1.0539176348747589e-13	1.1481704177761257e-14	4.799937079217268e-15	1.0420913901612793e-15	nan	nan	nan	nan	nan	nan	7.55213644618173e-14	3.002565531804339e-14
57000.29000000017	1.6254708840389642e-14	2.0969221302062826e-15	3.6701574207702e-15	4.65910317495829e-16	5.593629901153751e-15	9.292902359412455e-16	4.392777825525079e-15	5.201388123715911e-16	1.0611041334922839e-13	1.1282991396122747e-14	5.149613545455481e-15	1.136510702508017e-15	nan	nan	nan	nan	nan	nan	7.573964005856358e-14	2.986657856450497e-14
57000.34000000017	1.6765362807477057e-14	2.0963699948334275e-15	3.783625566544739e-15	4.646602510895937e-16	5.931292311157152e-15	8.783380238644332e-16	5.167266003643431e-15	7.051693118155397e-16	1.0683200586905797e-13	1.10873158107979e-14	5.504389361539386e-15	1.2195523964846956e-15	nan	nan	nan	nan	nan	nan	7.595852845927053e-14	2.970738782876366e-14
57000.390000000174	1.7282038965166855e-14	2.092225503731186e-15	3.898696184794303e-15	4.6282501496343815e-16	6.27033797982306e-15	8.282956732351186e-16	5.946850316949818e-15	8.946801693816432e-16	1.0755655128907148e-13	1.0894773708506567e-14	5.8645502801045794e-15	1.291188212541367e-15	nan	nan	nan	nan	nan	nan	7.617803134833254e-14	2.9548084978665435e-14
57000.44000000018	1.780485629292641e-14	2.0845254316423134e-15	4.015368715651403e-15	4.603988566046555e-16	6.610747257369149e-15	7.791723031354493e-16	6.731712699829509e-15	1.0824681803064827e-15	1.0828405988424108e-13	1.0705464029449789e-14	6.230382267345322e-15	1.3514797162190501e-15	nan	nan	nan	nan	nan	nan	7.63981504146991e-14	2.938867190532165e-14
57000.49000000018	1.8333933864368485e-14	2.0733083415859083e-15	4.1336426371042385e-15	4.573764146190843e-16	6.952500508039258e-15	7.309808058754957e-16	7.522035181249103e-15	1.2661488045705661e-15	1.0901454196251686e-13	1.0519488292624229e-14	6.602171514331e-15	1.4005551040300706e-15	nan	nan	nan	nan	nan	nan	7.66188873518872e-14	2.9229150523406226e-14
57000.54000000018	1.8869390849210448e-14	2.0586146443086242e-15	4.253517464970734e-15	4.537528070444941e-16	7.295578109874344e-15	6.837387641359584e-16	8.317999887962721e-15	1.444660719830182e-15	1.0974800786491214e-13	1.0336950490875989e-14	6.980204448325897e-15	1.4385988057474897e-15	nan	nan	nan	nan	nan	nan	7.684024385799557e-14	2.906952277145877e-14
57000.590000000186	1.9411346514967878e-14	2.0404866697771894e-15	4.37499275286467e-15	4.49523711128683e-16	7.639960454539906e-15	6.374696283969801e-16	9.119789047756357e-15	1.6174891522872292e-15	1.1048446796562084e-13	1.0157956951593578e-14	7.364767744119291e-15	1.465848326222019e-15	nan	nan	nan	nan	nan	nan	7.70622216357135e-14	2.8909790612194515e-14
57000.64000000019	1.995992022890483e-14	2.018968752319544e-15	4.498068092178192e-15	4.446854366350911e-16	7.985627947061458e-15	5.922042576840138e-16	9.92758499262101e-15	1.7843779252815015e-15	1.1122393267210392e-13	9.982616158675002e-15	7.756148335355549e-15	1.4825959027855665e-15	nan	nan	nan	nan	nan	nan	7.728482239233487e-14	2.87499560328188e-14
57000.69000000019	2.051523145971669e-14	1.9941073317490526e-15	4.622743112037007e-15	4.3923499462890447e-16	8.332561005666456e-15	5.479829754257158e-16	1.0741570162016358e-14	1.9452071510235265e-15	1.1196641242520079e-13	9.81103853119569e-15	8.154633425876432e-15	1.4891940567954767e-15	nan	nan	nan	nan	nan	nan	7.750804783977445e-14	2.859002104534906e-14
57000.740000000194	2.107739977944385e-14	1.965951073465377e-15	4.74901747929328e-15	4.331701636723363e-16	8.680740061514949e-15	5.048583669370884e-16	1.1561927106053561e-14	2.0999355462186082e-15	1.1271191769922824e-13	9.643336154112781e-15	8.56051050107723e-15	1.4860649598709471e-15	nan	nan	nan	nan	nan	nan	7.773189969457e-14	2.842998768693987e-14
57000.7900000002	2.1646544865258214e-14	1.9345510115051605e-15	4.876890898488751e-15	4.264895553991791e-16	9.030145558531817e-15	4.628991601717843e-16	1.2388838488750282e-14	2.248570902456103e-15	1.1346045900208285e-13	9.479622456252096e-15	8.974067339261046e-15	1.4737141184007248e-15	nan	nan	nan	nan	nan	nan	7.795637967790661e-14	2.8269858020218902e-14
57000.8400000002	2.2222786501302238e-14	1.8999607197531478e-15	5.0063631118265946e-15	4.1919268157175706e-16	9.380757953177747e-15	4.2219570991015034e-16	1.3222487091223668e-14	2.3911539486041046e-15	1.142120468753421e-13	9.320011830968192e-15	9.395592023008895e-15	1.452749385998984e-15	nan	nan	nan	nan	nan	nan	7.818148951561974e-14	2.8109634133624684e-14
57000.8900000002	2.2806244580486412e-14	1.8622365181379123e-15	5.137433899157489e-15	4.112800249938167e-16	9.732557714205668e-15	3.8286787885838385e-16	1.4063055814939263e-14	2.527749052532992e-15	1.1496668995456756e-13	9.164617236995304e-15	9.825372950553879e-15	1.4239068237873765e-15	nan	nan	nan	nan	nan	nan	7.840723093821455e-14	2.7949318141754092e-14
57000.940000000206	2.339703910631894e-14	1.821437722880409e-15	5.270103077947373e-15	4.0275311702634254e-16	1.0085525322528495e-14	3.450765153071411e-16	1.4910727684930432e-14	2.658438625540774e-15	1.1572434499543968e-13	9.013499281535119e-15	1.0263698847172604e-14	1.3880854503615768e-15	nan	nan	nan	nan	nan	nan	7.863360568087102e-14	2.7788912185715166e-14
57000.99000000021	2.3995290194779402e-14	1.7776269528218614e-15	5.404370503257505e-15	3.936146250703775e-16	1.0439641270899768e-14	3.0904028150127664e-16	1.5765685853012194e-14	2.783319630680258e-15	1.1648491246250142e-13	8.866661511451301e-15	1.0710858776575187e-14	1.3463933549734875e-15	nan	nan	nan	nan	nan	nan	7.886061548346386e-14	2.762841843348853e-14
57001.04000000021	2.4601118076072468e-14	1.730870508004316e-15	5.540236067720421e-15	3.8386845422405057e-16	1.0794886063792674e-14	2.750601752150778e-16	1.6628113601033187e-14	2.902501335122566e-15	1.1724829002852473e-13	8.724104424757539e-15	1.116714215231447e-14	1.3002076669652546e-15	nan	nan	nan	nan	nan	nan	7.908826209057053e-14	2.7467839080293434e-14
57001.090000000215	2.5214643096525406e-14	1.681238842478276e-15	5.677699701519443e-15	3.735198685721658e-16	1.1151240217143594e-14	2.435541193988455e-16	1.7498194344092037e-14	3.0161038221435713e-15	1.1801437539698545e-13	8.58582836158404e-15	1.1632838749204606e-14	1.2512497124779435e-15	nan	nan	nan	nan	nan	nan	7.931654725148678e-14	2.730717634896466e-14
57001.14000000022	2.5835985720366666e-14	1.6288071614543133e-15	5.8167613723692814e-15	3.625756393313346e-16	1.1508684258118226e-14	2.1510145456444487e-16	1.837611163378528e-14	3.124256978074869e-15	1.1878306630073555e-13	8.451833537255685e-15	1.2108238714747316e-14	1.2016727613610797e-15	nan	nan	nan	nan	nan	nan	7.954547272023391e-14	2.7146432490332435e-14
57001.19000000022	2.646526653159377e-14	1.573656184614056e-15	5.957421085487351e-15	3.510442296437777e-16	1.1867198724977711e-14	1.9048667223280995e-16	1.9262049161418105e-14	3.2270997806726538e-15	1.1955426050069774e-13	8.32212006647446e-15	1.2593632580566726e-14	1.1541503319600296e-15	nan	nan	nan	nan	nan	nan	7.977504025557794e-14	2.6985609783615386e-14
57001.24000000022	2.710260623578469e-14	1.5158731344928221e-15	6.099678883582837e-15	3.3893602953223695e-16	1.2226764166772171e-14	1.707034950230487e-16	2.015619076127925e-14	3.3247797788236664e-15	1.2032785578454445e-13	8.196687977271448e-15	1.3089311273866627e-14	1.1119347038168617e-15	nan	nan	nan	nan	nan	nan	8.000525162103789e-14	2.68247105368189e-14
57001.29000000023	2.7748125661926173e-14	1.4555530339066544e-15	6.2435348468359395e-15	3.2626366001882003e-16	1.2587361143190707e-14	1.5683344688496052e-16	2.1058720413833936e-14	3.4174526912492704e-15	1.2110374996538827e-13	8.075537213417777e-15	1.3595566128888505e-14	1.0788277795562466e-15	nan	nan	nan	nan	nan	nan	8.023610858490184e-14	2.666373708714006e-14
57001.34000000023	2.8401945764282793e-14	1.3928004341789997e-15	6.388989092876282e-15	3.1304237357596705e-16	1.2948973994116388e-14	1.4968413366089838e-16	2.1969822249008435e-14	3.505282074651786e-15	1.2188184088046823e-13	7.958667623908326e-15	1.4112688898382415e-14	1.0589824252165653e-15	nan	nan	nan	nan	nan	nan	8.046761292023372e-14	2.6502691801384967e-14
57001.39000000023	2.906418762421833e-14	1.3277317534523055e-15	6.5360417767651576e-15	2.9929059044784755e-16	1.331167377482809e-14	1.488250272890904e-16	2.2889680549403858e-14	3.588439025939527e-15	1.2266202638983452e-13	7.8460789382404e-15	1.4640971765101292e-14	1.0564692990695547e-15	nan	nan	nan	nan	nan	nan	8.069976640489441e-14	2.6341577076393102e-14
57001.440000000235	2.973497245199976e-14	1.2604784937202375e-15	6.684693090981596e-15	2.8503062938634575e-16	1.3675618256711804e-14	1.5259483027183264e-16	2.3818479753562392e-14	3.66710189184579e-15	1.2344420437503394e-13	7.737770726178912e-15	1.5180702821394395e-14	1.0743391037827304e-15	nan	nan	5.939879773399362e-15	7.521074739932823e-16	3.54630458959187e-15	5.054075330308789e-16	8.093257082154835e-14	2.6180395339469037e-14
57001.49000000024	3.041442158870795e-14	1.191191746834508e-15	6.8349432654054224e-15	2.70289721077422e-16	1.4040968993536255e-14	1.591334942776375e-16	2.4756404459192813e-14	3.741455965091935e-15	1.2422827273779967e-13	7.633742340836427e-15	1.5732137118759093e-14	1.1121295070199394e-15	nan	nan	6.1383015945275434e-15	7.426201874918108e-16	3.657743134723776e-15	4.955406112249849e-16	8.116602795767695e-14	2.6019149048826496e-14
57001.54000000024	3.110265650801382e-14	1.1200486281604379e-15	6.9867925672923955e-15	2.5510143986885925e-16	1.440788755334795e-14	1.6683443923429604e-16	2.5703639426430606e-14	3.811693149632893e-15	1.2501412939874033e-13	7.533992843997457e-15	1.6295515159577177e-14	1.1672916551666885e-15	nan	nan	6.33909350093796e-15	7.425697948791517e-16	3.770182685080474e-15	4.883222771330467e-16	8.140013960559454e-14	2.5857840694040737e-14
57001.590000000244	3.179979881804804e-14	1.0472616532945562e-15	7.140241301275032e-15	2.395077661212857e-16	1.477653552013734e-14	1.7449341133346131e-16	2.6660369581096532e-14	3.8780115799666736e-15	1.2580167229601654e-13	7.438520912754028e-15	1.6871077847668678e-14	1.236771213477433e-15	nan	nan	6.542542864661869e-15	7.501885464523844e-16	3.8837009241713744e-15	4.835161565964257e-16	8.163490756245841e-14	2.5696472796509812e-14
57001.64000000025	3.2505970263279826e-14	9.730927063428417e-16	7.29528980933555e-15	2.2356211807820673e-16	1.5147074495513076e-14	1.8127577459664842e-16	2.7626780017947605e-14	3.9406151809538415e-15	1.2659079938404302e-13	7.347324726771152e-15	1.7459066568527425e-14	1.3175084383825059e-15	nan	nan	6.748937192720097e-15	7.636348031181407e-16	3.99837557333498e-15	4.808579223058566e-16	8.187033363028289e-14	2.5535047909928565e-14
57001.69000000025	3.32212927262703e-14	8.978743327339506e-16	7.451938470794951e-15	2.0733390399556436e-16	1.5519666100350412e-14	1.8662922318845965e-16	2.8603056003918876e-14	3.9997131555790546e-15	1.2738140863216446e-13	7.260401835677857e-15	1.805972319876363e-14	1.4067432174672361e-15	nan	nan	6.9585641420620714e-15	7.811565769136162e-16	4.114284394519284e-15	4.800666575461734e-16	8.210641961595298e-14	2.5373568620770725e-14
57001.74000000025	3.39458882296575e-14	8.220429722883433e-16	7.610187702303453e-15	1.9091550363078342e-16	1.589447197651224e-14	1.9020360744008163e-16	2.958938298139931e-14	4.055519388975018e-15	1.2817339802335006e-13	7.177749006381412e-15	1.8673290115554714e-14	1.5021414886269384e-15	nan	nan	7.171711534502934e-15	8.011944380097202e-16	4.231505193058443e-15	4.80856305383909e-16	8.23431673312354e-14	2.5212037548783407e-14
