MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	CSP_Y_new	CSP_Y_new_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56279.670000000086	nan	nan	nan	nan	nan	nan	3.3142676552550895e-16	6.348399063376804e-17	nan	nan	nan	nan	nan	nan	-2.9681982800329457e-17	7.084517320783202e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56279.72000000009	nan	nan	nan	nan	nan	nan	3.5882284979204183e-16	7.464808885759125e-17	nan	nan	nan	nan	nan	nan	1.1336811672849397e-18	6.964754435814519e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56279.77000000009	nan	nan	nan	nan	nan	nan	3.864117083336491e-16	8.545491230231033e-17	nan	nan	nan	nan	nan	nan	3.215361418275751e-17	6.845506324474143e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56279.820000000094	nan	nan	nan	nan	nan	nan	4.1419615176046426e-16	9.584622047573143e-17	nan	nan	nan	nan	nan	nan	6.337885372991311e-17	6.726792434239464e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56279.8700000001	nan	nan	nan	nan	nan	nan	4.4217899513302547e-16	1.0579106474623921e-16	nan	nan	nan	nan	nan	nan	9.481044175912078e-17	6.608632971451462e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56279.9200000001	nan	nan	nan	nan	nan	nan	4.703630580243503e-16	1.152723928307821e-16	nan	nan	nan	nan	nan	nan	1.2644942470669377e-16	6.491048944689331e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56279.9700000001	nan	nan	nan	nan	nan	nan	4.987511645803119e-16	1.2428088241109196e-16	nan	nan	nan	nan	nan	nan	1.582968535138045e-16	6.374062211115915e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.020000000106	nan	nan	nan	nan	nan	nan	5.273461435809382e-16	1.3281184914513623e-16	nan	nan	nan	nan	nan	nan	1.9035378364552078e-16	6.25769552600358e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.07000000011	nan	nan	nan	nan	nan	nan	5.561508285021546e-16	1.4086358617886583e-16	nan	nan	nan	nan	nan	nan	2.226212751102362e-16	6.141972595645695e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.12000000011	nan	nan	nan	nan	nan	nan	5.851680575767139e-16	1.4843642154292718e-16	nan	nan	nan	nan	nan	nan	2.5510039247863047e-16	6.026918133893449e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
