spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	CSP_Y_new_fitflux	CSP_Y_new_fitfluxerr	CSP_Y_new_inrange	CSP_g_old_fitflux	CSP_g_old_fitfluxerr	CSP_g_old_inrange	CSP_i_old_fitflux	CSP_i_old_fitfluxerr	CSP_i_old_inrange	CSP_r_old_fitflux	CSP_r_old_fitfluxerr	CSP_r_old_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN2012ht_2012-12-22_00-58-06_Ekar_AFOSC_Asiago.ascii	56283.04	5.0046317342092876e-15	1.281698642499744e-16	True	1.040658625518361e-15	2.113922092937622e-17	True	1.945368653525384e-15	4.1016820822977696e-17	True	2.8523188593360173e-15	3.7821798165229984e-17	True	5.953599800214663e-16	1.4585009947057245e-16	True	4.458755830154137e-15	3.3919144774636514e-16	True	1.267355640546293e-15	1.0255008549463484e-16	True	2.5759446523519105e-15	2.029903749295881e-16	True	4.732548895230813e-15	2.4492150108975496e-16	True	2.2484204839750163e-15	1.794613384370277e-16	True	4.553275280660779e-16	2.071068030917846e-16	False	6.208015907145312e-16	6.456009457590877e-17	True	1.8570130749993236e-16	2.6239677112592285e-17	True	2.7619638311479292e-15	1.502339309019904e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN2012ht_2012-12-23_16-00-23_Kanata_HOWPol_None.txt	56284.67	9.996704440896793e-15	7.950695764226204e-16	True	1.9636698507609576e-15	1.4862979421137745e-16	True	3.682138334112238e-15	2.515095497556869e-16	True	5.280390264591531e-15	3.798416581275815e-16	True	9.220496115241516e-16	6.500789793701131e-17	True	7.929682090282464e-15	4.489099266557001e-16	True	2.2784892527238714e-15	1.3473151889857233e-16	True	4.4322688454150015e-15	2.62848395684756e-16	True	1.0336716970872964e-14	7.997999897058699e-16	True	7.320851604357897e-15	7.876883568192983e-16	True	6.069275828288443e-16	1.4876620319279891e-16	False	2.1890177573743363e-15	2.730516079236063e-16	True	6.502267144413598e-16	8.854553820815192e-17	True	5.9590387672293865e-15	5.330125951702491e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN2012ht_2012-12-24_16-10-22_Kanata_HOWPol_None.txt	56285.67	1.3816502712320854e-14	1.1191131701924895e-15	True	2.6389558500797745e-15	2.0290562724596936e-16	True	4.98065440502564e-15	3.4476987566753035e-16	True	7.171719563031315e-15	5.214496352208006e-16	True	1.1617731211535755e-15	7.337556809178833e-17	True	1.0409087360874093e-14	5.353983069212549e-16	True	2.9780580518690853e-15	1.617975110920026e-16	True	5.771240832814446e-15	3.122814692312312e-16	True	1.4046810168352794e-14	8.98274793357574e-16	True	1.0741721990788736e-14	8.657554082004722e-16	True	7.19112679185449e-16	1.1526595055778965e-16	True	3.275578704999007e-15	2.8680609235047914e-16	True	9.680498235034964e-16	9.649763436180587e-17	True	8.03684752749206e-15	6.679943159395293e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN2012ht_2012-12-25_15-43-57_Kanata_HOWPol_None.txt	56286.66	1.7887452738882163e-14	1.2581188148003802e-15	True	3.3359710743465205e-15	2.211781733624666e-16	True	6.345927916948337e-15	3.7867005190528125e-16	True	9.211201892572828e-15	5.688334592079072e-16	True	1.4067974731034614e-15	8.687012624147491e-17	True	1.3011886438492552e-14	6.316259114845914e-16	True	3.678405345435924e-15	1.9264743628646527e-16	True	7.179816089731125e-15	3.6573961289684883e-16	True	1.780855076422638e-14	8.354422166412559e-16	True	1.4175506346845586e-14	7.656032826204447e-16	True	8.4698367583305865e-16	8.855474176537731e-17	True	4.387191234560056e-15	2.3449357026130977e-16	True	1.2922228428668943e-15	8.580851274000159e-17	True	1.012218784798697e-14	7.169406182118894e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN2012ht_2012-12-30_16-17-43_Kanata_HOWPol_None.txt	56291.68	3.5044508601308326e-14	6.661945095659007e-16	True	5.764355011004407e-15	8.052639003121043e-17	True	1.1795587524282565e-14	1.4874500558600198e-16	True	1.8314679105761202e-14	2.4202684554094636e-16	True	2.149692794076015e-15	1.2793203304595662e-16	True	2.5039890558681865e-14	9.9095046428119e-16	True	6.178729711101744e-15	2.560431940715356e-16	True	1.3503500620589349e-14	5.488807611296819e-16	True	3.425765782314183e-14	8.937742233769009e-16	True	2.630382125851496e-14	6.026972298775798e-16	True	1.5309472134040136e-15	7.427244375012235e-17	True	8.364167101894192e-15	2.412597803359921e-16	True	2.553983615297704e-15	1.0312749007787336e-16	True	1.9379789228202063e-14	5.136723886891679e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN2012ht_2013-01-02_07-21-46_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii	56294.31	3.8530988310357803e-14	5.492696519107732e-16	True	5.705779304010455e-15	6.022400740830878e-17	True	1.2906272067469073e-14	1.2957464810600433e-16	True	2.0676493533688857e-14	1.4769812902292552e-16	True	2.014310941819844e-15	1.1802252409531174e-16	True	2.849517087376818e-14	1.1893368107823249e-15	True	6.305676779388175e-15	2.940164429906167e-16	True	1.515766359465846e-14	6.660732916668503e-16	True	3.822533346174397e-14	1.108940209044964e-15	True	2.5856704037310057e-14	7.731862210779998e-16	True	1.6149501783076826e-15	8.391386076619866e-17	True	8.032808636997023e-15	3.263523943755977e-16	True	2.605432660322187e-15	1.2097698969879153e-16	True	2.2134574377810664e-14	6.211679551318405e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN2012ht_2013-01-02_07-30-56_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii	56294.32	3.853707635212765e-14	5.491007948552165e-16	True	5.704313435893188e-15	6.02616777913933e-17	True	1.2908205264365795e-14	1.296619857362218e-16	True	2.0680549709069823e-14	1.4755065093568121e-16	True	2.013210705324059e-15	1.1799165683121257e-16	True	2.850362098503651e-14	1.189767775243599e-15	True	6.304852989868928e-15	2.940682435136244e-16	True	1.516137349713004e-14	6.663381822423578e-16	True	3.823293280562264e-14	1.1085368562587022e-15	True	2.584751273076148e-14	7.729677213002629e-16	True	1.614835142692475e-15	8.387635909326754e-17	True	8.029158650827936e-15	3.261720147170493e-16	True	2.604873790218161e-15	1.2096147077368825e-16	True	2.2141634185532856e-14	6.210799834893492e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN2012ht_2013-01-03_15-41-34_Kanata_HOWPol_None.txt	56295.65	3.881667965437917e-14	6.313290969160721e-16	True	5.451878780428308e-15	8.422882418877949e-17	True	1.2983591230480035e-14	1.6708051670008784e-16	True	2.0945312420212803e-14	2.021828948048445e-16	True	1.8465356045477948e-15	1.1432961777274976e-16	True	2.9306818283999407e-14	1.219935654578821e-15	True	6.1270196745020915e-15	2.9335568667644734e-16	True	1.548085238534798e-14	6.867047103261472e-16	True	3.870469942650559e-14	1.0010843212113619e-15	True	2.4238240354683208e-14	6.725540428421262e-16	True	1.5713895175364475e-15	7.502592629426609e-17	True	7.438452781809194e-15	2.7594527379997773e-16	True	2.488865867053492e-15	1.1195214197270588e-16	True	2.2839823667400488e-14	5.835655190798789e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN2012ht_2013-01-04_16-49-00_Kanata_HOWPol_None.txt	56296.7	3.831875984202474e-14	6.60951629249476e-16	True	5.197236817319012e-15	9.208286729555792e-17	True	1.2833328169279866e-14	1.8101153845155854e-16	True	2.089395260029783e-14	2.309746938191929e-16	True	1.703570906889127e-15	1.2020401458224439e-16	True	2.949585119455361e-14	1.2086054258047397e-15	True	5.904447402747877e-15	2.842257131168207e-16	True	1.5492054879117512e-14	6.842715699933246e-16	True	3.829940669238998e-14	9.12311246157456e-16	True	2.2517404187446246e-14	6.004698526071846e-16	True	1.49870094731408e-15	6.669984207883161e-17	True	6.8636210195930305e-15	2.4188474188676367e-16	True	2.3467485024367862e-15	1.019378849393251e-16	True	2.3047610561432144e-14	5.464918174618813e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2012ht/SN_2012ht_2013-01-05_11-45-36_Lick-3m_KAST_UCB-SNDB.flm	56297.49	3.755771577535511e-14	5.805790844732577e-16	True	4.996941461467752e-15	7.330919970328303e-17	True	1.2637771739972504e-14	1.5699115337806567e-16	True	2.0743291541786264e-14	1.8584337605964965e-16	True	1.6029551720157974e-15	1.3977895685078006e-16	True	2.9390882868364895e-14	1.1824183417546401e-15	True	5.697551569474005e-15	2.731647029221183e-16	True	1.5365843115248974e-14	6.730977381295599e-16	True	3.757731186848779e-14	8.585540062054435e-16	True	2.1047573203245444e-14	5.545200071697308e-16	True	1.4270153573573885e-15	6.131870072747704e-17	True	6.3867879557822686e-15	2.2294455994111607e-16	True	2.2228062187709005e-15	9.491775195087672e-17	True	2.3019568857424023e-14	5.229013916373484e-16	True
