MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
56680.16000000016	nan	nan	-1.738755763684616e-16	6.157458657217567e-16	nan	nan	nan	nan	8.832053751647211e-16	2.3835178255993155e-15
56680.21000000017	nan	nan	-1.625831896732258e-16	6.085313521308458e-16	nan	nan	nan	nan	9.112822406277212e-16	2.3597461392597775e-15
56680.26000000017	nan	nan	-1.512127704949421e-16	6.013196786378016e-16	nan	nan	nan	nan	9.396092840605292e-16	2.3359422104052862e-15
56680.31000000017	nan	nan	-1.397639213190529e-16	5.941111730833164e-16	nan	nan	nan	nan	9.681882650594505e-16	2.312107212543855e-15
56680.360000000175	nan	nan	-1.28236242838906e-16	5.869061691455484e-16	nan	nan	nan	nan	9.970209543714214e-16	2.2882423481136607e-15
56680.41000000018	nan	nan	-1.1662933394782623e-16	5.797050064713745e-16	nan	nan	nan	nan	1.026109133961553e-15	2.2643488491948685e-15
56680.46000000018	nan	nan	-1.0494279173107049e-16	5.725080308122333e-16	nan	nan	nan	nan	1.055454597079349e-15	2.240427978245358e-15
56680.510000000184	nan	nan	-9.317621145918195e-17	5.653155941649394e-16	nan	nan	nan	nan	1.0850591483266401e-15	2.216481028860952e-15
56680.56000000019	nan	nan	-8.13291865795371e-17	5.581280549170946e-16	nan	nan	nan	nan	1.11492460372491e-15	2.192509326561565e-15
56680.61000000019	nan	nan	-6.94013087092918e-17	5.509457779983856e-16	nan	nan	nan	nan	1.1450527907841834e-15	2.1685142296041546e-15
56680.66000000019	nan	nan	-5.739216762692833e-17	5.437691350366669e-16	nan	nan	nan	nan	1.1754455485704166e-15	2.14449712982409e-15
56680.710000000196	nan	nan	-4.530135126491001e-17	5.365985045205486e-16	nan	nan	nan	nan	1.2061047277758632e-15	2.120459453505677e-15
56680.7600000002	nan	nan	-3.31284457021609e-17	5.294342719678764e-16	nan	nan	nan	nan	1.2370321907872886e-15	2.096402662283776e-15
56680.8100000002	nan	nan	-2.087303515570031e-17	5.222768301005459e-16	nan	nan	nan	nan	1.2682298117562262e-15	2.072328254077532e-15
56680.860000000204	nan	nan	-8.5347019731808e-18	5.151265790265138e-16	nan	nan	nan	nan	1.2996994766688213e-15	2.0482377640579087e-15
56680.91000000021	nan	nan	3.886973374923556e-18	5.079839264289425e-16	nan	nan	nan	nan	1.33144308341702e-15	2.0241327656506268e-15
56680.96000000021	nan	nan	1.6392412303741012e-17	5.008492877628731e-16	nan	nan	nan	nan	1.3634625418687598e-15	2.0000148715761396e-15
56681.01000000021	nan	nan	2.898203812131838e-17	4.937230864602541e-16	nan	nan	nan	nan	1.395759773939832e-15	1.9758857349284217e-15
56681.060000000216	nan	nan	4.165627603710317e-17	4.866057541434369e-16	nan	nan	nan	nan	1.428336713665287e-15	1.951747050294621e-15
56681.11000000022	nan	nan	5.44155531695513e-17	4.794977308480087e-16	nan	nan	nan	nan	1.4611953072722312e-15	1.927600554917266e-15
56681.16000000022	nan	nan	6.726029855449265e-17	4.723994652550592e-16	nan	nan	nan	nan	1.4943375132515785e-15	1.9034480299014797e-15
56681.210000000225	nan	nan	8.01909431527679e-17	4.65311414934177e-16	nan	nan	nan	nan	1.5277653024318241e-15	1.8792913014691083e-15
56681.26000000023	nan	nan	9.320791985891475e-17	4.582340465971133e-16	nan	nan	nan	nan	1.5614806580517727e-15	1.8551322422623807e-15
56681.31000000023	nan	nan	1.0631166350889218e-16	4.511678363633815e-16	nan	nan	nan	nan	1.5954855758353325e-15	1.8309727726995086e-15
56681.36000000023	nan	nan	1.1950261088815452e-16	4.441132700382861e-16	nan	nan	nan	nan	1.629782064064895e-15	1.8068148623847192e-15
56681.410000000236	nan	nan	1.32781200740396e-16	4.370708434045987e-16	nan	nan	nan	nan	1.6643721436563232e-15	1.782660531575744e-15
56681.46000000024	nan	nan	1.4614787377504173e-16	4.300410625281545e-16	nan	nan	nan	nan	1.6992578482344377e-15	1.7585118527115756e-15
56681.51000000024	nan	nan	1.5960307267616727e-16	4.2302444407922874e-16	nan	nan	nan	nan	1.7344412242082428e-15	1.7343709520035661e-15
56681.560000000245	nan	nan	1.7314724211057247e-16	4.1602151567006277e-16	nan	nan	nan	nan	1.7699243308466956e-15	1.7102400110934036e-15
56681.61000000025	nan	nan	1.8678082873579747e-16	4.0903281621026443e-16	nan	nan	nan	nan	1.80570924035569e-15	1.6861212687811457e-15
56681.66000000025	nan	nan	2.0050428120921675e-16	4.0205889628142474e-16	nan	nan	nan	nan	1.841798037954736e-15	1.6620170228272152e-15
56681.710000000254	nan	nan	2.1431805019538473e-16	3.9510031853188296e-16	nan	nan	nan	nan	1.878192821954033e-15	1.6379296318321232e-15
56681.76000000026	nan	nan	2.282225883756253e-16	3.881576580939503e-16	nan	nan	nan	nan	1.914895703832406e-15	1.613861517198197e-15
56681.81000000026	nan	nan	2.4221835045575637e-16	3.8123150302502905e-16	nan	nan	nan	nan	1.9519088083156376e-15	1.5898151651775783e-15
56681.86000000026	nan	nan	2.56305793174805e-16	3.743224547745841e-16	nan	nan	nan	nan	1.9892342734548185e-15	1.5657931290108447e-15
56681.910000000265	nan	nan	2.704853753135188e-16	3.6743112867955944e-16	nan	nan	nan	nan	2.026874250705719e-15	1.5417980311614473e-15
56681.96000000027	nan	nan	2.847575577028772e-16	3.6055815448982795e-16	nan	nan	nan	nan	2.0648309050081394e-15	1.5178325656510542e-15
56682.01000000027	nan	nan	2.9912280323292342e-16	3.5370417692757546e-16	nan	nan	nan	nan	2.1031064148661495e-15	1.4938995005006776e-15
56682.060000000274	nan	nan	3.135815768611009e-16	3.468698562823489e-16	nan	nan	nan	nan	2.141702972428306e-15	1.4700016802836035e-15
56682.11000000028	nan	nan	3.2813434562131817e-16	3.400558690462592e-16	nan	nan	nan	nan	2.1806227835685226e-15	1.4461420287962224e-15
56682.16000000028	nan	nan	3.427815786321107e-16	3.332629085924319e-16	nan	nan	nan	nan	2.2198680679680677e-15	1.4223235518521284e-15
56682.21000000028	nan	nan	3.5752374710602655e-16	3.264916859008797e-16	3.550146233149381e-17	4.816296411600417e-16	nan	nan	2.25944105919652e-15	1.3985493402068022e-15
56682.260000000286	nan	nan	3.723613243577003e-16	3.1974293033717006e-16	8.334505731789081e-17	4.729178441567745e-16	nan	nan	2.299344004794829e-15	1.3748225726189808e-15
56682.31000000029	nan	nan	3.8729478581347214e-16	3.1301739048810693e-16	1.3147355134574136e-16	4.643600259065422e-16	nan	nan	2.3395791663577048e-15	1.3511465190559064e-15
56682.36000000029	nan	nan	4.023246090196367e-16	3.0631583506192117e-16	1.7988821774128746e-16	4.559596439875004e-16	nan	nan	2.3801488196172e-15	1.3275245440495118e-15
56682.410000000295	nan	nan	4.174512736514501e-16	2.9963905385819927e-16	2.2859033489026883e-16	4.477201195378515e-16	nan	nan	2.4210552545260303e-15	1.3039601102110264e-15
56682.4600000003	nan	nan	4.326752615219033e-16	2.9298785881635863e-16	2.775811862571075e-16	4.396448196286247e-16	nan	nan	2.4623007753420265e-15	1.2804567819112882e-15
56682.5100000003	nan	nan	4.479970565916327e-16	2.863630851507567e-16	3.268620604032639e-16	4.317370376165682e-16	nan	nan	2.5038877007130164e-15	1.2570182291347231e-15
56682.5600000003	nan	nan	4.634171449763529e-16	2.7976559258311144e-16	3.7643425100681554e-16	4.239999713772712e-16	nan	nan	2.5458183637618433e-15	1.2336482315141871e-15
56682.610000000306	2.733652682719369e-15	1.358865948178075e-15	4.7893601495726245e-16	2.7319626668255695e-16	4.2629905688103747e-16	4.1643669933693743e-16	nan	nan	2.588095112171832e-15	1.2103506825547098e-15
56682.66000000031	2.807260709528205e-15	1.3222705946810927e-15	4.945541569893808e-16	2.6665602032752854e-16	4.764577819938265e-16	4.090501542420529e-16	nan	nan	2.6307203082735864e-15	1.1871295940531779e-15
56682.71000000031	2.881625174106586e-15	1.2857846945256657e-15	5.102720637105837e-16	2.6014579530342146e-16	5.269116043302369e-16	4.018427575150936e-16	nan	nan	2.673696329130675e-15	1.163989100721108e-15
56682.760000000315	2.9567523437043194e-15	1.2494164038161422e-15	5.260902299516304e-16	2.5366656405428605e-16	5.776597445712932e-16	3.948116852702787e-16	nan	nan	2.7170255666276424e-15	1.1409334650170265e-15
56682.81000000032	3.032648532645597e-15	1.2131742235213593e-15	5.42009152744092e-16	2.4721933160740953e-16	6.286999178392726e-16	3.8795002691768425e-16	nan	nan	2.7607104275575397e-15	1.1179670821941865e-15
56682.86000000032	3.1093201026633035e-15	1.1770670250540505e-15	5.580293313304367e-16	2.4080513769482024e-16	6.800298055233139e-16	3.812505874247466e-16	nan	nan	2.804753333709545e-15	1.0950944855681711e-15
56682.91000000032	3.1867734632355584e-15	1.1411040790335284e-15	5.74151267173241e-16	2.344250590979894e-16	7.316470940962875e-16	3.747060094889642e-16	nan	nan	2.8491567219581012e-15	1.07232035200772e-15
56682.96000000033	3.265015071924459e-15	1.1052950877747892e-15	5.903754639637297e-16	2.280802122472977e-16	7.835494750690602e-16	3.6830879700195857e-16	nan	nan	2.893923044351924e-15	1.0496495076499878e-15
56683.01000000033	3.344051434717027e-15	1.0696502221591905e-15	6.06702427632415e-16	2.2177175611273449e-16	8.357346449462593e-16	3.620513395278734e-16	nan	nan	2.9390547682038136e-15	1.0270869338389074e-15
56683.06000000033	3.4238891063690337e-15	1.0341801636850033e-15	6.231326663568794e-16	2.1550089542889646e-16	8.882003051803234e-16	3.559259376174721e-16	nan	nan	2.9845543761807263e-15	1.0046377732823298e-15
56683.110000000335	3.5045346907503902e-15	9.988961526713765e-16	6.396666905724439e-16	2.0926888430493833e-16	9.409441621282238e-16	3.4992482876984374e-16	nan	nan	3.0304243663941926e-15	9.823073364199972e-16
56683.16000000034	3.585994841193621e-15	9.638100438115988e-16	6.563050129811457e-16	2.030770302789498e-16	9.939639270050777e-16	3.4404021384997636e-16	1.7644046703578882e-15	1.0539982750234133e-15	3.0766672524920614e-15	9.601011079878724e-16
56683.21000000034	3.668276260844396e-15	9.289343705525822e-16	6.730481485610653e-16	1.969266988883935e-16	1.0472573158406704e-15	3.382642837707495e-16	1.833186560814699e-15	1.0246147970479604e-15	3.123285563749785e-15	9.380247537600544e-16
56683.260000000344	3.751385703014008e-15	8.942824201347982e-16	6.898966145762958e-16	1.9081931884004957e-16	1.1008220494343386e-15	3.325892462509572e-16	1.9027292920004244e-15	9.953895756873864e-16	3.1702818451630335e-15	9.160841274397458e-16
