spec_file	spec_mjd	lascumbres_B_fitflux	lascumbres_B_fitfluxerr	lascumbres_B_inrange	lascumbres_V_fitflux	lascumbres_V_fitfluxerr	lascumbres_V_inrange	lascumbres_g'_fitflux	lascumbres_g'_fitfluxerr	lascumbres_g'_inrange	lascumbres_i'_fitflux	lascumbres_i'_fitfluxerr	lascumbres_i'_inrange	lascumbres_r'_fitflux	lascumbres_r'_fitfluxerr	lascumbres_r'_inrange	lascumbres_u'_fitflux	lascumbres_u'_fitfluxerr	lascumbres_u'_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/2015ap_2457303.83472228_FTN_FLOYDS-N_None.ascii	57303.33	8.287363895308467e-16	2.053903735006305e-16	True	1.2140392937127155e-15	4.8267231523876574e-17	True	9.735603274776576e-16	7.968430323554577e-17	True	9.339258250112412e-16	2.1202720137574567e-17	True	1.1082367866623836e-15	2.73849090339958e-17	True	3.759643705890584e-16	3.8353831307518144e-16	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-10-09_11-25-26_Lick-3m_KAST_UCB-SNDB_0.flm	57304.48	7.79874218148287e-16	2.9543124954517985e-16	True	1.1428067736719492e-15	7.398304302830257e-17	True	9.230859398991082e-16	1.0761540618039899e-16	True	8.839638125663016e-16	2.971166825456311e-17	True	1.0419533003700922e-15	4.0492554842793274e-17	True	3.3283508948526776e-16	5.23720187149297e-16	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-10-10_11-41-16_Lick-3m_KAST_UCB-SNDB_0.flm	57305.49	7.420188594266838e-16	3.629445346396992e-16	True	1.0856064734339036e-15	8.419911713320229e-17	True	8.830384837989711e-16	1.1542540990710127e-16	True	8.444850271539128e-16	3.379009667287629e-17	True	9.857039666024866e-16	4.6349136501599247e-17	True	2.990510509635235e-16	6.407694436030197e-16	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-10-11_09-36-00_Lick-3m_KAST_UCB-SNDB_0.flm	57306.4	7.116831968234739e-16	4.115892234241179e-16	True	1.0385547410253391e-15	7.992798809408063e-17	True	8.499963335206808e-16	1.0479839862908446e-16	True	8.116442164897939e-16	3.361874973901932e-17	True	9.372727829680523e-16	4.5353969738525483e-17	True	2.715546847161221e-16	7.398276329757024e-16	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/2015ap_2457309.08866521_FTS_FLOYDS-S_None.ascii	57308.59	6.518454593844614e-16	4.7268421472904e-16	True	9.438994437101078e-16	3.447124750441516e-17	True	7.802409244746728e-16	1.1043694833709198e-17	True	7.391364943859165e-16	2.5803984653806816e-17	True	8.330164935629348e-16	2.949515359575882e-17	True	2.1529028069559395e-16	9.503621283175992e-16	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-10-14_08-49-55_Lick-3m_KAST_UCB-SNDB_0.flm	57309.37	6.345307502383446e-16	4.7369257259684e-16	True	9.16847828332647e-16	4.4489470585663475e-17	True	7.58069934179241e-16	4.1433278277149874e-17	True	7.142846382109973e-16	2.8320809089210947e-17	True	8.011868034733566e-16	3.3856443787604293e-17	True	1.9819959689061836e-16	1.0156890408202297e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/2015ap_2457310.05413124_FTN_FLOYDS-N_None.ascii	57309.55	6.308019859345572e-16	4.723161214411479e-16	True	9.110526511533835e-16	4.921490102490971e-17	True	7.531260987434331e-16	5.173783139118183e-17	True	7.085829017789973e-16	2.945611636196593e-17	True	7.942592723640186e-16	3.5916867703687926e-17	True	1.9445204699888682e-16	1.0300601212583607e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-10-20_09-38-52_Lick-3m_KAST_UCB-SNDB_0.flm	57315.4	5.481698081649959e-16	1.0074472937377524e-16	True	7.4188763694246885e-16	2.3811104973041754e-17	True	6.248415505106233e-16	6.445258250792081e-17	True	5.398448187733323e-16	2.059990038395294e-17	True	6.314103531778628e-16	2.769854804017698e-17	True	1.0453274411618632e-16	1.371085425641017e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-11-05_10-26-24_Lick-3m_KAST_UCB-SNDB_0.flm	57331.44	4.458061480226183e-16	1.0127184518321842e-16	True	5.298653958141081e-16	5.366558770212163e-17	True	4.722070344148184e-16	6.81195730171752e-17	True	3.3209483525828224e-16	1.9446251708849506e-17	True	4.0236480230902315e-16	2.7723607764335436e-17	True	1.900889137321032e-17	1.633511219474247e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-11-11_06-40-19_Lick-3m_KAST_UCB-SNDB_0.flm	57337.28	4.1896395097805503e-16	1.5529400965205285e-16	True	4.609863212066347e-16	7.512997147274845e-17	True	4.376995475231479e-16	7.726018731737624e-17	True	2.968038081857635e-16	2.18103096784168e-17	True	3.5859712500942543e-16	3.1296968889437755e-17	True	1.0209827511844867e-17	1.6483267414217477e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-11-17_06-43-12_Lick-3m_KAST_UCB-SNDB_0.flm	57343.28	3.7251080650572934e-16	5.861962579115088e-16	True	3.905415633325953e-16	1.8360535364422873e-16	True	4.151088817551874e-16	7.940406092536303e-17	True	2.8038059131340783e-16	2.36579383357586e-17	True	3.4476307942963887e-16	3.6298078068779905e-17	True	5.388587432687411e-18	1.6539692274809138e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-12-08_06-33-07_Lick-3m_KAST_UCB-SNDB_0.flm	57364.27	2.9145181453417635e-16	1.4744131679258804e-16	True	3.3218047375327754e-16	8.674235632703673e-17	True	3.955206955257134e-16	1.2090521184281536e-16	True	1.849401536781925e-16	7.374792210911953e-17	True	1.9132315961689586e-16	4.042051670201002e-17	True	5.7410325186607295e-19	1.656888659182545e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-12-11_00-00-00_Keck1_LRIS_UCB-SNDB_0.flm	57367.0	2.9652266284421216e-16	1.697814511879991e-17	True	2.817304463329288e-16	1.3133929062408315e-17	True	3.1066319495821623e-16	1.2004792802332104e-17	True	1.8311176653704117e-16	8.61977035836022e-17	True	1.9422112822079298e-16	3.867705585313753e-18	True	4.2888603966751955e-19	1.6569129936033066e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/SN_2015ap_2015-12-16_07-46-33_Lick-3m_KAST_UCB-SNDB_0.flm	57372.32	2.7933542733004303e-16	7.48277133756305e-17	True	2.681406217221832e-16	7.670229007338751e-17	True	2.799075633646754e-16	5.1445789884091006e-17	True	1.8605592478587439e-16	5.253812096858881e-17	True	2.1253916851750896e-16	3.990085638251231e-17	True	2.429061184575729e-19	1.6569356727265836e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/2015ap_2457392.82376178_FTN_FLOYDS-N_None.ascii	57392.32	2.3442829813125365e-16	3.8334074591404524e-16	True	2.0164988475063442e-16	1.9544275501844194e-16	True	2.2865196909058396e-16	8.715786310225727e-17	True	1.0725126780480869e-16	2.1758454160634453e-17	True	1.4946858432772514e-16	3.1948274306339565e-17	True	2.8582084664294917e-20	1.6569480094930445e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/2015ap_2457410.79953705_FTN_FLOYDS-N_None.ascii	57410.3	1.9264790028952422e-16	4.458591040295807e-16	True	1.4753719261678525e-16	1.3521423538733806e-16	True	1.9787850645211654e-16	1.065912155102083e-16	True	7.66945764265445e-17	3.2967568459609574e-17	True	1.1503084449277515e-16	3.7551296975116435e-17	True	4.1611446791282676e-21	1.65694824542507e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/2015ap_2457413.78419116_FTN_FLOYDS-N_None.ascii	57413.28	1.9059460251286772e-16	1.9271605168024516e-16	True	1.4302815578422873e-16	7.991977116152716e-17	True	1.9115331888091049e-16	4.894582504950062e-17	True	7.154390843958707e-17	5.796360944036449e-18	True	1.0722980443194786e-16	1.186745530612903e-17	True	3.0226686207697987e-21	1.656948248363149e-15	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ap/2015ap_2457429.74236272_FTN_FLOYDS-N_None.ascii	57429.24	1.1902583449361208e-16	7.30591594466782e-16	False	1.4206216821145942e-16	1.683546151237613e-16	True	2.278703249449105e-16	2.813347332243806e-16	True	7.950197637142278e-17	9.404121571845545e-17	True	1.293430388421223e-16	1.1444008251859385e-16	True	5.4496469635812755e-22	1.6569482517571127e-15	False
