MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err
53536.37500000019	5.786287356877605e-16	2.2269021765484622e-17	1.4305314348056636e-16	8.995163287847976e-18	nan	nan	nan	nan
53536.42500000019	5.809884396518024e-16	2.2250836559997993e-17	1.433901947693675e-16	8.949991513061781e-18	nan	nan	nan	nan
53536.475000000195	5.833492674679067e-16	2.2235537698175675e-17	1.4372760636190138e-16	8.90541127939165e-18	nan	nan	nan	nan
53536.5250000002	5.857111584599682e-16	2.2223058119402195e-17	1.44065374566017e-16	8.861423271527004e-18	nan	nan	nan	nan
53536.5750000002	5.880740519534589e-16	2.221333127788086e-17	1.4440349568986246e-16	8.81802813815192e-18	nan	nan	nan	nan
53536.625000000204	5.904378872753457e-16	2.220629121242831e-17	1.447419660418911e-16	8.775226490712019e-18	nan	nan	nan	nan
53536.67500000021	5.928026037539295e-16	2.2201872612576128e-17	1.4508078193083973e-16	8.73301890215741e-18	nan	nan	nan	nan
53536.72500000021	5.951681407187068e-16	2.2200010880948996e-17	1.4541993966573874e-16	8.691405905618096e-18	nan	nan	nan	nan
53536.77500000021	5.975344375002526e-16	2.2200642191840868e-17	1.457594355559038e-16	8.6503879931462e-18	nan	nan	nan	nan
53536.825000000215	5.99901433678966e-16	2.2203703231992722e-17	1.4609926591093908e-16	8.609965614367282e-18	nan	nan	nan	nan
53536.87500000022	6.022690745600692e-16	2.2209124347797748e-17	1.4643942704072055e-16	8.570139175168876e-18	nan	nan	nan	nan
53536.92500000022	6.046373111735278e-16	2.2216829609119268e-17	1.467799152554046e-16	8.530909036358379e-18	nan	nan	nan	nan
53536.975000000224	6.070060947987488e-16	2.22267437888292e-17	1.4712072686541606e-16	8.492275512307601e-18	nan	nan	nan	nan
53537.02500000023	6.093753767156108e-16	2.2238792748134272e-17	1.4746185818145342e-16	8.454238869613982e-18	nan	nan	nan	nan
53537.07500000023	6.117451082043937e-16	2.2252903503011526e-17	1.478033055144768e-16	8.416799325722839e-18	nan	nan	nan	nan
