MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	LT_IOO_u	LT_IOO_u_err	LT_IOO_z	LT_IOO_z_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err
57231.71375000009	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.4408486987372307e-16	2.5186250300552008e-17	nan	nan	nan	nan	nan	nan
57231.76375000009	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.476410271548935e-16	2.4803390633397156e-17	nan	nan	nan	nan	nan	nan
57231.813750000096	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5121467111769337e-16	2.4433700392654745e-17	nan	nan	nan	nan	nan	nan
57231.8637500001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.54805783355005e-16	2.4077138946608428e-17	nan	nan	nan	nan	nan	nan
57231.9137500001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.584143457393025e-16	2.373367248738421e-17	nan	nan	nan	nan	nan	nan
57231.963750000104	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.6204034042206494e-16	2.3403274205857065e-17	nan	nan	nan	nan	nan	nan
57232.01375000011	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.656837498332326e-16	2.3085924348438902e-17	nan	nan	nan	nan	nan	nan
57232.06375000011	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.693445566806253e-16	2.278161014304723e-17	nan	nan	nan	nan	nan	nan
57232.11375000011	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.730227439493883e-16	2.2490325581634556e-17	nan	nan	nan	nan	nan	nan
57232.163750000116	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.767182949014458e-16	2.2212071047843156e-17	nan	nan	nan	nan	nan	nan
57232.21375000012	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.8043119307493054e-16	2.19468527792689e-17	nan	nan	nan	nan	nan	nan
57232.26375000012	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.841614222836536e-16	2.1694682155534884e-17	nan	nan	nan	nan	nan	nan
