MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	atlas_c	atlas_c_err	atlas_o	atlas_o_err
58062.18750000014	nan	nan	nan	nan	nan	nan	8.800110573116465e-17	9.289116729796012e-18	nan	nan	nan	nan	nan	nan
58062.23750000014	nan	nan	nan	nan	nan	nan	8.947282344270181e-17	9.157576080737782e-18	nan	nan	nan	nan	nan	nan
58062.287500000144	nan	nan	nan	nan	nan	nan	9.095147938035842e-17	9.03306261299951e-18	nan	nan	nan	nan	nan	nan
58062.33750000015	nan	nan	nan	nan	nan	nan	9.24370650141471e-17	8.915669985199957e-18	nan	nan	nan	nan	nan	nan
58062.38750000015	nan	nan	nan	nan	nan	nan	9.392951879482286e-17	8.805356081051644e-18	nan	nan	nan	nan	nan	nan
58062.43750000015	nan	nan	nan	nan	nan	nan	9.54287005058348e-17	8.701880969884418e-18	nan	nan	nan	nan	nan	nan
58062.487500000156	nan	nan	nan	nan	nan	nan	9.693446366841906e-17	8.604982472481922e-18	nan	nan	nan	nan	9.729169305478635e-17	8.45833059324132e-18
58062.53750000016	nan	nan	nan	nan	nan	nan	9.844666191427274e-17	8.514393562044868e-18	nan	nan	nan	nan	1.012305286330915e-16	8.361388625437963e-18
58062.58750000016	nan	nan	nan	nan	nan	nan	9.996514898281426e-17	8.429844506291895e-18	nan	nan	nan	nan	1.0519247739136537e-16	8.322717305636929e-18
58062.637500000164	nan	nan	nan	nan	nan	nan	1.0148977871841865e-16	8.351065028667089e-18	nan	nan	nan	nan	1.0917644255767276e-16	8.338470686551e-18
58062.68750000017	nan	nan	nan	nan	nan	nan	1.0302040506768839e-16	8.277786454432184e-18	nan	nan	nan	nan	1.1318132780950117e-16	8.403878882616571e-18
58062.73750000017	nan	nan	nan	nan	nan	nan	1.0455688207669684e-16	8.209743808816044e-18	nan	nan	nan	nan	1.1720603725036046e-16	8.513547701486052e-18
58062.78750000017	nan	nan	nan	nan	nan	nan	1.0609906388825232e-16	8.146677836486354e-18	nan	nan	nan	nan	1.2124947538641816e-16	8.661774533479696e-18
58062.837500000176	nan	nan	nan	nan	nan	nan	1.0764680473915092e-16	8.08833691457013e-18	nan	nan	nan	nan	1.2531054710310981e-16	8.84283507542754e-18
58062.88750000018	nan	nan	nan	nan	nan	nan	1.0919995895743995e-16	8.034478834850755e-18	nan	nan	nan	nan	1.2938815764178474e-16	9.051212071599618e-18
