MJD	ZTF_g	ZTF_g_err	ZTF_i	ZTF_i_err	ZTF_r	ZTF_r_err	lascumbres_u'	lascumbres_u'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
59086.70000000004	nan	nan	nan	nan	8.343284723995677e-17	5.57945448103402e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59086.750000000044	nan	nan	nan	nan	8.671591143645543e-17	5.5167577056030214e-17	4.777057407329684e-16	2.437416234490644e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
59086.80000000005	nan	nan	nan	nan	9.001231612290945e-17	5.4545238592238155e-17	4.842745315390135e-16	2.359181249876471e-16	8.425875089799742e-16	2.4074136175610155e-16	2.896096981071551e-16	1.0570426326593166e-16	nan	nan	nan	nan	nan	nan	nan	nan
59086.85000000005	nan	nan	nan	nan	9.332210268371495e-17	5.3927634166239704e-17	4.909322231925522e-16	2.280590776007798e-16	8.488739323335255e-16	2.355266216477262e-16	2.9261765750267654e-16	1.0326123236627831e-16	nan	nan	nan	nan	nan	nan	nan	nan
59086.90000000005	nan	nan	nan	nan	9.664531261789048e-17	5.3314870750423315e-17	4.976800038833921e-16	2.201664131916147e-16	8.552071559732474e-16	2.3034857744885016e-16	2.956550207586223e-16	1.0083495693440719e-16	nan	nan	nan	nan	nan	nan	nan	nan
59086.950000000055	nan	nan	3.922059444534966e-17	9.943987401079235e-18	9.998198753936426e-17	5.2707057561730483e-17	5.045190775218939e-16	2.1224220204285444e-16	8.61587527620928e-16	2.2521066655245405e-16	2.9872206435744747e-16	9.842714867094335e-17	nan	nan	nan	nan	nan	nan	nan	nan
59087.00000000006	nan	nan	4.1235877227131665e-17	9.363279898716314e-18	1.0333216917733622e-16	5.210430607706636e-17	5.114506639452354e-16	2.0428866568201325e-16	8.680153975772007e-16	2.2011655080633474e-16	3.018190673120178e-16	9.603963369429462e-17	nan	nan	nan	nan	nan	nan	nan	nan
59087.05000000006	nan	nan	4.326532675974603e-17	8.808069579072832e-18	1.0669589937651427e-16	5.150673004401663e-17	5.184759991263623e-16	1.9630819203074435e-16	8.744911187406386e-16	2.1507013274180148e-16	3.049463111883101e-16	9.367436111303558e-17	nan	nan	nan	nan	nan	nan	nan	nan
59087.100000000064	nan	nan	4.5309019530686317e-17	8.282662932151292e-18	1.1007322009742865e-16	5.091444548638206e-17	5.255963353856613e-16	1.8830335345454868e-16	8.810150466269952e-16	2.1007557263716328e-16	3.081040801283149e-16	9.133341207111855e-17	nan	nan	nan	nan	nan	nan	nan	nan
59087.15000000007	nan	nan	4.736703239676845e-17	7.792185630420595e-18	1.1346417341676517e-16	5.032757070384336e-17	5.32812941605386e-16	1.8027692854035844e-16	8.875875393885787e-16	2.0513730631215608e-16	3.1129266087314156e-16	8.901900920908461e-17	nan	nan	nan	nan	nan	nan	nan	nan
59087.20000000007	1.813851205801732e-16	2.5404858480443552e-17	4.943944258581258e-17	7.3426462731211e-18	1.1686880152764382e-16	4.974622626511842e-17	5.401271034468842e-16	1.7223192872678928e-16	8.94208957833768e-16	2.002600634920656e-16	3.1451234278632824e-16	8.673352644985394e-17	nan	nan	nan	nan	nan	nan	nan	nan
59087.25000000007	1.890902525434975e-16	2.4785922335893058e-17	5.152632769832439e-17	6.940915559981825e-18	1.202871467399044e-16	4.91705349938582e-17	5.475401235706492e-16	1.6417163133624248e-16	9.008796654466832e-16	1.9544888650712897e-16	3.1776341787735826e-16	8.44794989725811e-17	nan	nan	nan	nan	nan	nan	nan	nan
