MJD,Mag,Mag_err,band,Instr,source
57929.9,17.69,0.03,LT_IOO_i,LT,2019MNRAS.485.1559P
57940.97,17.56,0.06,LT_IOO_i,LT,2019MNRAS.485.1559P
57949.03,17.81,0.05,LT_IOO_i,LT,2019MNRAS.485.1559P
57977.98,18.08,0.04,LT_IOO_i,LT,2019MNRAS.485.1559P
57999.92,18.22,0.07,LT_IOO_i,LT,2019MNRAS.485.1559P
57811.21,16.06,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57812.25,16.02,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57813.26,15.96,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57816.19,15.8,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57820.23,15.72,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57823.2,15.69,0.03,LT_IOO_z,LT,2019MNRAS.485.1559P
57823.22,15.68,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57827.09,15.77,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57834.18,15.95,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57839.16,16.05,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57843.13,16.13,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57855.13,16.28,0.03,LT_IOO_z,LT,2019MNRAS.485.1559P
57861.0,16.38,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57867.05,16.52,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57874.05,16.61,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57879.94,16.62,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57883.18,16.65,0.03,LT_IOO_z,LT,2019MNRAS.485.1559P
57889.03,16.81,0.02,LT_IOO_z,LT,2019MNRAS.485.1559P
57806.62,16.88,0.03,atlas_c,ATLAS,2019MNRAS.485.1559P
57817.62,16.08,0.02,atlas_c,ATLAS,2019MNRAS.485.1559P
57834.57,16.89,0.03,atlas_c,ATLAS,2019MNRAS.485.1559P
57838.57,17.08,0.04,atlas_c,ATLAS,2019MNRAS.485.1559P
57870.59,17.89,0.06,atlas_c,ATLAS,2019MNRAS.485.1559P
57894.47,18.15,0.07,atlas_c,ATLAS,2019MNRAS.485.1559P
57898.47,18.29,0.08,atlas_c,ATLAS,2019MNRAS.485.1559P
