MJD,Mag,Mag_err,band,Instr,source
57274,17.31,0.06,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57276.93,16.22,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57278.35,15.91,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57279.61,15.77,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57280.66,15.7,0.07,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57282.31,15.53,0.06,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57283.42,15.52,0.05,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57284.93,15.58,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57287.58,15.78,0.06,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57288.63,15.86,0.06,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57289.67,15.95,0.03,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57289.92,15.98,0.03,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57291.24,16.13,0.06,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57292.28,16.27,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57293.29,16.4,0.05,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57296.3,16.78,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57297.31,16.9,0.05,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57299.35,17.1,0.05,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57300.53,17.18,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57301.52,17.27,0.05,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57316.22,17.83,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57330.25,18.03,0.05,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57335.85,18.08,0.08,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57355.21,18.39,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57361.09,18.51,0.06,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57367.05,18.48,0.06,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57373.14,18.56,0.05,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57385.49,18.68,0.05,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57397.46,18.78,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57415.05,18.97,0.05,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57422.04,19.1,0.04,lascumbres_B,LCO(SKP), 2019MNRAS.485.1559P
57274,17.15,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57276.93,16.05,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57278.35,15.68,0.07,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57279.61,15.49,0.01,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57280.66,15.2,0.2,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57282.31,15.28,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57283.42,15.22,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57284.93,15.26,0.02,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57286.02,15.21,0.02,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57287.58,15.32,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57288.63,15.3,0.02,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57289.67,15.38,0.03,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57289.92,15.34,0.03,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57291.24,15.41,0.05,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57292.28,15.5,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57293.29,15.59,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57296.3,15.83,0.08,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57297.31,15.94,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57299.35,16.12,0.03,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57300.53,16.17,0.03,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57301.52,16.28,0.02,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57302.52,16.33,0.03,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57308.71,16.66,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57315.06,16.89,0.05,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57316.22,16.96,0.02,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57330.25,17.26,0.03,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57335.85,17.39,0.03,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57347.79,17.72,0.08,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57355.21,17.72,0.05,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57361.09,17.6,0.2,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57367.05,17.97,0.05,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57373.14,18,0.3,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57378.88,18.21,0.09,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57385.49,18.2,0.1,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57397.46,18.49,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57406.07,18.62,0.08,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57415.05,18.72,0.03,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57421.04,18.77,0.09,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57422.04,18.78,0.04,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57433.1,18.67,0.05,lascumbres_V,LCO(SKP), 2019MNRAS.485.1559P
57276.39,17.2,0.3,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57276.94,16.7,0.3,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57278.35,15.9,0.2,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57279.61,16.1,0.2,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57280.67,16.3,0.3,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57282.32,16.2,0.2,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57283.43,16.6,0.3,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57284.94,16.7,0.5,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57286.03,16.5,0.3,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57288.64,17,0.2,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57289.93,16.9,0.1,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57291.25,17.3,0.3,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57292.29,17.4,0.1,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57297.32,17.9,0.3,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57300.54,18.3,0.2,lascumbres_u',LCO(SKP), 2019MNRAS.485.1559P
57274.01,17.29,0.07,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57276.39,16.4,0.1,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57276.94,16.16,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57278.35,15.85,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57279.61,15.67,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57282.32,15.43,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57283.43,15.4,0.05,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57284.94,15.44,0.05,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57286.03,15.42,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57287.59,15.6,0.1,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57288.64,15.61,0.05,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57289.93,15.67,0.06,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57291.25,15.83,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57292.29,16,0.1,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57297.32,16.47,0.05,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57298.35,16.58,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57299.36,16.68,0.06,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57300.54,16.74,0.05,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57301.53,16.82,0.06,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57302.52,16.86,0.08,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57308.72,17.15,0.01,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57316.23,17.41,0.06,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57330.26,17.67,0.05,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57335.85,17.76,0.05,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57342.15,17.81,0.03,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57355.22,17.9,0.1,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57361.1,17.6,0.3,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57367.06,18.15,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57373.15,18.25,0.09,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57378.88,18.3,0.06,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57390.8,18.5,0.05,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57397.46,18.41,0.06,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57406.08,18.65,0.06,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57412.06,18.65,0.06,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57413.04,18.65,0.05,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57423.04,18.79,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57424.14,18.65,0.04,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57443.09,18.8,0.03,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57444.09,18.72,0.03,lascumbres_g',LCO(SKP), 2019MNRAS.485.1559P
57274.01,17.22,0.06,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57276.39,16.3,0.1,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57276.94,16.1,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57279.61,15.61,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57282.32,15.35,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57283.43,15.24,0.05,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57284.94,15.25,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57286.03,15.21,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57287.59,15.24,0.04,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57288.64,15.25,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57289.93,15.31,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57291.25,15.35,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57292.29,15.39,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57297.32,15.73,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57298.35,15.81,0.04,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57299.36,15.9,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57300.54,15.97,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57301.53,16.07,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57302.52,16.07,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57308.72,16.44,0.04,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57316.23,16.76,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57330.26,17.19,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57335.85,17.32,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57342.15,17.39,0.05,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57355.22,17.4,0.3,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57361.1,17.91,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57367.06,18.01,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57373.15,17.9,0.2,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57378.88,18.17,0.07,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57385.5,18.4,0.2,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57390.8,18.29,0.05,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57397.46,18.43,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57406.08,18.55,0.07,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57412.06,18.8,0.2,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57413.04,18.62,0.04,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57415.05,18.71,0.02,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57420.78,18.69,0.04,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57423.04,18.73,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57424.14,18.64,0.03,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57443.09,18.71,0.05,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57444.09,18.7,0.04,lascumbres_r',LCO(SKP), 2019MNRAS.485.1559P
57274.01,17.35,0.06,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57276.39,16.37,0.04,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57276.94,16.21,0.02,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57278.35,15.4,0.3,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57279.61,15.69,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57280.67,15.52,0.02,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57282.32,15.4,0.02,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57283.43,15.24,0.05,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57284.94,15.29,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57286.03,15.22,0.02,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57287.59,15.1,0.2,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57288.64,15.19,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57289.93,15.22,0.02,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57291.25,15.22,0.02,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57292.29,15.24,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57297.32,15.5,0.02,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57298.35,15.55,0.06,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57299.36,15.65,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57300.54,15.7,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57301.53,15.8,0.04,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57302.52,15.83,0.02,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57308.72,16.13,0.04,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57316.23,16.51,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57330.26,16.97,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57335.85,17.09,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57342.15,17.18,0.03,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57355.22,17.1,0.3,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57361.1,17.6,0.3,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57373.15,17.6,0.3,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57378.88,17.83,0.05,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57385.5,18.14,0.05,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57390.8,18.22,0.05,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57397.46,18.24,0.04,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57406.08,18.43,0.09,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57413.04,18.66,0.06,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57420.78,18.59,0.06,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57424.14,18.55,0.02,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
57444.09,18.78,0.05,lascumbres_i',LCO(SKP), 2019MNRAS.485.1559P
